Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,,,Roster Position
120838-89675,RB,Jonathan,Jonathan Taylor,Taylor,25.6999994913737,3,9500,IND@LAR,IND,LAR,,,,,,RB/FLEX
120838-103020,WR,Puka,Puka Nacua,Nacua,21.666666666666668,3,9400,IND@LAR,LAR,IND,,,,,,WR/FLEX
120838-55050,RB,Christian,Christian McCaffrey,McCaffrey,19.133333841959637,3,9300,JAC@SF,SF,JAC,,,,,,RB/FLEX
120838-85701,WR,Ja'Marr,Ja'Marr Chase,Chase,14.166666666666666,3,9100,CIN@DEN,CIN,DEN,,,,,,WR/FLEX
120838-39280,RB,Derrick,Derrick Henry,Henry,14.733333587646484,3,9000,BAL@KC,BAL,KC,,,,,,RB/FLEX
120838-62239,QB,Josh,Josh Allen,Allen,25.53333282470703,3,9000,NO@BUF,BUF,NO,,,,,,QB
120838-136855,RB,Bijan,Bijan Robinson,Robinson,19.766666412353516,3,8900,WAS@ATL,ATL,WAS,,,,,,RB/FLEX
120838-86997,WR,Amon-Ra,Amon-Ra St. Brown,St. Brown,20.46666717529297,3,8800,CLE@DET,DET,CLE,,,,,,WR/FLEX
120838-63115,QB,Lamar,Lamar Jackson,Jackson,27.56000010172526,3,8700,BAL@KC,BAL,KC,,,,,,QB
120838-85671,WR,Justin,Justin Jefferson,Jefferson,10.800000508626303,3,8700,MIN@PIT,MIN,PIT,,,,,,WR/FLEX
120838-64401,RB,Saquon,Saquon Barkley,Barkley,13.433333079020182,3,8700,PHI@TB,PHI,TB,,,,,,RB/FLEX
120838-91626,RB,James,James Cook III,Cook III,23.333333333333332,3,8500,NO@BUF,BUF,NO,,,,,,RB/FLEX
120838-86631,WR,CeeDee,CeeDee Lamb,Lamb,18.100000381469727,2,8500,GB@DAL,DAL,GB,O,Ankle,,,,WR/FLEX
120838-69531,QB,Jalen,Jalen Hurts,Hurts,21.62000020345052,3,8500,PHI@TB,PHI,TB,,,,,,QB
120838-151761,WR,Malik,Malik Nabers,Nabers,16.03333282470703,3,8400,LAC@NYG,NYG,LAC,,,,,,WR/FLEX
120838-129368,RB,Jahmyr,Jahmyr Gibbs,Gibbs,17.433333079020183,3,8300,CLE@DET,DET,CLE,,,,,,RB/FLEX
120838-91419,WR,Nico,Nico Collins,Collins,12.699999491373697,3,8200,TEN@HOU,HOU,TEN,,,,,,WR/FLEX
120838-102785,QB,Jayden,Jayden Daniels,Daniels,19.90999984741211,2,8200,WAS@ATL,WAS,ATL,O,Knee,,,,QB
120838-72731,RB,Josh,Josh Jacobs,Jacobs,12.59999974568685,3,8000,GB@DAL,GB,DAL,,,,,,RB/FLEX
120838-72846,WR,A.J.,A.J. Brown,Brown,9.799999872843424,3,8000,PHI@TB,PHI,TB,,,,,,WR/FLEX
120838-69189,QB,Justin,Justin Herbert,Herbert,22.76666768391927,3,7900,LAC@NYG,LAC,NYG,,,,,,QB
120838-57439,QB,Patrick,Patrick Mahomes,Mahomes,20.753332773844402,3,7800,BAL@KC,KC,BAL,,,,,,QB
120838-104433,RB,Kyren,Kyren Williams,Williams,13.533332824707031,3,7800,IND@LAR,LAR,IND,,,,,,RB/FLEX
120838-133472,WR,Ladd,Ladd McConkey,McConkey,7.933333079020183,3,7700,LAC@NYG,LAC,NYG,,,,,,WR/FLEX
120838-41535,QB,Baker,Baker Mayfield,Mayfield,20.066666920979817,3,7700,PHI@TB,TB,PHI,Q,Biceps,,,,QB
120838-138820,RB,De'Von,De'Von Achane,Achane,16.599999745686848,3,7700,NYJ@MIA,MIA,NYJ,,,,,,RB/FLEX
120838-69017,QB,Jordan,Jordan Love,Love,16.306666056315105,3,7600,GB@DAL,GB,DAL,,,,,,QB
120838-38435,QB,Jared,Jared Goff,Goff,20.513333638509113,3,7600,CLE@DET,DET,CLE,,,,,,QB
120838-32384,WR,Mike,Mike Evans,Evans,9,3,7600,PHI@TB,TB,PHI,O,Hamstring,,,,WR/FLEX
120838-42104,RB,Alvin,Alvin Kamara,Kamara,10.59999974568685,3,7500,NO@BUF,NO,BUF,,,,,,RB/FLEX
120838-151745,WR,Brian,Brian Thomas Jr.,Thomas Jr.,7.299999872843425,3,7500,JAC@SF,JAC,SF,,,,,,WR/FLEX
120838-152113,QB,Caleb,Caleb Williams,Williams,23.76666768391927,3,7500,CHI@LV,CHI,LV,,,,,,QB
120838-63519,QB,Daniel,Daniel Jones,Jones,23.713333129882812,3,7400,IND@LAR,IND,LAR,,,,,,QB
120838-89493,RB,Chase,Chase Brown,Brown,7.866666793823242,3,7400,CIN@DEN,CIN,DEN,,,,,,RB/FLEX
120838-102965,QB,Bo,Bo Nix,Nix,14.5,3,7400,CIN@DEN,DEN,CIN,,,,,,QB
120838-45889,WR,Davante,Davante Adams,Adams,14.266666412353516,3,7400,IND@LAR,LAR,IND,Q,Hamstring,,,,WR/FLEX
120838-152664,RB,Bucky,Bucky Irving,Irving,13.166666666666666,3,7300,PHI@TB,TB,PHI,,,,,,RB/FLEX
120838-53681,WR,Tyreek,Tyreek Hill,Hill,12.09999974568685,3,7300,NYJ@MIA,MIA,NYJ,,,,,,WR/FLEX
120838-91591,QB,Justin,Justin Fields,Fields,16.75,2,7300,NYJ@MIA,NYJ,MIA,,,,,,QB
120838-112295,WR,Zay,Zay Flowers,Flowers,13.766666412353516,3,7300,BAL@KC,BAL,KC,,,,,,WR/FLEX
120838-120033,WR,Rome,Rome Odunze,Odunze,19.233333587646484,3,7200,CHI@LV,CHI,LV,,,,,,WR/FLEX
120838-110246,WR,George,George Pickens,Pickens,11.699999491373697,3,7200,GB@DAL,DAL,GB,,,,,,WR/FLEX
120838-86875,RB,Jordan,Jordan Mason,Mason,13.133333841959635,3,7200,MIN@PIT,MIN,PIT,,,,,,RB/FLEX
120838-26483,QB,Geno,Geno Smith,Smith,17.913333892822266,3,7200,CHI@LV,LV,CHI,,,,,,QB
120838-112745,WR,Drake,Drake London,London,7.299999872843425,3,7100,WAS@ATL,ATL,WAS,,,,,,WR/FLEX
120838-103564,WR,Garrett,Garrett Wilson,Wilson,15.133333841959635,3,7100,NYJ@MIA,NYJ,MIA,,,,,,WR/FLEX
120838-6894,QB,Aaron,Aaron Rodgers,Rodgers,16.913333892822266,3,7100,MIN@PIT,PIT,MIN,,,,,,QB
120838-152316,QB,Drake,Drake Maye,Maye,20.933333079020183,3,7100,CAR@NE,NE,CAR,,,,,,QB
120838-89956,RB,Travis,Travis Etienne Jr.,Etienne Jr.,15.866666158040365,3,7100,JAC@SF,JAC,SF,,,,,,RB/FLEX
120838-31716,QB,Dak,Dak Prescott,Prescott,16,3,7100,GB@DAL,DAL,GB,,,,,,QB
120838-57403,WR,Courtland,Courtland Sutton,Sutton,13.333333333333334,3,7000,CIN@DEN,DEN,CIN,,,,,,WR/FLEX
120838-152655,WR,Emeka,Emeka Egbuka,Egbuka,14.666666666666666,3,7000,PHI@TB,TB,PHI,,,,,,WR/FLEX
120838-174215,RB,Omarion,Omarion Hampton,Hampton,10.666666666666666,3,7000,LAC@NYG,LAC,NYG,,,,,,RB/FLEX
120838-6654,QB,Matthew,Matthew Stafford,Stafford,15.586666107177734,3,7000,IND@LAR,LAR,IND,,,,,,QB
120838-14377,QB,Tyrod,Tyrod Taylor,Taylor,13.010000228881836,2,6900,NYJ@MIA,NYJ,MIA,,,,,,QB
120838-93541,RB,Javonte,Javonte Williams,Williams,17.03333282470703,3,6900,GB@DAL,DAL,GB,,,,,,RB/FLEX
120838-22015,QB,Russell,Russell Wilson,Wilson,17.50666681925456,3,6900,LAC@NYG,NYG,LAC,,,,,,QB
120838-111631,WR,Jameson,Jameson Williams,Williams,10.233333587646484,3,6800,CLE@DET,DET,CLE,,,,,,WR/FLEX
120838-167031,RB,Ashton,Ashton Jeanty,Jeanty,7.733333587646484,3,6800,CHI@LV,LV,CHI,,,,,,RB/FLEX
120838-73048,WR,DK,DK Metcalf,Metcalf,10.166666666666666,3,6800,MIN@PIT,PIT,MIN,,,,,,WR/FLEX
120838-129471,QB,C.J.,C.J. Stroud,Stroud,12.353333791097006,3,6800,TEN@HOU,HOU,TEN,,,,,,QB
120838-90572,QB,Tua,Tua Tagovailoa,Tagovailoa,14.566666920979818,3,6800,NYJ@MIA,MIA,NYJ,,,,,,QB
120838-103064,RB,Breece,Breece Hall,Hall,10.166666666666666,3,6800,NYJ@MIA,NYJ,MIA,,,,,,RB/FLEX
120838-151794,TE,Brock,Brock Bowers,Bowers,9.966666539510092,3,6700,CHI@LV,LV,CHI,,,,,,TE/FLEX
120838-158974,WR,Xavier,Xavier Worthy,Worthy,0,1,6700,BAL@KC,KC,BAL,,,,,,WR/FLEX
120838-60840,QB,Jake,Jake Browning,Browning,14.319999694824219,2,6700,CIN@DEN,CIN,DEN,,,,,,QB
120838-73273,RB,David,David Montgomery,Montgomery,16.933333079020183,3,6700,CLE@DET,DET,CLE,,,,,,RB/FLEX
120838-119606,QB,Bryce,Bryce Young,Young,15.706666310628256,3,6700,CAR@NE,CAR,NE,,,,,,QB
120838-89951,QB,Trevor,Trevor Lawrence,Lawrence,13.78000005086263,3,6700,JAC@SF,JAC,SF,,,,,,QB
120838-87467,RB,Chuba,Chuba Hubbard,Hubbard,13.733333587646484,3,6600,CAR@NE,CAR,NE,Q,Calf,,,,RB/FLEX
120838-90576,WR,DeVonta,DeVonta Smith,Smith,8.799999872843424,3,6600,PHI@TB,PHI,TB,,,,,,WR/FLEX
120838-90584,QB,Mac,Mac Jones,Jones,18.010000228881836,2,6600,JAC@SF,SF,JAC,Q,Knee - pcl,,,,QB
120838-85607,QB,Brock,Brock Purdy,Purdy,18.780000686645508,1,6600,JAC@SF,SF,JAC,,,,,,QB
120838-29358,QB,Marcus,Marcus Mariota,Mariota,20.280000686645508,1,6600,WAS@ATL,WAS,ATL,,,,,,QB
120838-70324,QB,Carson,Carson Wentz,Wentz,15.319999694824219,1,6600,MIN@PIT,MIN,PIT,,,,,,QB
120838-87787,RB,J.K.,J.K. Dobbins,Dobbins,14.533332824707031,3,6600,CIN@DEN,DEN,CIN,,,,,,RB/FLEX
120838-89981,WR,Tee,Tee Higgins,Higgins,6.633333206176758,3,6600,CIN@DEN,CIN,DEN,,,,,,WR/FLEX
