Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,,,Roster Position
122899-55050,RB,Christian,Christian McCaffrey,McCaffrey,22.030000305175783,10,10000,SF@ARI,SF,ARI,,,,,,RB/FLEX
122899-129458,WR,Jaxon,Jaxon Smith-Njigba,Smith-Njigba,20.422222561306423,9,9700,SEA@LAR,SEA,LAR,,,,,,WR/FLEX
122899-103020,WR,Puka,Puka Nacua,Nacua,19.375,8,9500,SEA@LAR,LAR,SEA,,,,,,WR/FLEX
122899-85701,WR,Ja'Marr,Ja'Marr Chase,Chase,17.966666327582466,9,9400,CIN@PIT,CIN,PIT,,,,,,WR/FLEX
122899-136855,RB,Bijan,Bijan Robinson,Robinson,18.900000678168404,9,9300,CAR@ATL,ATL,CAR,,,,,,RB/FLEX
122899-129368,RB,Jahmyr,Jahmyr Gibbs,Gibbs,19.333333333333332,9,9200,DET@PHI,DET,PHI,,,,,,RB/FLEX
122899-86631,WR,CeeDee,CeeDee Lamb,Lamb,16.360000610351562,5,9200,DAL@LV,DAL,LV,,,,,,WR/FLEX
122899-72731,RB,Josh,Josh Jacobs,Jacobs,18.055555555555557,9,9100,GB@NYG,GB,NYG,,,,,,RB/FLEX
122899-86997,WR,Amon-Ra,Amon-Ra St. Brown,St. Brown,17.355555216471355,9,9100,DET@PHI,DET,PHI,,,,,,WR/FLEX
122899-62239,QB,Josh,Josh Allen,Allen,23.962222629123264,9,9000,TB@BUF,BUF,TB,,,,,,QB
122899-69531,QB,Jalen,Jalen Hurts,Hurts,21.08888922797309,9,9000,DET@PHI,PHI,DET,,,,,,QB
122899-91626,RB,James,James Cook III,Cook III,18.711110432942707,9,8900,TB@BUF,BUF,TB,,,,,,RB/FLEX
122899-93541,RB,Javonte,Javonte Williams,Williams,16.599999321831596,9,8600,DAL@LV,DAL,LV,,,,,,RB/FLEX
122899-63115,QB,Lamar,Lamar Jackson,Jackson,22.759999593098957,6,8600,BAL@CLE,BAL,CLE,,,,,,QB
122899-85671,WR,Justin,Justin Jefferson,Jefferson,12.5,9,8600,CHI@MIN,MIN,CHI,,,,,,WR/FLEX
122899-39280,RB,Derrick,Derrick Henry,Henry,13.48888905843099,9,8500,BAL@CLE,BAL,CLE,,,,,,RB/FLEX
122899-64401,RB,Saquon,Saquon Barkley,Barkley,14.488888210720486,9,8500,DET@PHI,PHI,DET,,,,,,RB/FLEX
122899-112745,WR,Drake,Drake London,London,17.950000762939453,8,8400,CAR@ATL,ATL,CAR,Q,Illness,,,,WR/FLEX
122899-104433,RB,Kyren,Kyren Williams,Williams,15.733334011501736,9,8400,SEA@LAR,LAR,SEA,,,,,,RB/FLEX
122899-57439,QB,Patrick,Patrick Mahomes,Mahomes,23.82888963487413,9,8300,KC@DEN,KC,DEN,,,,,,QB
122899-72846,WR,A.J.,A.J. Brown,Brown,10.037500381469727,8,8300,DET@PHI,PHI,DET,,,,,,WR/FLEX
122899-91419,WR,Nico,Nico Collins,Collins,12.475000381469727,8,8300,HOU@TEN,HOU,TEN,,,,,,WR/FLEX
122899-69189,QB,Justin,Justin Herbert,Herbert,21.980000305175782,10,8200,LAC@JAC,LAC,JAC,,,,,,QB
122899-111311,WR,Rashee,Rashee Rice,Rice,19.099999745686848,3,8200,KC@DEN,KC,DEN,,,,,,WR/FLEX
122899-72297,RB,Rico,Rico Dowdle,Dowdle,14.7,10,8100,CAR@ATL,CAR,ATL,,,,,,RB/FLEX
122899-38435,QB,Jared,Jared Goff,Goff,18.966666327582466,9,8000,DET@PHI,DET,PHI,,,,,,QB
122899-41535,QB,Baker,Baker Mayfield,Mayfield,18.71999952528212,9,8000,TB@BUF,TB,BUF,,,,,,QB
122899-45889,WR,Davante,Davante Adams,Adams,14.977778116861979,9,8000,SEA@LAR,LAR,SEA,Q,Oblique,,,,WR/FLEX
122899-152655,WR,Emeka,Emeka Egbuka,Egbuka,15.06666734483507,9,7900,TB@BUF,TB,BUF,,,,,,WR/FLEX
122899-6654,QB,Matthew,Matthew Stafford,Stafford,21.797776963975693,9,7900,SEA@LAR,LAR,SEA,,,,,,QB
122899-6714,QB,Joe,Joe Flacco,Flacco,17.457500457763672,8,7800,CIN@PIT,CIN,PIT,,,,,,QB
122899-31716,QB,Dak,Dak Prescott,Prescott,20.095555623372395,9,7800,DAL@LV,DAL,LV,,,,,,QB
122899-169410,RB,Quinshon,Quinshon Judkins,Judkins,12.887499809265137,8,7700,BAL@CLE,CLE,BAL,,,,,,RB/FLEX
122899-152113,QB,Caleb,Caleb Williams,Williams,20.582222832573784,9,7700,CHI@MIN,CHI,MIN,,,,,,QB
122899-91750,TE,Trey,Trey McBride,McBride,14.422222561306423,9,7700,SF@ARI,ARI,SF,,,,,,TE/FLEX
122899-152664,RB,Bucky,Bucky Irving,Irving,16.375,4,7600,TB@BUF,TB,BUF,O,Shoulder,,,,RB/FLEX
122899-151966,QB,Jaxson,Jaxson Dart,Dart,18.153333875868057,9,7600,GB@NYG,NYG,GB,O,Concussion,,,,QB
122899-133472,WR,Ladd,Ladd McConkey,McConkey,11.859999847412109,10,7500,LAC@JAC,LAC,JAC,,,,,,WR/FLEX
122899-102965,QB,Bo,Bo Nix,Nix,19.65399932861328,10,7500,KC@DEN,DEN,KC,,,,,,QB
122899-110246,WR,George,George Pickens,Pickens,15.877777099609375,9,7500,DAL@LV,DAL,LV,,,,,,WR/FLEX
122899-73048,WR,DK,DK Metcalf,Metcalf,11.022221883138021,9,7400,CIN@PIT,PIT,CIN,,,,,,WR/FLEX
122899-69017,QB,Jordan,Jordan Love,Love,17.408888075086807,9,7400,GB@NYG,GB,NYG,,,,,,QB
122899-128633,RB,Kimani,Kimani Vidal,Vidal,10.67142813546317,7,7400,LAC@JAC,LAC,JAC,,,,,,RB/FLEX
122899-167031,RB,Ashton,Ashton Jeanty,Jeanty,13.644444783528646,9,7300,DAL@LV,LV,DAL,,,,,,RB/FLEX
122899-137902,RB,Rachaad,Rachaad White,White,9.200000339084202,9,7300,TB@BUF,TB,BUF,,,,,,RB/FLEX
122899-6894,QB,Aaron,Aaron Rodgers,Rodgers,15.879999796549479,9,7300,CIN@PIT,PIT,CIN,,,,,,QB
122899-89981,WR,Tee,Tee Higgins,Higgins,11.677777608235678,9,7300,CIN@PIT,CIN,PIT,,,,,,WR/FLEX
122899-63589,QB,Sam,Sam Darnold,Darnold,17.153333875868057,9,7200,SEA@LAR,SEA,LAR,,,,,,QB
122899-120033,WR,Rome,Rome Odunze,Odunze,12.933333502875435,9,7200,CHI@MIN,CHI,MIN,,,,,,WR/FLEX
122899-151794,TE,Brock,Brock Bowers,Bowers,13.416666666666666,6,7200,DAL@LV,LV,DAL,,,,,,TE/FLEX
122899-89493,RB,Chase,Chase Brown,Brown,11.288888719346788,9,7200,CIN@PIT,CIN,PIT,,,,,,RB/FLEX
122899-90584,QB,Mac,Mac Jones,Jones,18.18000030517578,8,7100,SF@ARI,SF,ARI,,,,,,QB
122899-85607,QB,Brock,Brock Purdy,Purdy,20.719999313354492,2,7100,SF@ARI,SF,ARI,,,,,,QB
122899-112295,WR,Zay,Zay Flowers,Flowers,10.788888719346788,9,7100,BAL@CLE,BAL,CLE,,,,,,WR/FLEX
122899-112057,RB,Jaylen,Jaylen Warren,Warren,12.662500381469727,8,7000,CIN@PIT,PIT,CIN,,,,,,RB/FLEX
122899-30231,QB,Jacoby,Jacoby Brissett,Brissett,14.819999694824219,6,7000,SF@ARI,ARI,SF,,,,,,QB
122899-29253,WR,Keenan,Keenan Allen,Allen,10.69000015258789,10,7000,LAC@JAC,LAC,JAC,,,,,,WR/FLEX
122899-129210,WR,Jordan,Jordan Addison,Addison,11.966667175292969,6,6900,CHI@MIN,MIN,CHI,,,,,,WR/FLEX
122899-91598,RB,D'Andre,D'Andre Swift,Swift,15.112500190734863,8,6900,CHI@MIN,CHI,MIN,,,,,,RB/FLEX
122899-90576,WR,DeVonta,DeVonta Smith,Smith,12.633332994249132,9,6900,DET@PHI,PHI,DET,,,,,,WR/FLEX
122899-89680,TE,Jake,Jake Ferguson,Ferguson,11.155555725097656,9,6900,DAL@LV,DAL,LV,,,,,,TE/FLEX
122899-89951,QB,Trevor,Trevor Lawrence,Lawrence,16.67999945746528,9,6900,LAC@JAC,JAC,LAC,,,,,,QB
122899-57403,WR,Courtland,Courtland Sutton,Sutton,10.85,10,6800,KC@DEN,DEN,KC,,,,,,WR/FLEX
122899-89956,RB,Travis,Travis Etienne Jr.,Etienne Jr.,13.233333163791233,9,6800,LAC@JAC,JAC,LAC,,,,,,RB/FLEX
122899-152575,QB,J.J.,J.J. McCarthy,McCarthy,16.170000076293945,4,6800,CHI@MIN,MIN,CHI,,,,,,QB
122899-111631,WR,Jameson,Jameson Williams,Williams,10.11111111111111,9,6700,DET@PHI,DET,PHI,,,,,,WR/FLEX
