salary,consensus_total,p90_total,sim_p90,sim_mean,sim_p75,sim_p50,sim_floor,player_1_qb,player_2_rb1,player_3_rb2,player_4_wr1,player_5_wr2,player_6_wr3,player_7_te,player_8_flex,player_9_def
59800,112.96,216.39,163.99,133.43,146.41,130.32,105.97,drake maye,christian mccaffrey,jahmyr gibbs,alec pierce,andrei iosivas,chris godwin,noah fant,rhamondre stevenson,seahawks
59800,117.59,213.59,163.44,134.62,147.54,132.23,108.69,drake maye,christian mccaffrey,chase brown,alec pierce,josh downs,andrei iosivas,tyler warren,rhamondre stevenson,seahawks
60000,116.3,213.1,163.38,134.14,146.62,130.99,108.47,drake maye,christian mccaffrey,rico dowdle,alec pierce,andrei iosivas,chris godwin,tyler warren,rhamondre stevenson,seahawks
60000,118.76,211.79,163.08,135.26,147.83,132.99,109.91,drake maye,christian mccaffrey,emanuel wilson,tetairoa mcmillan,alec pierce,adonai mitchell,tyler warren,rhamondre stevenson,seahawks
59700,115.39,213.85,163.03,133.56,146.17,130.7,107.21,drake maye,christian mccaffrey,jahmyr gibbs,josh downs,andrei iosivas,chris godwin,hunter henry,rhamondre stevenson,seahawks
60000,114.75,212.54,162.73,133.42,146.0,130.59,107.69,drake maye,christian mccaffrey,jahmyr gibbs,josh downs,andrei iosivas,chris godwin,travis kelce,rhamondre stevenson,ravens
59900,115.38,210.33,162.65,134.21,146.14,131.5,108.61,drake maye,christian mccaffrey,jahmyr gibbs,tetairoa mcmillan,adonai mitchell,chris godwin,taysom hill,rhamondre stevenson,seahawks
59800,114.46,214.3,162.62,134.05,146.81,131.41,108.05,drake maye,christian mccaffrey,jahmyr gibbs,alec pierce,josh downs,chris godwin,taysom hill,rhamondre stevenson,seahawks
59800,114.05,212.43,162.5,132.76,145.39,130.04,106.67,drake maye,christian mccaffrey,jahmyr gibbs,josh downs,andrei iosivas,adonai mitchell,mason taylor,rhamondre stevenson,seahawks
59900,115.6,211.82,162.42,133.45,145.84,130.45,107.59,drake maye,christian mccaffrey,jahmyr gibbs,josh downs,andrei iosivas,chris godwin,george kittle,rhamondre stevenson,raiders
59900,119.42,211.64,162.35,134.73,146.9,132.23,109.85,drake maye,christian mccaffrey,emanuel wilson,stefon diggs,alec pierce,chris godwin,george kittle,rhamondre stevenson,seahawks
59800,115.43,212.68,162.31,133.19,145.32,130.49,107.56,drake maye,christian mccaffrey,jahmyr gibbs,alec pierce,andrei iosivas,chris godwin,tyler warren,rhamondre stevenson,raiders
