Score,Total Projected Pts,Total Cost,Proj Pts Weight,QB,SP1,SP2,SP3,SP4,SP5,SP6,SP7,D
9.70159,123.8,59900,0.67,patrick mahomes,rico dowdle,josh jacobs,jacory croskeymerritt,stefon diggs,puka nacua,keenan allen,zach ertz,browns
9.70072,123.3,60000,0.67,patrick mahomes,rico dowdle,jacory croskeymerritt,javonte williams,stefon diggs,puka nacua,keenan allen,travis kelce,browns
9.694,123.8,60000,0.67,patrick mahomes,rico dowdle,josh jacobs,jacory croskeymerritt,stefon diggs,puka nacua,ladd mcconkey,zach ertz,browns
9.6695,122.9,60000,0.67,patrick mahomes,rico dowdle,josh jacobs,jacory croskeymerritt,stefon diggs,drake london,keenan allen,travis kelce,packers
9.66904,123.5,59900,0.67,patrick mahomes,rico dowdle,rachaad white,jacory croskeymerritt,puka nacua,keenan allen,ladd mcconkey,trey mcbride,browns
9.66823,124.0,60000,0.67,patrick mahomes,rico dowdle,christian mccaffrey,jacory croskeymerritt,stefon diggs,puka nacua,keenan allen,michael mayer,browns
9.66152,123.4,59900,0.67,patrick mahomes,rico dowdle,jacory croskeymerritt,javonte williams,stefon diggs,puka nacua,keenan allen,hunter henry,browns
9.6611,124.2,60000,0.67,patrick mahomes,rico dowdle,jacory croskeymerritt,javonte williams,stefon diggs,puka nacua,tetairoa mcmillan,sam laporta,browns
9.66034,124.2,60000,0.67,patrick mahomes,rico dowdle,rachaad white,josh jacobs,drake london,keenan allen,ladd mcconkey,trey mcbride,browns
9.6596,123.1,60000,0.67,patrick mahomes,rico dowdle,jacory croskeymerritt,javonte williams,drake london,keenan allen,ladd mcconkey,trey mcbride,packers
9.6581,124.2,59900,0.67,patrick mahomes,rico dowdle,josh jacobs,javonte williams,stefon diggs,george pickens,keenan allen,sam laporta,browns
9.65782,123.5,60000,0.67,patrick mahomes,rico dowdle,rachaad white,jacory croskeymerritt,stefon diggs,puka nacua,keenan allen,jake ferguson,browns
9.6573,124.0,60000,0.67,patrick mahomes,rico dowdle,josh jacobs,jacory croskeymerritt,stefon diggs,drake london,emeka egbuka,sam laporta,browns
9.657,123.7,59700,0.67,patrick mahomes,rico dowdle,jacory croskeymerritt,javonte williams,stefon diggs,puka nacua,keenan allen,sam laporta,browns
9.65661,123.8,60000,0.67,patrick mahomes,rico dowdle,rachaad white,josh jacobs,stefon diggs,keenan allen,ladd mcconkey,trey mcbride,packers
9.65585,123.7,59900,0.67,patrick mahomes,rico dowdle,jacory croskeymerritt,javonte williams,stefon diggs,george pickens,emeka egbuka,trey mcbride,browns
