name,espnScoreProjection,espnLowScore,espnHighScore,espnOutsideProjection,espnSimulationProjection,name_norm
josh allen,20.97511508782995,14.252,27.27,20.79050439,20.958,josh allen
drake maye,22.13576793792705,15.473,27.862,22.36594674,21.853,drake maye
matthew stafford,17.73351996946435,10.184,25.176,18.88578436,16.792,matthew stafford
justin herbert,14.596191754733296,8.761,20.431,18.1961711,14.596,justin herbert
bo nix,20.389873037313,11.941,26.9,20.26691288,19.398,bo nix
jaxson dart,17.39777578992854,9.941,26.754,18.83775408,18.347,jaxson dart
jacoby brissett,18.134726715989803,10.257,25.382,17.22521676,16.924,jacoby brissett
trevor lawrence,17.905064304526814,10.231,25.271,16.51604812,16.86,trevor lawrence
sam darnold,15.570981771116896,9.756,21.386,15.17421987,15.571,sam darnold
baker mayfield,14.289263580343672,8.251,20.327,15.47398126,14.289,baker mayfield
cj stroud,16.38946442167653,10.169,22.61,17.18890523,16.389,cj stroud
daniel jones,13.894371279720463,6.4,21.749,17.22261122,13.691,daniel jones
tua tagovailoa,14.498181839501484,8.674,20.323,12.62763405,14.498,tua tagovailoa
brock purdy,17.469095109958726,9.979,26.777,15.87602954,18.378,brock purdy
tyrod taylor,17.581880717020862,9.997,26.786,15.85052888,18.391,tyrod taylor
marcus mariota,16.96992029593942,8.457,24.339,14.84042717,15.458,marcus mariota
tyler shough,14.597021679163127,8.762,20.432,13.47402694,14.597,tyler shough
aaron rodgers,14.701684428934817,8.87,20.534,14.26955753,14.702,aaron rodgers
cam ward,16.47685241937727,10.244,22.709,13.29441565,16.477,cam ward
kirk cousins,14.034742482075435,8.009,20.06,12.37852336,14.035,kirk cousins
bryce young,14.312180182557364,8.277,20.347,10.55648953,14.312,bryce young
geno smith,10.470423098879904,5.932,16.243,11.20692237,11.087,geno smith
shedeur sanders,14.68788490499815,8.858,20.517,11.78148976,14.688,shedeur sanders
devon achane,22.46785707425306,21.431,24.37705722,24.37705722,22.468,devon achane
jonathan taylor,18.814112203642075,11.64,21.817,20.29320488,16.729,jonathan taylor
christian mccaffrey,21.55107438185982,13.936,23.7080259,23.7080259,19.03,christian mccaffrey
bijan robinson,18.76356221241777,11.715,21.78,20.70743462,16.748,bijan robinson
james cook,16.170281025044773,9.432,20.469,17.9356613,14.951,james cook
treveyon henderson,15.325334987173845,10.118,20.533,16.71110117,15.325,treveyon henderson
kyren williams,10.995436517133216,4.44,16.755,13.96675139,9.527,kyren williams
breece hall,13.149957879481404,8.334,17.966,16.26501806,13.15,breece hall
ashton jeanty,14.455919834725346,9.031,19.881,15.49605277,14.456,ashton jeanty
travis etienne,13.269317393183965,8.443,18.096,14.94186204,13.269,travis etienne
rico dowdle,14.419757318354437,8.999,19.841,15.1985788,14.42,rico dowdle
rj harvey,13.005111621939262,8.175,17.836,14.62030281,13.005,rj harvey
jaylen warren,13.15670779564084,8.341,17.973,13.79489824,13.157,jaylen warren
kenneth walker,12.415971775902008,5.861,19.705,13.8851478,12.783,kenneth walker
kimani vidal,9.66619844688208,2.373,17.888,12.51572617,8.708,kimani vidal
quinshon judkins,11.567414524501856,5.034,17.43,12.56701232,10.498,quinshon judkins
woody marks,11.02880570225462,4.578,16.719,11.83226,9.631,woody marks
bucky irving,9.149128863339357,3.518,15.133,11.78386353,7.986,bucky irving
aaron jones,9.662391702149009,2.41,17.89,12.53763406,8.787,aaron jones
devin neal,10.945429924477631,4.431,16.741,11.08569628,9.508,devin neal
tyrone tracy,11.628128555431823,5.042,17.458,12.50346547,10.515,tyrone tracy
kenneth gainwell,12.413961232040776,5.861,19.704,13.13308793,12.783,kenneth gainwell
zach charbonnet,8.428873534339612,3.395,14.453,8.41242669,7.647,zach charbonnet
tony pollard,10.09780378480917,3.1,17.484,10.26861646,9.587,tony pollard
chris rodriguez,6.429866497836576,1.912,9.786,6.99772283,5.113,chris rodriguez
bhayshul tuten,7.656066263568024,2.682,11.861,7.05469469,5.759,bhayshul tuten
tyjae spears,9.248541291284932,3.407,15.022,9.88002857,7.869,tyjae spears
rhamondre stevenson,11.13589516041556,4.689,16.909,11.74726418,9.755,rhamondre stevenson
tyler allgeier,7.635120866904119,2.681,11.848,7.91957531,5.753,tyler allgeier
devin singletary,6.099878084621929,1.852,9.501,6.26702541,4.957,devin singletary
blake corum,6.136202553054375,1.855,9.512,6.59759014,4.963,blake corum
rachaad white,4.49526217207045,1.332,6.731,6.34158372,3.177,rachaad white
jordan mason,5.799997078650804,1.828,9.216,5.6614416,4.835,jordan mason
sean tucker,6.765040385947174,2.308,9.746,6.83542425,5.356,sean tucker
jacory croskeymerritt,6.042951392874978,1.847,9.485,5.44892551,4.947,jacory croskeymerritt
brian robinson,3.897893417473937,1.252,5.348,5.22548279,3.3,brian robinson
chuba hubbard,6.7256106913695906,2.285,9.555,6.0192293,5.265,chuba hubbard
ollie gordon,5.079122029258317,1.969,8.082,4.62365245,4.664,ollie gordon
dylan sampson,5.4106487670898655,2.065,8.253,5.60239232,4.793,dylan sampson
jaleel mclaughlin,5.682371155974664,1.817,9.155,5.69907322,4.804,jaleel mclaughlin
isaiah davis,6.196420930769909,2.083,8.921,6.09722876,4.885,isaiah davis
nick chubb,5.113693959959538,1.972,8.092,5.39586852,4.67,nick chubb
ty johnson,3.7850802983152896,1.383,6.447,3.92597043,3.182,ty johnson
jeremy mcnichols,4.986845788873805,1.62,7.78,4.1448202,4.335,jeremy mcnichols
raheem mostert,4.296563854590477,0.97,5.888,3.18088042,3.429,raheem mostert
audric estime,0.0,0.0,0.0,0.0,0.0,audric estime
jaxon smithnjigba,19.58509847345467,8.066,21.90812349,21.90812349,16.545,jaxon smithnjigba
puka nacua,16.837269561036965,7.886,20.75,20.26724025,14.152,puka nacua
davante adams,16.71453751073487,6.96,20.489,16.51168891,13.495,davante adams
jaylen waddle,12.718574854227825,6.965,18.931,14.25816606,12.069,jaylen waddle
nico collins,17.28456731068401,7.716,22.881,16.44089061,15.299,nico collins
emeka egbuka,16.281405251081495,7.065,19.806,14.03784162,13.057,emeka egbuka
tetairoa mcmillan,14.918572111164712,7.421,21.147,13.24361584,13.558,tetairoa mcmillan
chris olave,12.77076241228527,6.974,18.949,15.85281062,12.089,chris olave
ladd mcconkey,14.88669092885733,7.316,21.026,13.19420028,13.426,ladd mcconkey
justin jefferson,15.73312402146716,6.992,21.287,14.02094258,12.867,justin jefferson
wandale robinson,15.057979167498988,13.90093015,16.094,13.90093015,15.058,wandale robinson
stefon diggs,15.33243774871079,7.511,21.422,13.58003497,13.822,stefon diggs
michael wilson,13.947872941026738,7.254,20.631,11.52096478,13.118,michael wilson
troy franklin,14.092176168998083,7.275,20.677,12.94932329,13.168,troy franklin
courtland sutton,15.327696905058655,7.525,21.377,13.74467638,13.738,courtland sutton
michael pittman,15.407338311104471,7.088,20.833,13.31810895,13.14,michael pittman
dk metcalf,12.136023263022167,6.984,19.414,13.31273714,12.123,dk metcalf
khalil shakir,14.81451644674478,7.302,20.999,12.1713008,13.396,khalil shakir
darnell mooney,13.231292479320276,6.941,19.613,10.41839629,13.277,darnell mooney
alec pierce,12.359073280948245,6.252,18.351,9.83824947,12.301,alec pierce
brian thomas,14.10623322906003,7.281,20.682,11.84427853,13.177,brian thomas
quentin johnston,13.07042004319173,7.167,19.378,10.02221681,12.43,quentin johnston
jauan jennings,14.202291939796575,7.357,20.83,12.24927963,13.141,jauan jennings
jakobi meyers,13.159699309310804,7.233,19.537,10.23021531,12.549,jakobi meyers
keenan allen,14.75104771642495,7.586,20.917,12.0106664,13.453,keenan allen
marvin harrison,15.029551923181192,7.49,21.199,13.66820346,13.671,marvin harrison
tre tucker,13.281315464501558,7.454,20.165,10.45779109,12.996,tre tucker
parker washington,12.046202189279064,6.967,19.304,9.03396433,12.071,parker washington
jayden higgins,13.24285253536054,6.945,19.618,10.5713193,13.281,jayden higgins
chimere dike,13.058328365400518,7.165,19.374,10.11140443,12.425,chimere dike
