Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,,,Roster Position
123617-129458,WR,Jaxon,Jaxon Smith-Njigba,Smith-Njigba,21.727272727272727,11,10000,MIN@SEA,SEA,MIN,,,,,,WR/FLEX
123617-89675,RB,Jonathan,Jonathan Taylor,Taylor,25.59090909090909,11,9900,HOU@IND,IND,HOU,,,,,,RB/FLEX
123617-136855,RB,Bijan,Bijan Robinson,Robinson,19.55454600941051,11,9500,ATL@NYJ,ATL,NYJ,,,,,,RB/FLEX
123617-62239,QB,Josh,Josh Allen,Allen,24.85999922318892,11,9400,BUF@PIT,BUF,PIT,,,,,,QB
123617-103020,WR,Puka,Puka Nacua,Nacua,17.9,10,9300,LAR@CAR,LAR,CAR,,,,,,WR/FLEX
123617-91626,RB,James,James Cook III,Cook III,19.154545177112926,11,8800,BUF@PIT,BUF,PIT,,,,,,RB/FLEX
123617-138820,RB,De'Von,De'Von Achane,Achane,19.727272727272727,11,8700,NO@MIA,MIA,NO,,,,,,RB/FLEX
123617-55050,RB,Christian,Christian McCaffrey,McCaffrey,23.0500005086263,12,8600,SF@CLE,SF,CLE,,,,,,RB/FLEX
123617-102785,QB,Jayden,Jayden Daniels,Daniels,18.926666259765625,6,8500,DEN@WAS,WAS,DEN,O,Elbow,,,,QB
123617-104433,RB,Kyren,Kyren Williams,Williams,14.818181818181818,11,8500,LAR@CAR,LAR,CAR,,,,,,RB/FLEX
123617-69189,QB,Justin,Justin Herbert,Herbert,20.37636358087713,11,8300,LV@LAC,LAC,LV,,,,,,QB
123617-91750,TE,Trey,Trey McBride,McBride,15.245454268022018,11,8300,ARI@TB,ARI,TB,,,,,,TE/FLEX
123617-85671,WR,Justin,Justin Jefferson,Jefferson,11.627272865988992,11,8300,MIN@SEA,MIN,SEA,,,,,,WR/FLEX
123617-152316,QB,Drake,Drake Maye,Maye,20.383333841959637,12,8300,NYG@NE,NE,NYG,,,,,,QB
123617-41535,QB,Baker,Baker Mayfield,Mayfield,17.439999667080965,11,8200,ARI@TB,TB,ARI,,,,,,QB
123617-72297,RB,Rico,Rico Dowdle,Dowdle,14.074999491373697,12,8200,LAR@CAR,CAR,LAR,,,,,,RB/FLEX
123617-45889,WR,Davante,Davante Adams,Adams,14.736364191228693,11,8200,LAR@CAR,LAR,CAR,,,,,,WR/FLEX
123617-91419,WR,Nico,Nico Collins,Collins,12.65,10,8100,HOU@IND,HOU,IND,,,,,,WR/FLEX
123617-152655,WR,Emeka,Emeka Egbuka,Egbuka,13.345454822887074,11,8000,ARI@TB,TB,ARI,,,,,,WR/FLEX
123617-112745,WR,Drake,Drake London,London,18,9,8000,ATL@NYJ,ATL,NYJ,NA,Knee - pcl,,,,WR/FLEX
123617-6654,QB,Matthew,Matthew Stafford,Stafford,21.118182095614348,11,8000,LAR@CAR,LAR,CAR,,,,,,QB
123617-169410,RB,Quinshon,Quinshon Judkins,Judkins,12.569999694824219,10,7800,SF@CLE,CLE,SF,,,,,,RB/FLEX
123617-152647,RB,TreVeyon,TreVeyon Henderson,Henderson,10.441666920979818,12,7700,NYG@NE,NE,NYG,,,,,,RB/FLEX
123617-133472,WR,Ladd,Ladd McConkey,McConkey,11.0363637750799,11,7600,LV@LAC,LAC,LV,,,,,,WR/FLEX
