name,tdOdds,tdProbability
davante adams,+450,18.18
kyren williams,+500,16.67
puka nacua,+550,15.38
rico dowdle,+750,11.76
tetairoa mcmillan,+1200,7.69
colby parkinson,+1200,7.69
blake corum,+1500,6.25
jalen coker,+2200,4.35
xavier legette,+2200,4.35
rams,+2500,3.85
jatavion sanders,+3000,3.23
davis allen,+2800,3.45
jordan whittington,+2500,3.85
chuba hubbard,+3500,2.78
terrance ferguson,+3000,3.23
panthers,+3000,3.23
konata mumpfield,+3500,2.78
tommy tremble,+5500,1.79
xavier smith,+5000,1.96
mitchell evans,+8000,1.23
nick vannett,+5500,1.79
brycen tremayne,+7500,1.32
bryce young,+6000,1.64
jimmy horn,+7500,1.32
matthew stafford,+9000,1.1
james mitchell,+11000,0.9
trevor etienne,+14000,0.71
ronnie rivers,+15000,0.66
christian mccaffrey,+330,23.26
quinshon judkins,+475,17.39
george kittle,+800,11.11
jauan jennings,+1100,8.33
ricky pearsall,+1800,5.26
49ers,+1600,5.88
harold fannin,+1900,5.0
cedric tillman,+2200,4.35
brian robinson,+2000,4.76
browns,+1600,5.88
david njoku,+2500,3.85
jerry jeudy,+2500,3.85
shedeur sanders,+2500,3.85
dylan sampson,+3000,3.23
brock purdy,+3500,2.78
demarcus robinson,+4000,2.44
kyle juszczyk,+3500,2.78
jerome ford,+4500,2.17
luke farrell,+4500,2.17
isaiah bond,+5000,1.96
kendrick bourne,+5500,1.79
malachi corley,+7500,1.32
jake tonges,+8000,1.23
blake whiteheart,+9000,1.1
skyy moore,+9000,1.1
isaac guerendo,+13000,0.76
gage larvadain,+14000,0.71
jonathan taylor,+290,25.64
nico collins,+950,9.52
woody marks,+850,10.53
tyler warren,+900,10.0
michael pittman,+1000,9.09
dalton schultz,+1500,6.25
alec pierce,+1200,7.69
jayden higgins,+2000,4.76
josh downs,+1600,5.88
christian kirk,+2500,3.85
daniel jones,+2000,4.76
colts,+2200,4.35
texans,+2200,4.35
nick chubb,+3000,3.23
xavier hutchinson,+4000,2.44
jaylin noel,+4000,2.44
cade stover,+4500,2.17
cj stroud,+4500,2.17
mo aliecox,+5000,1.96
ameer abdullah,+4500,2.17
laquon treadwell,+6500,1.52
andrew ogletree,+6500,1.52
anthony gould,+7000,1.41
tyler goodson,+8000,1.23
dare ogunbowale,+9000,1.1
british brooks,+10000,0.99
jakob johnson,+12000,0.83
devon achane,+390,20.41
jaylen waddle,+600,14.29
chris olave,+1100,8.33
taysom hill,+950,9.52
darren waller,+900,10.0
devin neal,+1200,7.69
ollie gordon,+1200,7.69
malik washington,+1600,5.88
juwan johnson,+1800,5.26
devaughn vele,+1900,5.0
mason tipton,+2200,4.35
dolphins,+2200,4.35
saints,+2200,4.35
greg dulcich,+2800,3.45
julian hill,+3000,3.23
foster moreau,+4000,2.44
nick westbrookikhine,+4000,2.44
tyler shough,+4500,2.17
audric estime,+4000,2.44
cedrick wilson,+4000,2.44
alec ingold,+5500,1.79
jaylen wright,+6000,1.64
dee eskridge,+7000,1.41
tua tagovailoa,+8000,1.23
kevin austin,+10000,0.99
dante pettis,+10000,0.99
jack stoll,+13000,0.76
bijan robinson,+320,23.81
breece hall,+700,12.5
tyler allgeier,+900,10.0
mason taylor,+1100,8.33
kyle pitts,+950,9.52
darnell mooney,+1100,8.33
adonai mitchell,+1300,7.14
john metchie,+1500,6.25
david sills v,+2000,4.76
tyrod taylor,+2500,3.85
jets,+2200,4.35
falcons,+2500,3.85
isaiah davis,+2800,3.45
dylan drummond,+2800,3.45
jeremy ruckert,+3500,2.78
charlie woerner,+3500,2.78
isaiah williams,+4000,2.44
allen lazard,+4500,2.17
tyler johnson,+4500,2.17
teagan quitoriano,+4000,2.44
jamal agnew,+6000,1.64
kirk cousins,+7000,1.41
deven thompkins,+8000,1.23
kene nwangwu,+9000,1.1
stone smartt,+9000,1.1
nathan carter,+9000,1.1
andrew beck,+11000,0.9
feleipe franks,+11000,0.9
travis etienne,+550,15.38
bhayshul tuten,+850,10.53
brian thomas,+950,9.52
tony pollard,+1100,8.33
parker washington,+1300,7.14
tyjae spears,+1300,7.14
chimere dike,+1500,6.25
jakobi meyers,+1500,6.25
elic ayomanor,+1800,5.26
brenton strange,+1500,6.25
trevor lawrence,+1500,6.25
gunnar helm,+2000,4.76
chigoziem okonkwo,+2200,4.35
jaguars,+2200,4.35
titans,+2200,4.35
van jefferson,+2800,3.45
xavier restrepo,+3500,2.78
cameron ward,+3000,3.23
johnny mundt,+4000,2.44
tim patrick,+4000,2.44
james proche,+5000,1.96
quintin morris,+5000,1.96
lequint allen,+5500,1.79
austin trammell,+6000,1.64
david martinrobinson,+9000,1.1
julius chestnut,+9000,1.1
kalel mullings,+15000,0.66
trey mcbride,+800,11.11
emeka egbuka,+850,10.53
bucky irving,+900,10.0
zonovan knight,+1000,9.09
marvin harrison,+1200,7.69
cade otton,+1100,8.33
michael wilson,+1300,7.14
sean tucker,+1200,7.69
tez johnson,+1300,7.14
chris godwin,+1500,6.25
rachaad white,+1500,6.25
michael carter,+1500,6.25
buccaneers,+2500,3.85
cardinals,+2800,3.45
greg dortch,+3000,3.23
sterling shepard,+3000,3.23
jacoby brissett,+3000,3.23
elijah higgins,+3500,2.78
payne durham,+4500,2.17
baker mayfield,+4500,2.17
ryan miller,+4500,2.17
xavier weaver,+6000,1.64
kameron johnson,+8000,1.23
josiah deguara,+7500,1.32
devin culp,+8000,1.23
jermar jefferson,+7000,1.41
andre baccellia,+11000,0.9
pharaoh brown,+9000,1.1
jaxon smithnjigba,+475,17.39
zach charbonnet,+550,15.38
kenneth walker,+650,13.33
aaron jones,+1200,7.69
aj barner,+1000,9.09
justin jefferson,+1600,5.88
rashid shaheed,+1200,7.69
cooper kupp,+1400,6.67
jordan addison,+2200,4.35
seahawks,+2000,4.76
jordan mason,+2500,3.85
vikings,+2200,4.35
elijah arroyo,+2000,4.76
tj hockenson,+3000,3.23
jalen nailor,+3500,2.78
max brosmer,+4000,2.44
sam darnold,+4000,2.44
cam akers,+4500,2.17
josh oliver,+6000,1.64
velus jones,+5000,1.96
myles gaskin,+6500,1.52
cody white,+7500,1.32
jake bobo,+9000,1.1
ben sims,+12000,0.83
ben yurosek,+14000,0.71
robbie ouzts,+12000,0.83
tai felton,+13000,0.76
adam thielen,+13000,0.76
zavier scott,+11000,0.9
nick kallerup,+13000,0.76
brady russell,+13000,0.76
myles price,+16000,0.62
cj ham,+16000,0.62
kimani vidal,+400,20.0
ashton jeanty,+900,10.0
quentin johnston,+800,11.11
oronde gadsden,+900,10.0
brock bowers,+1300,7.14
ladd mcconkey,+800,11.11
keenan allen,+950,9.52
tre tucker,+2000,4.76
justin herbert,+1700,5.56
chargers,+2000,4.76
tre harris,+2200,4.35
raiders,+2000,4.76
tyler lockett,+3500,2.78
ian thomas,+4000,2.44
raheem mostert,+4000,2.44
tucker fisk,+4500,2.17
donte thornton,+4000,2.44
jaret patterson,+4000,2.44
trayveon williams,+6000,1.64
will dissly,+6500,1.52
tyler conklin,+7000,1.41
jack bech,+7000,1.41
geno smith,+6500,1.52
derius davis,+7500,1.32
scott matlock,+10000,0.99
carter runyon,+10000,0.99
alex bachman,+10000,0.99
dylan laube,+11000,0.9
zamir white,+6000,1.64
james cook,+550,15.38
josh allen,+750,11.76
jaylen warren,+800,11.11
dk metcalf,+1100,8.33
khalil shakir,+1100,8.33
kenneth gainwell,+1200,7.69
calvin austin,+1800,5.26
dawson knox,+1800,5.26
jonnu smith,+2000,4.76
keon coleman,+1800,5.26
darnell washington,+2000,4.76
tyrell shavers,+1900,5.0
pat freiermuth,+2200,4.35
gabriel davis,+2200,4.35
joshua palmer,+2200,4.35
steelers,+2200,4.35
bills,+2500,3.85
roman wilson,+3000,3.23
jackson hawes,+2800,3.45
ty johnson,+3500,2.78
brandin cooks,+4000,2.44
ray davis,+6000,1.64
kaleb johnson,+7500,1.32
aaron rodgers,+8000,1.23
connor heyward,+10000,0.99
scott miller,+11000,0.9
keshawn williams,+10000,0.99
ben skowronek,+11000,0.9
keleki latu,+12000,0.83
reggie gilliam,+13000,0.76
rj harvey,+500,16.67
troy franklin,+800,11.11
courtland sutton,+850,10.53
chris rodriguez,+1100,8.33
deebo samuel,+1400,6.67
terry mclaurin,+1600,5.88
evan engram,+1400,6.67
zach ertz,+1700,5.56
jaleel mclaughlin,+1500,6.25
bo nix,+1600,5.88
jacory croskeymerritt,+1700,5.56
marcus mariota,+1800,5.26
pat bryant,+2200,4.35
commanders,+2500,3.85
broncos,+2200,4.35
marvin mims,+2200,4.35
adam trautman,+2800,3.45
jaylin lane,+4000,2.44
jeremy mcnichols,+4000,2.44
chris moore,+4500,2.17
treylon burks,+4500,2.17
tyler badie,+4000,2.44
liljordan humphrey,+5500,1.79
john bates,+7000,1.41
colson yankoff,+10000,0.99
adam prentice,+9000,1.1
ben sinnott,+11000,0.9
treveyon henderson,+550,15.38
stefon diggs,+750,11.76
hunter henry,+1100,8.33
rhamondre stevenson,+1100,8.33
tyrone tracy,+1200,7.69
devin singletary,+1200,7.69
wandale robinson,+1500,6.25
kayshon boutte,+1300,7.14
drake maye,+1300,7.14
theo johnson,+1700,5.56
mack hollins,+1500,6.25
darius slayton,+2000,4.76
jaxson dart,+1600,5.88
isaiah hodgins,+2500,3.85
patriots,+2500,3.85
demario douglas,+2500,3.85
austin hooper,+3000,3.23
daniel bellinger,+3500,2.78
giants,+2500,3.85
kyle williams,+5500,1.79
terrell jennings,+5500,1.79
efton chism,+6000,1.64
gunner olszewski,+8000,1.23
jalin hyatt,+8000,1.23
chris manhertz,+8000,1.23
jack westover,+7500,1.32
cj dippre,+9000,1.1
eric gray,+10000,0.99
