id,name,position,team,opponent,game,salary,fppg,injury_status,fpProjPts,tdOdds,tdProbability,floor_shootout,ceiling_shootout,floor_defensive,ceiling_defensive,floor_blowout_favorite,ceiling_blowout_favorite,floor_blowout_underdog,ceiling_blowout_underdog,floor_competitive,ceiling_competitive,mu_shootout,sigma_shootout,shift_shootout,mu_defensive,sigma_defensive,shift_defensive,mu_blowout_favorite,sigma_blowout_favorite,shift_blowout_favorite,mu_blowout_underdog,sigma_blowout_underdog,shift_blowout_underdog,mu_competitive,sigma_competitive,shift_competitive,td_odds_floor_mult,td_odds_ceiling_mult,game_id,shootout_prob,defensive_prob,blowout_prob,competitive_prob,is_favorite
123617-89675,Jonathan Taylor,RB,IND,HOU,HOU@IND,9900,25.59090909090909,,18.3,290,25.64,8.235000000000001,28.822500000000005,8.6925,31.567500000000003,8.6925,35.685,6.862500000000001,28.822500000000005,7.7775,32.940000000000005,2.7600135308515155,0.4985219986073904,0.0,2.832533030589517,0.5129203880002386,0.0,2.893834191635683,0.5607539381236127,0.0,2.6688527524545385,0.5696551319497372,0.0,2.7982000202438027,0.5729200219063737,0.0,1.01282,1.03846,HOU@IND,0.24401835446696882,0.2680423971262237,0.10822293176425005,0.3797163166425575,True
123617-136855,Bijan Robinson,RB,ATL,NYJ,ATL@NYJ,9500,19.55454600941051,,17.8,320,23.81,8.01,28.035000000000004,8.455,30.705000000000002,8.455,34.71000000000001,6.675000000000001,28.035000000000004,7.565,32.04,2.7305355965316007,0.49784195943696974,0.0,2.8030550962696017,0.512240348829818,0.0,2.864356257315768,0.5600738989531922,0.0,2.6393748181346233,0.5689750927793165,0.0,2.768722085923888,0.5722399827359528,0.0,1.011905,1.035715,NYJ@ATL,0.1805597931557001,0.4026317247504995,0.09086276629962634,0.3259457157941739,True
123617-62239,Josh Allen,QB,BUF,PIT,BUF@PIT,9400,24.85999922318892,,21.9,750,11.76,8.212499999999999,45.98999999999999,8.212499999999999,37.77749999999999,8.76,37.77749999999999,8.76,44.3475,9.3075,41.06249999999999,2.978715183319106,0.6766758689662897,0.0,2.880360036196079,0.5999289398786328,0.0,2.9126292967648646,0.5747491020661195,0.0,2.9928006218024543,0.6373071193890671,0.0,2.9846324121426075,0.5836277877680661,0.0,1.00588,1.01764,PIT@BUF,0.2502015769709772,0.26119387134689187,0.1074352269626084,0.38116932471952236,True
123617-103020,Puka Nacua,WR,LAR,CAR,LAR@CAR,9300,17.9,,15.5,550,15.38,5.8125,33.7125,5.8125,25.575000000000003,6.2,25.575000000000003,6.5874999999999995,31.387500000000003,6.5874999999999995,29.0625,2.654173976435958,0.6917416721184759,0.0,2.516047288121879,0.5839608445437529,0.0,2.5483165486906647,0.5587810067312395,0.0,2.6810260659218885,0.6150291494925934,0.0,2.6425455453538245,0.5850026397503094,0.0,1.00769,1.02307,CAR@LAR,0.160993076582962,0.2754092249059485,0.5322181457809924,0.03137955273009704,True
123617-138820,De'Von Achane,RB,MIA,NO,NO@MIA,8700,19.727272727272727,,19.9,390,20.41,8.955,31.342499999999998,9.452499999999999,34.32749999999999,9.452499999999999,38.805,7.4624999999999995,31.342499999999998,8.4575,35.81999999999999,2.838748015754837,0.4965720590550052,0.0,2.9112675154928374,0.5109704484478534,0.0,2.972568676539004,0.5588039985712276,0.0,2.7475872373578594,0.567705192397352,0.0,2.8769345051471236,0.5709700823539884,0.0,1.010205,1.030615,NO@MIA,0.18240478979995478,0.3850280624424308,0.22147984650184369,0.21108730125577074,True
123617-55050,Christian McCaffrey,RB,SF,CLE,SF@CLE,8600,23.0500005086263,,18.2,330,23.26,8.19,28.665,8.645,31.394999999999996,8.645,35.489999999999995,6.824999999999999,28.665,7.734999999999999,32.76,2.7522243982328662,0.4976371034531273,0.0,2.8247438979708677,0.5120354928459755,0.0,2.8860450590170337,0.5598690429693496,0.0,2.661063619835889,0.568770236795474,0.0,2.7904108876251534,0.5720351267521104,0.0,1.01163,1.03489,CLE@SF,0.1440244461689938,0.48466861362189917,0.190113846021111,0.18119309418799603,True
123617-104433,Kyren Williams,RB,LAR,CAR,LAR@CAR,8500,14.818181818181818,,14.0,500,16.67,6.3,22.05,6.6499999999999995,24.15,6.6499999999999995,27.3,5.25,22.05,5.95,25.2,2.4834300908117437,0.4951654063476552,0.0,2.5559495905497447,0.5095637957405035,0.0,2.617250751595911,0.5573973458638776,0.0,2.3922693124147663,0.5662985396900019,0.0,2.5216165802040305,0.5695634296466383,0.0,1.008335,1.025005,CAR@LAR,0.160993076582962,0.2754092249059485,0.5322181457809924,0.03137955273009704,True
123617-69189,Justin Herbert,QB,LAC,LV,LV@LAC,8300,20.37636358087713,,19.2,1700,5.56,7.199999999999999,40.31999999999999,7.199999999999999,33.12,7.68,33.12,7.68,38.879999999999995,8.16,36.0,2.8410051035474804,0.6742982161716576,0.0,2.7426499564244535,0.5975512870840007,0.0,2.774919216993239,0.5723714492714874,0.0,2.855090542030829,0.6349294665944349,0.0,2.8469223323709825,0.581250134973434,0.0,1.00278,1.00834,LV@LAC,0.10182520322187753,0.40203524440197325,0.4685158816507305,0.02762367072541867,True
123617-91750,Trey McBride,TE,ARI,TB,ARI@TB,8300,15.245454268022018,,14.4,800,11.11,5.4,30.24,5.4,24.84,5.760000000000001,24.84,5.760000000000001,28.080000000000002,6.12,27.0,2.5588158976882203,0.6764279639893644,0.0,2.460460750565193,0.5996810349017075,0.0,2.4927300111339785,0.5745011970891941,0.0,2.554031172180145,0.6223347472125683,0.0,2.5647331265117215,0.5833798827911408,0.0,1.005555,1.016665,ARI@TB,0.24637684918481859,0.2867018011521415,0.17263273036265456,0.2942886193003855,False
123617-85671,Justin Jefferson,WR,MIN,SEA,MIN@SEA,8300,11.627272865988992,,11.0,1600,5.88,4.125,23.925,4.125,18.150000000000002,4.4,18.150000000000002,4.675,22.275000000000002,4.675,20.625,2.3018534873925476,0.6881126008995689,0.0,2.1637267990784683,0.5803317733248458,0.0,2.195996059647254,0.5551519355123324,0.0,2.328705576878478,0.6114000782736864,0.0,2.290225056310414,0.5813735685314024,0.0,1.00294,1.00882,MIN@SEA,0.0993755494294028,0.33785309539208386,0.5544345913446508,0.008336763833862611,False
