game_id,away_team,home_team,away_score,home_score,total_points
fixture:354414,CHI,PHI,24,15,39
fixture:355249,ATL,NYJ,24,27,51
fixture:355291,MIN,SEA,0,26,26
fixture:355264,KC,DAL,28,31,59
fixture:356041,GB,DET,31,24,55
fixture:354991,DEN,WAS,27,26,53
fixture:354628,ARI,TB,17,20,37
fixture:354813,LV,LAC,14,31,45
fixture:355752,LAR,CAR,28,31,59
fixture:355728,NO,MIA,17,21,38
fixture:354350,JAC,TEN,25,3,28
fixture:355181,NYG,NE,15,33,48
fixture:354635,BUF,PIT,26,7,33
fixture:355526,CIN,BAL,32,14,46
fixture:355923,HOU,IND,20,16,36
fixture:354410,SF,CLE,26,8,34
