name,position,team,salary,actual_points
A.J. Brown,WR,PHI,8300,33.2
Bijan Robinson,RB,ATL,9500,30.8
Seattle Seahawks,D,SEA,5000,30.0
Patrick Mahomes,QB,KC,8400,29.44
Jameson Williams,WR,DET,6500,26.4
Jordan Love,QB,GB,7300,25.76
Rashee Rice,WR,KC,8600,25.4
Dontayvion Wicks,WR,GB,5000,25.0
Dak Prescott,QB,DAL,7900,24.6
Marcus Mariota,QB,WAS,6700,24.26
CeeDee Lamb,WR,DAL,8700,23.7
Jacoby Brissett,QB,ARI,7600,23.64
D'Andre Swift,RB,CHI,6400,23.3
Adonai Mitchell,WR,NYJ,5300,23.2
Kimani Vidal,RB,LAC,6700,23.2
Bryce Young,QB,CAR,6900,22.54
De'Von Achane,RB,MIA,8700,22.4
Kyle Monangai,RB,CHI,6000,22.0
Trevor Lawrence,QB,JAC,7200,21.66
Tyrod Taylor,QB,NYJ,6700,21.28
Jared Goff,QB,DET,8100,20.64
Drake Maye,QB,NE,8300,20.48
Bo Nix,QB,DEN,7400,20.44
Brock Bowers,TE,LV,7200,20.3
James Cook III,RB,BUF,8800,20.2
Davante Adams,WR,LAR,8200,19.8
RJ Harvey,RB,DEN,6300,19.7
Chuba Hubbard,RB,CAR,5600,19.4
Devaughn Vele,WR,NO,4900,19.3
Joe Burrow,QB,CIN,7800,19.24
Terry McLaurin,WR,WAS,6500,19.1
Nico Collins,WR,HOU,8100,19.0
Zach Ertz,TE,WAS,5200,18.6
Tyler Shough,QB,NO,6500,18.36
Jakobi Meyers,WR,JAC,6100,18.3
Trey McBride,TE,ARI,8300,18.2
Josh Allen,QB,BUF,9400,17.72
Devin Singletary,RB,NYG,5900,17.7
Ja'Marr Chase,WR,CIN,9500,17.5
Jalen Hurts,QB,PHI,9100,17.3
Brock Purdy,QB,SF,7300,17.12
Derrick Henry,RB,BAL,8800,16.9
Christian Watson,WR,GB,6000,16.3
Daniel Jones,QB,IND,7500,16.14
Alec Pierce,WR,IND,5800,15.8
Javonte Williams,RB,DAL,7800,15.5
Jalen Coker,WR,CAR,5400,15.4
Christian McCaffrey,RB,SF,8600,15.4
Zonovan Knight,RB,ARI,6000,15.3
Bucky Irving,RB,TB,7500,15.1
Buffalo Bills,D,BUF,4400,15.0
Chase Brown,RB,CIN,7200,14.8
Courtland Sutton,WR,DEN,6600,14.7
Breece Hall,RB,NYJ,7400,14.6
Baker Mayfield,QB,TB,8200,14.46
Quinshon Judkins,RB,CLE,7800,14.4
Blake Corum,RB,LAR,5700,14.1
Cincinnati Bengals,D,CIN,3400,14.0
Jacksonville Jaguars,D,JAC,4800,14.0
Justin Herbert,QB,LAC,8300,13.84
George Pickens,WR,DAL,8000,13.8
Matthew Stafford,QB,LAR,8000,13.62
Jonathan Taylor,RB,IND,9900,13.6
Jaxson Dart,QB,NYG,7500,13.56
Kirk Cousins,QB,ATL,6800,13.36
Kyren Williams,RB,LAR,8500,13.2
Darius Slayton,WR,NYG,5500,13.1
Carolina Panthers,D,CAR,3100,13.0
Travis Kelce,TE,KC,6000,13.0
Geno Smith,QB,LV,6700,13.0
Chris Olave,WR,NO,7200,12.7
Tyler Allgeier,RB,ATL,5800,12.5
Brenton Strange,TE,JAC,5100,12.0
Jauan Jennings,WR,SF,6600,11.9
Ladd McConkey,WR,LAC,7600,11.9
David Montgomery,RB,DET,6000,11.8
Kyle Pitts Sr.,TE,ATL,5100,11.7
Kayshon Boutte,WR,NE,5600,11.5
Jaret Patterson,RB,LAC,4700,11.4
Jaylen Warren,RB,PIT,7200,11.4
Zach Charbonnet,RB,SEA,6300,11.2
Cole Kmet,TE,CHI,4800,11.1
Miami Dolphins,D,MIA,3700,11.0
New England Patriots,D,NE,4700,11.0
San Francisco 49ers,D,SF,4700,11.0
Evan Engram,TE,DEN,4900,10.9
Tetairoa McMillan,WR,CAR,6800,10.8
Malik Davis,RB,DAL,4800,10.7
Shedeur Sanders,QB,CLE,6400,10.56
Isaac TeSlaa,WR,DET,4500,10.5
Caleb Williams,QB,CHI,8000,10.46
Puka Nacua,WR,LAR,9300,10.2
Jahmyr Gibbs,RB,DET,9500,10.1
Keaton Mitchell,RB,BAL,4400,10.1
TreVeyon Henderson,RB,NE,7700,10.1
