QB,RB1,RB2,WR1,WR2,WR3,TE,FLEX,DEF,mean,median,p10,p90,std,skewness,fitness
drake maye,devon achane,christian mccaffrey,marvin harrison,wandale robinson,michael pittman,hunter henry,treveyon henderson,giants,138.04191587416682,137.07341797774387,112.2758167226112,164.79739572852276,20.971246454175013,0.04618218085125477,137.07341797774387
drake maye,devon achane,christian mccaffrey,marvin harrison,wandale robinson,michael pittman,hunter henry,treveyon henderson,giants,138.05378732550417,136.93931763190125,111.65154959378555,163.62459408136093,21.13929394313188,0.05272028936259799,136.93931763190125
drake maye,devon achane,christian mccaffrey,marvin harrison,wandale robinson,michael pittman,hunter henry,treveyon henderson,giants,139.07061514734295,136.84629458345668,112.73136394661881,168.47671281421572,22.436474926730824,0.09913859334632866,136.84629458345668
drake maye,devon achane,christian mccaffrey,marvin harrison,wandale robinson,michael pittman,hunter henry,treveyon henderson,giants,138.1426124809954,136.80605136568562,113.3291104198908,164.9588265658297,20.86952696251552,0.06404367083693058,136.80605136568562
drake maye,devon achane,christian mccaffrey,marvin harrison,wandale robinson,michael pittman,hunter henry,treveyon henderson,dolphins,138.4819876685872,136.7605964566228,115.55138326078033,163.87592808932567,20.417786489798885,0.08430841476496201,136.7605964566228
drake maye,devon achane,christian mccaffrey,marvin harrison,wandale robinson,michael pittman,hunter henry,treveyon henderson,dolphins,138.59343583867675,136.70496615737983,112.75673669659496,165.15096293505803,21.874102773362146,0.08633358363830432,136.70496615737983
drake maye,devon achane,christian mccaffrey,marvin harrison,wandale robinson,michael pittman,hunter henry,treveyon henderson,dolphins,138.29487561625487,136.66162878587159,112.40096987668804,165.13521607707833,21.40614677804929,0.0762980300620045,136.66162878587159
drake maye,devon achane,christian mccaffrey,marvin harrison,wandale robinson,michael pittman,hunter henry,treveyon henderson,giants,138.6101613075959,136.52472014181,112.8297085187334,165.78495973647827,21.824764459361184,0.09555389107035164,136.52472014181
drake maye,devon achane,christian mccaffrey,marvin harrison,wandale robinson,michael pittman,hunter henry,treveyon henderson,dolphins,137.8018029486516,136.48915888413583,112.47446904792473,164.75016266055053,20.78064694058376,0.06316666022327916,136.48915888413583
drake maye,devon achane,christian mccaffrey,marvin harrison,wandale robinson,michael pittman,hunter henry,treveyon henderson,dolphins,137.78575626071836,136.4777291432795,111.8623986514968,166.26996616121556,21.066336079690842,0.06209086917111645,136.4777291432795
drake maye,devon achane,christian mccaffrey,marvin harrison,wandale robinson,michael pittman,hunter henry,treveyon henderson,dolphins,138.46963963530118,136.47226108635934,113.42986613674006,166.5765395640926,21.301931730106514,0.09376513708937005,136.47226108635934
drake maye,devon achane,christian mccaffrey,marvin harrison,wandale robinson,michael pittman,hunter henry,treveyon henderson,giants,138.99583697013398,136.45411090398233,113.63398031189715,166.62508077008883,22.060402548683317,0.11521666753553222,136.45411090398233
drake maye,devon achane,christian mccaffrey,marvin harrison,wandale robinson,michael pittman,hunter henry,treveyon henderson,giants,138.01518301556206,136.4275986991305,113.86287295767454,164.93484450796575,21.30195277794751,0.07452764227677192,136.4275986991305
