QB,RB1,RB2,WR1,WR2,WR3,TE,FLEX,DEF,lineup_id,player_ids,tier,temperature,milp_projection,total_salary,mean,median,p10,p90,std,skewness,fitness,lineupid
drake maye,devon achane,christian mccaffrey,tetairoa mcmillan,marvin harrison,troy franklin,taysom hill,treveyon henderson,panthers,child_136321,"drake maye,panthers,tetairoa mcmillan,marvin harrison,troy franklin,devon achane,christian mccaffrey,treveyon henderson,taysom hill",,,,,139.0780698884142,136.62185664779847,111.08597394258472,169.27681762209403,24.16238438152989,0.1016544229175208,136.62185664779847,
drake maye,devon achane,christian mccaffrey,tetairoa mcmillan,marvin harrison,wandale robinson,taysom hill,treveyon henderson,cardinals,mutated_392336,"drake maye,cardinals,tetairoa mcmillan,marvin harrison,wandale robinson,devon achane,christian mccaffrey,treveyon henderson,taysom hill",,,,,139.03597656057315,136.17525407243173,114.36728825507852,168.36318942306212,22.403878377962958,0.1276887170997724,136.17525407243173,
drake maye,devon achane,christian mccaffrey,tetairoa mcmillan,troy franklin,wandale robinson,taysom hill,treveyon henderson,panthers,mutated_291558,"drake maye,panthers,tetairoa mcmillan,troy franklin,wandale robinson,devon achane,christian mccaffrey,treveyon henderson,taysom hill",,,,,138.7896992150555,136.15149002701764,112.10677993736935,168.2215737367232,22.880267516497852,0.11530499746716524,136.15149002701764,
drake maye,devon achane,christian mccaffrey,wandale robinson,tetairoa mcmillan,michael pittman,hunter henry,treveyon henderson,dolphins,,"drake maye,dolphins,wandale robinson,tetairoa mcmillan,michael pittman,devon achane,christian mccaffrey,treveyon henderson,hunter henry",,,,,138.54587602373462,135.87818655542918,113.00226123053206,165.98084276824832,21.598843197474995,0.12351075675281097,135.87818655542918,child_890270
drake maye,devon achane,christian mccaffrey,wandale robinson,tetairoa mcmillan,michael pittman,hunter henry,treveyon henderson,cardinals,,"drake maye,cardinals,wandale robinson,tetairoa mcmillan,michael pittman,devon achane,christian mccaffrey,treveyon henderson,hunter henry",,,,,137.6483200019853,135.6776241627621,112.45430590019592,166.3954456370999,21.192492242964004,0.09299028243728512,135.6776241627621,child_983305
drake maye,devon achane,christian mccaffrey,tetairoa mcmillan,michael pittman,troy franklin,taysom hill,treveyon henderson,dolphins,child_449828,"drake maye,dolphins,tetairoa mcmillan,michael pittman,troy franklin,devon achane,christian mccaffrey,treveyon henderson,taysom hill",,,,,136.8594492196901,135.64530268860463,109.24230335824645,165.6133391943881,22.878489957288853,0.053069347380536404,135.64530268860463,
drake maye,devon achane,christian mccaffrey,wandale robinson,tetairoa mcmillan,michael pittman,taysom hill,treveyon henderson,dolphins,,"drake maye,dolphins,wandale robinson,tetairoa mcmillan,michael pittman,devon achane,christian mccaffrey,treveyon henderson,taysom hill",,,,,137.16883656541665,135.62318682972364,110.34741378603215,164.10217071058605,21.800875483051357,0.07089851675427679,135.62318682972364,child_792910
drake maye,devon achane,christian mccaffrey,wandale robinson,tetairoa mcmillan,michael pittman,hunter henry,treveyon henderson,titans,,"drake maye,titans,wandale robinson,tetairoa mcmillan,michael pittman,devon achane,christian mccaffrey,treveyon henderson,hunter henry",,,,,137.58889140772976,135.6114009072291,112.7106437457234,165.19057016287525,21.052537263314296,0.09393121958494748,135.6114009072291,child_612326
drake maye,devon achane,christian mccaffrey,courtland sutton,wandale robinson,brian thomas,hunter henry,treveyon henderson,chargers,mutated_315611,"drake maye,chargers,courtland sutton,wandale robinson,brian thomas,devon achane,christian mccaffrey,treveyon henderson,hunter henry",,,,,137.1124996692244,135.46328881344638,112.539980743509,164.38652010225556,20.495418393831773,0.08046729391356866,135.46328881344638,
drake maye,devon achane,christian mccaffrey,stefon diggs,wandale robinson,troy franklin,hunter henry,treveyon henderson,dolphins,child_558491,"drake maye,dolphins,stefon diggs,wandale robinson,troy franklin,devon achane,christian mccaffrey,treveyon henderson,hunter henry",,,,,136.62556456168554,135.4550715434787,112.39733662613008,161.349338157277,20.138648118794983,0.058121727501382274,135.4550715434787,
