QB,RB1,RB2,WR1,WR2,WR3,TE,FLEX,DEF,lineup_id,player_ids,tier,temperature,milp_projection,total_salary,mean,median,p10,p90,std,skewness,fitness,actual_only,actual_with_consensus,players_actual,players_consensus,players_missing,error_vs_mean,error_vs_median,in_range,above_p90,below_p10
Bo Nix,De'Von Achane,Christian McCaffrey,Jaylen Waddle,Wan'Dale Robinson,Alec Pierce,Hunter Henry,TreVeyon Henderson,Tennessee Titans,94,"123617-138820,123617-55050,123617-152647,123617-102965,123617-90573,123617-103539,123617-86312,123617-40845,123617-12534",2,1.04,118.9,60000,125.35336159954132,121.55885190006305,93.1170915206478,163.57902886043178,28.174198616877288,0.134680306300007,70.46193733978397,105.83999999999999,111.63999999999999,8,1,0,-13.71336159954133,-9.91885190006306,True,False,False
Matthew Stafford,De'Von Achane,Christian McCaffrey,Jaylen Waddle,Courtland Sutton,Wan'Dale Robinson,Hunter Henry,RJ Harvey,Tennessee Titans,31,"123617-138820,123617-55050,123617-6654,123617-90573,123617-57403,123617-103539,123617-110484,123617-40845,123617-12534",2,0.41,119.29999999999998,60000,124.40510390753164,121.13050676148993,91.3256145297533,161.48232210274287,28.00130664115594,0.1169444407722301,70.15670757298957,107.52,113.32,8,1,0,-11.085103907531646,-7.810506761489933,True,False,False
Drake Maye,De'Von Achane,Christian McCaffrey,Jaylen Waddle,Khalil Shakir,Wan'Dale Robinson,Kyle Pitts Sr.,RJ Harvey,Tennessee Titans,child_459525,"123617-138820,123617-55050,123617-110484,123617-12534,123617-90573,123617-86518,123617-103539,123617-86080,123617-152316",1,0.0,120.59999999999998,59700,125.36281159559276,121.82345639645813,92.01061195603816,162.15807983790472,28.258051425245345,0.1252512123313866,70.14746788186656,102.08,118.08,7,2,0,-7.2828115955927615,-3.7434563964581287,True,False,False
Drake Maye,De'Von Achane,Christian McCaffrey,Jaylen Waddle,Troy Franklin,Alec Pierce,Kyle Pitts Sr.,RJ Harvey,Atlanta Falcons,22,"123617-138820,123617-55050,123617-152316,123617-90573,123617-110484,123617-151903,123617-86312,123617-86080,123617-12525",2,0.32,119.5,60000,124.55166740626764,121.12682988004188,91.77986446461516,161.787290383643,28.044647003113894,0.1221208997868822,70.00742591902785,110.98,128.98,7,2,0,4.42833259373235,7.853170119958108,True,False,False
Drake Maye,De'Von Achane,Christian McCaffrey,Jaylen Waddle,Tetairoa McMillan,Troy Franklin,Kyle Pitts Sr.,RJ Harvey,Tennessee Titans,0,"123617-138820,123617-55050,123617-152316,123617-90573,123617-167620,123617-110484,123617-151903,123617-86080,123617-12534",1,0.0,120.59999999999998,60000,126.52426355829746,122.8317189165131,93.76977426815613,163.64924582253903,28.46453085795607,0.1297244159832084,69.8794715543829,105.98,122.38,7,2,0,-4.144263558297467,-0.4517189165131015,True,False,False
Drake Maye,De'Von Achane,Christian McCaffrey,Jaylen Waddle,Tetairoa McMillan,Alec Pierce,Kyle Pitts Sr.,RJ Harvey,New Orleans Saints,37,"123617-138820,123617-55050,123617-152316,123617-90573,123617-167620,123617-110484,123617-86312,123617-86080,123617-12542",2,0.47,119.29999999999998,60000,125.29648433182324,121.7834149235264,93.14041821750928,162.8338544428366,28.124516098130385,0.1249112836657971,69.69343622532733,128.78,128.78,9,0,0,3.4835156681767643,6.9965850764736075,True,False,False
Matthew Stafford,De'Von Achane,Christian McCaffrey,Jaylen Waddle,Tetairoa McMillan,Wan'Dale Robinson,Kyle Pitts Sr.,RJ Harvey,New York Giants,child_452855,"123617-138820,123617-55050,123617-110484,123617-12543,123617-90573,123617-167620,123617-103539,123617-86080,123617-6654",3,2.8773112406588597,117.6,60000,124.91509467477432,121.62444522176956,92.04296770027726,161.6128628325568,28.011378351189254,0.1174754562859655,69.56989513227954,106.02000000000001,111.52000000000001,8,1,0,-13.395094674774313,-10.104445221769552,True,False,False
Drake Maye,De'Von Achane,Christian McCaffrey,Jaylen Waddle,Courtland Sutton,Wan'Dale Robinson,Kyle Pitts Sr.,RJ Harvey,Tennessee Titans,20,"123617-138820,123617-55050,123617-152316,123617-90573,123617-57403,123617-103539,123617-110484,123617-86080,123617-12534",2,0.3,119.5,60000,124.62093733872616,121.83176089302756,91.9197181871872,161.32903375996997,28.302916395655167,0.0985473159976813,69.40931557278277,116.78,122.58,8,1,0,-2.0409373387261667,0.7482391069724343,True,False,False
Matthew Stafford,De'Von Achane,Christian McCaffrey,Jaylen Waddle,Tetairoa McMillan,Wan'Dale Robinson,Kyle Pitts Sr.,RJ Harvey,Tennessee Titans,3,"123617-138820,123617-55050,123617-6654,123617-90573,123617-167620,123617-103539,123617-110484,123617-86080,123617-12534",1,0.0,120.2,59900,126.4011051534508,122.94991659792652,93.62319287920496,162.9674984903565,27.931427403333984,0.1235593335667604,69.34430561115153,106.02000000000001,111.82000000000001,8,1,0,-14.581105153450792,-11.12991659792651,True,False,False
Drake Maye,De'Von Achane,TreVeyon Henderson,Jaylen Waddle,Khalil Shakir,Alec Pierce,Hunter Henry,RJ Harvey,Los Angeles Chargers,106,"123617-138820,123617-152316,123617-152647,123617-90573,123617-86518,123617-110484,123617-86312,123617-40845,123617-12548",3,2.424265384939839,118.2,60000,124.66240522207045,120.76772285644358,92.42245280777912,161.74365863642163,28.02079222379856,0.1389925857384945,69.3212058286425,111.28,121.47999999999999,8,1,0,-3.1824052220704573,0.7122771435564061,True,False,False
Jaxson Dart,De'Von Achane,Christian McCaffrey,Jaylen Waddle,Tetairoa McMillan,Wan'Dale Robinson,Hunter Henry,Kyle Pitts Sr.,Los Angeles Chargers,196,"123617-138820,123617-55050,123617-151966,123617-90573,123617-167620,123617-103539,123617-40845,123617-86080,123617-12548",3,2.8773112406588597,117.6,60000,124.3433784889588,121.51307758879332,91.3676653389709,160.68795196340133,27.75973560425715,0.1019570553738063,69.32028662443044,103.56,103.56,9,0,0,-20.783378488958803,-17.95307758879332,True,False,False
Bo Nix,De'Von Achane,Christian McCaffrey,Jaylen Waddle,Tetairoa McMillan,Wan'Dale Robinson,Kyle Pitts Sr.,RJ Harvey,Miami Dolphins,4,"123617-138820,123617-55050,123617-102965,123617-90573,123617-167620,123617-103539,123617-110484,123617-86080,123617-12539",1,0.0,120.1,60000,126.11983139707358,122.57344231996598,93.76435415508872,162.87933078187356,27.824247673678325,0.127456782253361,69.11497662678484,123.84000000000002,123.84000000000002,9,0,0,-2.279831397073565,1.2665576800340403,True,False,False
Bo Nix,De'Von Achane,Christian McCaffrey,Davante Adams,Tetairoa McMillan,Tre Tucker,Hunter Henry,RJ Harvey,Tennessee Titans,125,"123617-138820,123617-55050,123617-45889,123617-102965,123617-167620,123617-110484,123617-103619,123617-40845,123617-12534",3,1.6958398448183658,117.89999999999998,60000,124.123090575352,120.2657763374163,91.5991151856266,160.71097616322362,27.872332559673904,0.138392229271709,69.11186097759702,117.84,131.74,7,2,0,7.616909424648014,11.47422366258371,True,False,False
Josh Allen,De'Von Achane,Christian McCaffrey,Jaylen Waddle,Khalil Shakir,Tre Tucker,Kyle Pitts Sr.,RJ Harvey,Tennessee Titans,113,"123617-62239,123617-138820,123617-55050,123617-90573,123617-86518,123617-110484,123617-103619,123617-86080,123617-12534",3,2.547721682791299,118.1,60000,123.7393311464264,120.62128210751136,91.28325878208824,160.37728611550637,27.90064214169824,0.1117554579238538,69.09402733341813,92.42,116.52,6,3,0,-7.2193311464263985,-4.101282107511366,True,False,False
Trevor Lawrence,De'Von Achane,Christian McCaffrey,Jaylen Waddle,Wan'Dale Robinson,Troy Franklin,Kyle Pitts Sr.,RJ Harvey,Los Angeles Chargers,14,"123617-138820,123617-55050,123617-89951,123617-90573,123617-103539,123617-110484,123617-151903,123617-86080,123617-12548",1,0.0,119.7,60000,126.41877262190818,122.65020061376708,94.56718290152054,163.59491487972568,28.061956663767585,0.1342946984522612,69.02773197820514,111.26000000000002,121.86000000000001,8,1,0,-4.558772621908162,-0.7902006137670696,True,False,False
Matthew Stafford,De'Von Achane,Christian McCaffrey,Jaylen Waddle,Wan'Dale Robinson,Troy Franklin,Kyle Pitts Sr.,RJ Harvey,Miami Dolphins,1,"123617-138820,123617-55050,123617-6654,123617-90573,123617-103539,123617-110484,123617-151903,123617-86080,123617-12539",1,0.0,120.5,60000,126.33834096298092,123.4063217396183,93.4847165160542,162.49749262921162,28.10852578185308,0.1043106723603247,69.01277611315741,106.22,116.82,8,1,0,-9.518340962980929,-6.586321739618313,True,False,False
