QB,RB1,RB2,WR1,WR2,WR3,TE,FLEX,DEF,lineup_id,player_ids,tier,temperature,milp_projection,total_salary,mean,median,p10,p90,std,skewness,fitness
Bo Nix,De'Von Achane,Christian McCaffrey,Jaylen Waddle,Wan'Dale Robinson,Alec Pierce,Hunter Henry,TreVeyon Henderson,Tennessee Titans,94,"123617-138820,123617-55050,123617-152647,123617-102965,123617-90573,123617-103539,123617-86312,123617-40845,123617-12534",2,1.04,118.9,60000,125.35336159954132,121.55885190006305,93.1170915206478,163.57902886043178,28.174198616877288,0.134680306300007,70.46193733978397
Matthew Stafford,De'Von Achane,Christian McCaffrey,Jaylen Waddle,Courtland Sutton,Wan'Dale Robinson,Hunter Henry,RJ Harvey,Tennessee Titans,31,"123617-138820,123617-55050,123617-6654,123617-90573,123617-57403,123617-103539,123617-110484,123617-40845,123617-12534",2,0.41,119.29999999999998,60000,124.40510390753164,121.13050676148993,91.3256145297533,161.48232210274287,28.00130664115594,0.1169444407722301,70.15670757298957
Drake Maye,De'Von Achane,Christian McCaffrey,Jaylen Waddle,Khalil Shakir,Wan'Dale Robinson,Kyle Pitts Sr.,RJ Harvey,Tennessee Titans,child_459525,"123617-138820,123617-55050,123617-110484,123617-12534,123617-90573,123617-86518,123617-103539,123617-86080,123617-152316",1,0.0,120.59999999999998,59700,125.36281159559276,121.82345639645811,92.01061195603816,162.15807983790472,28.258051425245345,0.1252512123313866,70.14746788186656
Drake Maye,De'Von Achane,Christian McCaffrey,Jaylen Waddle,Troy Franklin,Alec Pierce,Kyle Pitts Sr.,RJ Harvey,Atlanta Falcons,22,"123617-138820,123617-55050,123617-152316,123617-90573,123617-110484,123617-151903,123617-86312,123617-86080,123617-12525",2,0.32,119.5,60000,124.55166740626764,121.12682988004188,91.77986446461516,161.787290383643,28.044647003113894,0.1221208997868822,70.00742591902785
Drake Maye,De'Von Achane,Christian McCaffrey,Jaylen Waddle,Tetairoa McMillan,Troy Franklin,Kyle Pitts Sr.,RJ Harvey,Tennessee Titans,0,"123617-138820,123617-55050,123617-152316,123617-90573,123617-167620,123617-110484,123617-151903,123617-86080,123617-12534",1,0.0,120.59999999999998,60000,126.52426355829746,122.8317189165131,93.76977426815613,163.64924582253903,28.46453085795607,0.1297244159832084,69.8794715543829
Drake Maye,De'Von Achane,Christian McCaffrey,Jaylen Waddle,Tetairoa McMillan,Alec Pierce,Kyle Pitts Sr.,RJ Harvey,New Orleans Saints,37,"123617-138820,123617-55050,123617-152316,123617-90573,123617-167620,123617-110484,123617-86312,123617-86080,123617-12542",2,0.47,119.29999999999998,60000,125.29648433182324,121.7834149235264,93.14041821750928,162.8338544428366,28.124516098130385,0.1249112836657971,69.69343622532733
Matthew Stafford,De'Von Achane,Christian McCaffrey,Jaylen Waddle,Tetairoa McMillan,Wan'Dale Robinson,Kyle Pitts Sr.,RJ Harvey,New York Giants,child_452855,"123617-138820,123617-55050,123617-110484,123617-12543,123617-90573,123617-167620,123617-103539,123617-86080,123617-6654",3,2.8773112406588597,117.6,60000,124.91509467477432,121.62444522176955,92.04296770027726,161.6128628325568,28.011378351189254,0.11747545628596556,69.56989513227954
Drake Maye,De'Von Achane,Christian McCaffrey,Jaylen Waddle,Courtland Sutton,Wan'Dale Robinson,Kyle Pitts Sr.,RJ Harvey,Tennessee Titans,20,"123617-138820,123617-55050,123617-152316,123617-90573,123617-57403,123617-103539,123617-110484,123617-86080,123617-12534",2,0.3,119.5,60000,124.62093733872616,121.83176089302756,91.9197181871872,161.32903375996997,28.302916395655167,0.0985473159976813,69.40931557278277
Matthew Stafford,De'Von Achane,Christian McCaffrey,Jaylen Waddle,Tetairoa McMillan,Wan'Dale Robinson,Kyle Pitts Sr.,RJ Harvey,Tennessee Titans,3,"123617-138820,123617-55050,123617-6654,123617-90573,123617-167620,123617-103539,123617-110484,123617-86080,123617-12534",1,0.0,120.2,59900,126.4011051534508,122.94991659792652,93.62319287920496,162.9674984903565,27.931427403333984,0.1235593335667604,69.34430561115153
Drake Maye,De'Von Achane,TreVeyon Henderson,Jaylen Waddle,Khalil Shakir,Alec Pierce,Hunter Henry,RJ Harvey,Los Angeles Chargers,106,"123617-138820,123617-152316,123617-152647,123617-90573,123617-86518,123617-110484,123617-86312,123617-40845,123617-12548",3,2.424265384939839,118.2,60000,124.66240522207045,120.76772285644358,92.42245280777912,161.74365863642163,28.02079222379856,0.1389925857384945,69.3212058286425
