QB,RB1,RB2,WR1,WR2,WR3,TE,FLEX,DEF,lineup_id,player_ids,total_salary,strategy,anchor_player,mean,median,std,p10,p80,p90,cvar_score,actual_only,actual_with_consensus,players_actual,players_consensus,players_missing,error_vs_mean,error_vs_median,in_range,above_p90,below_p10
Trevor Lawrence,De'Von Achane,Christian McCaffrey,Jaylen Waddle,Troy Franklin,Alec Pierce,Kyle Pitts Sr.,TreVeyon Henderson,Miami Dolphins,40,"123617-138820,123617-55050,123617-152647,123617-89951,123617-90573,123617-151903,123617-86312,123617-86080,123617-12539",60000,qb_anchor,Trevor Lawrence,127.70207333974471,122.0717535134275,30.767172779672485,97.8278409328062,148.0458595922057,165.95383179381875,174.44054450921496,116.66,116.66,9,0,0,-11.042073339744718,-5.411753513427499,True,False,False
Trevor Lawrence,De'Von Achane,Christian McCaffrey,Jaylen Waddle,Wan'Dale Robinson,Tre Tucker,Kyle Pitts Sr.,TreVeyon Henderson,Miami Dolphins,42,"123617-138820,123617-55050,123617-152647,123617-89951,123617-90573,123617-103539,123617-103619,123617-86080,123617-12539",60000,qb_anchor,Trevor Lawrence,127.98004535360296,123.35248664724593,30.34235798500206,98.28952217759291,148.2259947070125,159.71827078029446,173.30301916101675,108.16000000000001,108.16000000000001,9,0,0,-19.82004535360295,-15.192486647245914,True,False,False
Trevor Lawrence,De'Von Achane,TreVeyon Henderson,Jaylen Waddle,Troy Franklin,Devaughn Vele,Trey McBride,RJ Harvey,Miami Dolphins,43,"123617-138820,123617-91750,123617-152647,123617-89951,123617-90573,123617-110484,123617-151903,123617-103511,123617-12539",60000,qb_anchor,Trevor Lawrence,126.6177495335508,120.17487261827608,30.1347322831016,95.3434840709996,146.86050744627275,161.73841367058657,172.51008143335162,130.96,130.96,9,0,0,4.342250466449201,10.785127381723925,True,False,False
Trevor Lawrence,De'Von Achane,Christian McCaffrey,Jaylen Waddle,Troy Franklin,Jayden Higgins,Kyle Pitts Sr.,TreVeyon Henderson,Miami Dolphins,41,"123617-138820,123617-55050,123617-152647,123617-89951,123617-90573,123617-151903,123617-147315,123617-86080,123617-12539",59800,qb_anchor,Trevor Lawrence,126.25878401414448,119.3348677150104,29.80267979045915,97.2113341641414,146.09421100174663,161.47824325733455,171.25344559577042,109.86,109.86,9,0,0,-16.398784014144482,-9.474867715010404,True,False,False
Trevor Lawrence,De'Von Achane,TreVeyon Henderson,Michael Wilson,Jaylen Waddle,Troy Franklin,Kyle Pitts Sr.,RJ Harvey,Los Angeles Rams,44,"123617-138820,123617-152647,123617-89951,123617-89612,123617-90573,123617-110484,123617-151903,123617-86080,123617-12538",59900,qb_anchor,Trevor Lawrence,124.93129180329092,119.3809474928616,29.873984884397707,95.0279452148406,144.23330325940924,158.12994871906417,169.52797246088548,101.26,101.26,9,0,0,-23.671291803290913,-18.12094749286159,True,False,False
C.J. Stroud,De'Von Achane,Christian McCaffrey,Jaylen Waddle,Troy Franklin,Jerry Jeudy,Kyle Pitts Sr.,TreVeyon Henderson,Los Angeles Chargers,25,"123617-138820,123617-55050,123617-152647,123617-90573,123617-129471,123617-151903,123617-90561,123617-86080,123617-12548",60000,qb_anchor,C.J. Stroud,127.06625654370764,121.64674329813244,28.07781554163543,98.33711202779897,147.94000167768073,163.75419974891187,169.30951039760285,90.33999999999999,90.33999999999999,9,0,0,-36.72625654370765,-31.306743298132446,False,False,True
Jacoby Brissett,De'Von Achane,Christian McCaffrey,Jaylen Waddle,Alec Pierce,Tre Tucker,Kyle Pitts Sr.,TreVeyon Henderson,Miami Dolphins,35,"123617-138820,123617-55050,123617-152647,123617-30231,123617-90573,123617-86312,123617-103619,123617-86080,123617-12539",59800,qb_anchor,Jacoby Brissett,125.76356481528302,120.62575199643344,28.234827871104994,95.7527506203322,145.56012560490288,163.9180197079637,168.69009699826466,119.03999999999999,119.03999999999999,9,0,0,-6.7235648152830265,-1.5857519964334443,True,False,False
Jaxson Dart,De'Von Achane,Christian McCaffrey,Jaylen Waddle,Troy Franklin,Cooper Kupp,Kyle Pitts Sr.,TreVeyon Henderson,Miami Dolphins,55,"123617-138820,123617-55050,123617-152647,123617-151966,123617-90573,123617-151903,123617-79970,123617-86080,123617-12539",59900,qb_anchor,Jaxson Dart,124.8011874227196,118.6407823186812,28.0154793615082,95.79861636653489,147.33228739084652,159.8375216043695,167.92384718235226,96.66,96.66,9,0,0,-28.141187422719597,-21.980782318681207,True,False,False
Jacoby Brissett,De'Von Achane,Christian McCaffrey,Jaylen Waddle,Alec Pierce,Cooper Kupp,Kyle Pitts Sr.,TreVeyon Henderson,Miami Dolphins,39,"123617-138820,123617-55050,123617-152647,123617-30231,123617-90573,123617-86312,123617-79970,123617-86080,123617-12539",59600,qb_anchor,Jacoby Brissett,124.09604719507416,117.0385477179837,28.310150868323724,93.80423036881233,144.90589500296903,160.34526360658148,167.83884812572867,119.44,119.44,9,0,0,-4.656047195074166,2.401452282016294,True,False,False
C.J. Stroud,De'Von Achane,Christian McCaffrey,Jaylen Waddle,Tetairoa McMillan,Troy Franklin,Kyle Pitts Sr.,RJ Harvey,Los Angeles Chargers,26,"123617-138820,123617-55050,123617-90573,123617-129471,123617-167620,123617-110484,123617-151903,123617-86080,123617-12548",60000,qb_anchor,C.J. Stroud,128.02596982541377,124.2657306134266,25.753687576524328,97.03983522535891,149.64294751970448,163.92013789699377,167.6446510731402,106.64,106.64,9,0,0,-21.385969825413767,-17.625730613426597,True,False,False
