QB,RB1,RB2,WR1,WR2,WR3,TE,FLEX,DEF,lineup_id,player_ids,total_salary,strategy,anchor_player,mean,median,std,p10,p80,p90,cvar_score
Josh Allen,De'Von Achane,Christian McCaffrey,Wan'Dale Robinson,Chimere Dike,Tre Tucker,Harold Fannin Jr.,Jayden Higgins,Seattle Seahawks,51,"123617-62239,123617-138820,123617-55050,123617-103539,123617-129112,123617-103619,123617-147315,123617-172699,123617-12550",60000,qb_anchor,Josh Allen,130.73,128.53,19.91,108.62,146.63,157.88,161.34
Jaxson Dart,De'Von Achane,Christian McCaffrey,Stefon Diggs,Wan'Dale Robinson,Troy Franklin,Harold Fannin Jr.,Tre Tucker,Seattle Seahawks,30,"123617-138820,123617-55050,123617-151966,123617-25079,123617-103539,123617-151903,123617-103619,123617-172699,123617-12550",60000,qb_anchor,Jaxson Dart,130.48,127.62,19.94,108.39,146.87,156.44,160.54
Jaxson Dart,De'Von Achane,Christian McCaffrey,Stefon Diggs,Wan'Dale Robinson,Troy Franklin,Harold Fannin Jr.,Chimere Dike,Seattle Seahawks,32,"123617-138820,123617-55050,123617-151966,123617-25079,123617-103539,123617-151903,123617-129112,123617-172699,123617-12550",60000,qb_anchor,Jaxson Dart,130.94,129.92,19.55,106.5,146.71,158.56,160.34
Jaxson Dart,De'Von Achane,Christian McCaffrey,Stefon Diggs,Wan'Dale Robinson,Troy Franklin,Evan Engram,Tre Tucker,Seattle Seahawks,31,"123617-138820,123617-55050,123617-151966,123617-25079,123617-103539,123617-151903,123617-103619,123617-12550,123617-41872",59800,qb_anchor,Jaxson Dart,129.82,125.73,19.89,108.29,144.88,155.27,160.07
Bo Nix,De'Von Achane,Christian McCaffrey,Stefon Diggs,Wan'Dale Robinson,Troy Franklin,Evan Engram,Tre Tucker,Seattle Seahawks,37,"123617-138820,123617-55050,123617-102965,123617-25079,123617-103539,123617-151903,123617-103619,123617-12550,123617-41872",59700,qb_anchor,Bo Nix,130.56,127.61,19.75,109.7,145.74,153.79,159.82
Jaxson Dart,De'Von Achane,Christian McCaffrey,Stefon Diggs,Wan'Dale Robinson,Troy Franklin,Hunter Henry,Adonai Mitchell,Seattle Seahawks,34,"123617-138820,123617-55050,123617-151966,123617-25079,123617-103539,123617-151903,123617-40845,123617-151789,123617-12550",60000,qb_anchor,Jaxson Dart,129.7,127.8,19.84,106.2,144.03,155.21,159.02
Bo Nix,De'Von Achane,Christian McCaffrey,Wan'Dale Robinson,Tre Tucker,Tyler Lockett,Evan Engram,TreVeyon Henderson,Seattle Seahawks,35,"123617-138820,123617-55050,123617-152647,123617-102965,123617-103539,123617-103619,123617-27050,123617-12550,123617-41872",59700,qb_anchor,Bo Nix,128.91,125.56,20.03,108.98,141.55,151.97,158.74
Drake Maye,De'Von Achane,Christian McCaffrey,Brian Thomas Jr.,Wan'Dale Robinson,Troy Franklin,Harold Fannin Jr.,Chimere Dike,Los Angeles Rams,4,"123617-138820,123617-55050,123617-152316,123617-151745,123617-103539,123617-151903,123617-129112,123617-172699,123617-12538",60000,qb_anchor,Drake Maye,129.85,126.58,19.25,110.69,145.82,152.26,158.66
Josh Allen,De'Von Achane,Christian McCaffrey,Wan'Dale Robinson,Chimere Dike,Tre Tucker,Harold Fannin Jr.,Darius Slayton,Seattle Seahawks,50,"123617-62239,123617-138820,123617-55050,123617-103539,123617-129112,123617-103619,123617-63819,123617-172699,123617-12550",59900,qb_anchor,Josh Allen,130.17,128.57,18.52,108.74,143.72,154.47,158.16
Josh Allen,De'Von Achane,Christian McCaffrey,Wan'Dale Robinson,Tre Tucker,Darius Slayton,Harold Fannin Jr.,Adonai Mitchell,Seattle Seahawks,52,"123617-62239,123617-138820,123617-55050,123617-103539,123617-103619,123617-63819,123617-151789,123617-172699,123617-12550",59600,qb_anchor,Josh Allen,129.04,127.05,18.81,108.29,141.68,152.85,157.66
C.J. Stroud,De'Von Achane,Christian McCaffrey,Stefon Diggs,Wan'Dale Robinson,Troy Franklin,Hunter Henry,Tre Tucker,Seattle Seahawks,24,"123617-138820,123617-55050,123617-25079,123617-129471,123617-103539,123617-151903,123617-103619,123617-40845,123617-12550",59600,qb_anchor,C.J. Stroud,128.31,125.23,19.65,106.05,142.84,151.65,157.45
Bo Nix,De'Von Achane,Christian McCaffrey,Wan'Dale Robinson,Chimere Dike,Jerry Jeudy,Hunter Henry,TreVeyon Henderson,Los Angeles Rams,38,"123617-138820,123617-55050,123617-152647,123617-102965,123617-103539,123617-129112,123617-90561,123617-40845,123617-12538",59800,qb_anchor,Bo Nix,129.82,126.56,18.66,108.02,145.7,154.53,157.36
Drake Maye,De'Von Achane,Christian McCaffrey,Wan'Dale Robinson,Chimere Dike,Kayshon Boutte,Hunter Henry,RJ Harvey,Seattle Seahawks,1,"123617-138820,123617-55050,123617-152316,123617-103539,123617-110484,123617-129112,123617-119653,123617-40845,123617-12550",59900,qb_anchor,Drake Maye,128.8,127.07,17.91,109.9,143.48,154.27,157.12
Josh Allen,De'Von Achane,Christian McCaffrey,Wan'Dale Robinson,Tre Tucker,Jayden Higgins,Harold Fannin Jr.,Darius Slayton,Seattle Seahawks,53,"123617-62239,123617-138820,123617-55050,123617-103539,123617-103619,123617-147315,123617-63819,123617-172699,123617-12550",59900,qb_anchor,Josh Allen,129.06,126.13,18.15,107.69,142.95,151.4,156.51
Baker Mayfield,De'Von Achane,Christian McCaffrey,Stefon Diggs,Wan'Dale Robinson,Tre Tucker,Harold Fannin Jr.,Tyler Lockett,Seattle Seahawks,56,"123617-138820,123617-55050,123617-41535,123617-25079,123617-103539,123617-103619,123617-27050,123617-172699,123617-12550",59900,qb_anchor,Baker Mayfield,125.1,121.38,20.52,104.3,139.31,149.26,156.42
Josh Allen,De'Von Achane,Christian McCaffrey,Wan'Dale Robinson,Tre Tucker,Darius Slayton,Brenton Strange,Adonai Mitchell,Seattle Seahawks,54,"123617-62239,123617-138820,123617-55050,123617-103539,123617-103619,123617-63819,123617-151789,123617-103587,123617-12550",59600,qb_anchor,Josh Allen,128.55,125.81,18.58,107.26,143.37,149.8,156.31
Jacoby Brissett,De'Von Achane,Christian McCaffrey,Wan'Dale Robinson,Jerry Jeudy,Adonai Mitchell,Hunter Henry,TreVeyon Henderson,Denver Broncos,9,"123617-138820,123617-55050,123617-152647,123617-30231,123617-103539,123617-90561,123617-40845,123617-151789,123617-12531",59900,qb_anchor,Jacoby Brissett,127.82,125.83,18.82,106.51,142.49,152.02,156.17
Matthew Stafford,De'Von Achane,Christian McCaffrey,Stefon Diggs,Wan'Dale Robinson,Tre Tucker,Hunter Henry,Jerry Jeudy,Denver Broncos,43,"123617-138820,123617-55050,123617-6654,123617-25079,123617-103539,123617-103619,123617-90561,123617-40845,123617-12531",59800,qb_anchor,Matthew Stafford,127.21,124.21,18.76,105.17,140.92,149.41,155.66
Bo Nix,De'Von Achane,Christian McCaffrey,Wan'Dale Robinson,Khalil Shakir,Adonai Mitchell,Evan Engram,TreVeyon Henderson,Los Angeles Rams,36,"123617-138820,123617-55050,123617-152647,123617-102965,123617-103539,123617-86518,123617-151789,123617-41872,123617-12538",59900,qb_anchor,Bo Nix,128.93,126.74,17.93,107.76,143.96,151.77,155.52
Trevor Lawrence,De'Von Achane,Christian McCaffrey,Wan'Dale Robinson,Tre Tucker,Jerry Jeudy,Taysom Hill,TreVeyon Henderson,Denver Broncos,11,"123617-138820,123617-55050,123617-152647,123617-89951,123617-103539,123617-103619,123617-45565,123617-90561,123617-12531",60000,qb_anchor,Trevor Lawrence,127.43,125.41,18.74,107.44,141.4,150.71,155.46
Trevor Lawrence,De'Von Achane,Christian McCaffrey,Courtland Sutton,Wan'Dale Robinson,Khalil Shakir,Evan Engram,Troy Franklin,Seattle Seahawks,14,"123617-138820,123617-55050,123617-89951,123617-57403,123617-103539,123617-86518,123617-151903,123617-12550,123617-41872",59900,qb_anchor,Trevor Lawrence,126.88,125.24,18.52,105.24,142.29,150.1,155.0
Drake Maye,De'Von Achane,Christian McCaffrey,Wan'Dale Robinson,Chimere Dike,Cooper Kupp,Hunter Henry,RJ Harvey,Seattle Seahawks,2,"123617-138820,123617-55050,123617-152316,123617-103539,123617-110484,123617-129112,123617-79970,123617-40845,123617-12550",59700,qb_anchor,Drake Maye,127.87,125.43,17.15,108.73,141.11,154.0,154.94
Bo Nix,De'Von Achane,Christian McCaffrey,Wan'Dale Robinson,Tre Tucker,Kayshon Boutte,Evan Engram,TreVeyon Henderson,Seattle Seahawks,39,"123617-138820,123617-55050,123617-152647,123617-102965,123617-103539,123617-103619,123617-119653,123617-12550,123617-41872",59900,qb_anchor,Bo Nix,128.84,127.71,17.97,107.07,142.7,150.96,154.93
Trevor Lawrence,De'Von Achane,Christian McCaffrey,Wan'Dale Robinson,Tre Tucker,Adonai Mitchell,Hunter Henry,TreVeyon Henderson,Seattle Seahawks,10,"123617-138820,123617-55050,123617-152647,123617-89951,123617-103539,123617-103619,123617-40845,123617-151789,123617-12550",59900,qb_anchor,Trevor Lawrence,126.96,123.66,18.76,106.98,139.83,150.32,154.89
Baker Mayfield,De'Von Achane,Christian McCaffrey,Stefon Diggs,Wan'Dale Robinson,Tre Tucker,Evan Engram,Tyler Lockett,Seattle Seahawks,55,"123617-138820,123617-55050,123617-41535,123617-25079,123617-103539,123617-103619,123617-27050,123617-12550,123617-41872",59700,qb_anchor,Baker Mayfield,124.44,120.0,20.15,104.59,135.51,148.03,154.75
Jaxson Dart,De'Von Achane,Christian McCaffrey,Wan'Dale Robinson,Jayden Higgins,Adonai Mitchell,Hunter Henry,TreVeyon Henderson,Los Angeles Rams,33,"123617-138820,123617-55050,123617-152647,123617-151966,123617-103539,123617-147315,123617-40845,123617-151789,123617-12538",59800,qb_anchor,Jaxson Dart,127.3,124.66,18.1,105.61,141.67,149.78,154.6
Drake Maye,De'Von Achane,Christian McCaffrey,Wan'Dale Robinson,Darnell Mooney,Troy Franklin,Hunter Henry,Jerry Jeudy,Los Angeles Rams,0,"123617-138820,123617-55050,123617-152316,123617-103539,123617-69777,123617-151903,123617-90561,123617-40845,123617-12538",60000,qb_anchor,Drake Maye,128.12,125.41,16.9,106.89,141.8,154.07,154.59
Trevor Lawrence,De'Von Achane,Christian McCaffrey,Wan'Dale Robinson,Khalil Shakir,Adonai Mitchell,Harold Fannin Jr.,TreVeyon Henderson,Los Angeles Rams,13,"123617-138820,123617-55050,123617-152647,123617-89951,123617-103539,123617-86518,123617-151789,123617-172699,123617-12538",59900,qb_anchor,Trevor Lawrence,126.95,124.3,17.8,106.91,141.37,151.37,154.28
Drake Maye,De'Von Achane,Christian McCaffrey,Wan'Dale Robinson,Troy Franklin,Quentin Johnston,Hunter Henry,Cooper Kupp,Seattle Seahawks,3,"123617-138820,123617-55050,123617-152316,123617-103539,123617-151903,123617-120639,123617-79970,123617-40845,123617-12550",60000,qb_anchor,Drake Maye,128.17,126.85,16.86,108.81,143.24,153.45,154.11
Daniel Jones,De'Von Achane,Christian McCaffrey,Stefon Diggs,Wan'Dale Robinson,Jerry Jeudy,Brenton Strange,TreVeyon Henderson,Miami Dolphins,17,"123617-138820,123617-55050,123617-152647,123617-63519,123617-25079,123617-103539,123617-90561,123617-103587,123617-12539",60000,qb_anchor,Daniel Jones,125.86,122.62,18.62,106.51,141.52,148.97,154.03
C.J. Stroud,De'Von Achane,Christian McCaffrey,Stefon Diggs,Wan'Dale Robinson,Tre Tucker,Brenton Strange,TreVeyon Henderson,Miami Dolphins,23,"123617-138820,123617-55050,123617-152647,123617-25079,123617-129471,123617-103539,123617-103619,123617-103587,123617-12539",59500,qb_anchor,C.J. Stroud,126.93,125.38,18.09,107.23,139.93,149.43,153.92
Trevor Lawrence,De'Von Achane,Christian McCaffrey,Wan'Dale Robinson,Troy Franklin,Adonai Mitchell,Evan Engram,TreVeyon Henderson,Seattle Seahawks,12,"123617-138820,123617-55050,123617-152647,123617-89951,123617-103539,123617-151903,123617-151789,123617-12550,123617-41872",60000,qb_anchor,Trevor Lawrence,127.1,126.17,17.8,105.85,141.53,149.32,153.51
Jacoby Brissett,De'Von Achane,Christian McCaffrey,Wan'Dale Robinson,Jerry Jeudy,Adonai Mitchell,Hunter Henry,TreVeyon Henderson,Los Angeles Rams,7,"123617-138820,123617-55050,123617-152647,123617-30231,123617-103539,123617-90561,123617-40845,123617-151789,123617-12538",59700,qb_anchor,Jacoby Brissett,126.97,123.57,17.38,106.98,141.98,149.53,153.36
Sam Darnold,De'Von Achane,Christian McCaffrey,Stefon Diggs,Wan'Dale Robinson,Troy Franklin,Harold Fannin Jr.,Tre Tucker,Seattle Seahawks,26,"123617-138820,123617-55050,123617-63589,123617-25079,123617-103539,123617-151903,123617-103619,123617-172699,123617-12550",59900,qb_anchor,Sam Darnold,126.05,124.45,18.54,105.16,137.74,149.01,153.31
Sam Darnold,De'Von Achane,Christian McCaffrey,Wan'Dale Robinson,Tre Tucker,Tyler Lockett,Evan Engram,TreVeyon Henderson,Seattle Seahawks,28,"123617-138820,123617-55050,123617-152647,123617-63589,123617-103539,123617-103619,123617-27050,123617-12550,123617-41872",59700,qb_anchor,Sam Darnold,123.74,120.22,19.66,105.27,137.13,147.11,153.26
