QB,RB1,RB2,WR1,WR2,WR3,TE,FLEX,DEF,cvar_score,actual_only,actual_with_consensus,mean,median,std,p10,p80,p90,lineup_id,player_ids,total_salary,strategy,anchor_player,players_actual,players_consensus,players_missing,error_vs_mean,error_vs_median,in_range,above_p90,below_p10
Drake Maye,De'Von Achane,TreVeyon Henderson,Jaylen Waddle,Courtland Sutton,Alec Pierce,Kyle Pitts Sr.,RJ Harvey,Los Angeles Chargers,150.38,128.38,128.38,119.39,117.18,20.93,94.93,137.63,145.72,6,"123617-138820,123617-152316,123617-152647,123617-90573,123617-57403,123617-110484,123617-86312,123617-86080,123617-12548",60000,qb_anchor,Drake Maye,9,0,0,8.99,11.2,True,False,False
Josh Allen,De'Von Achane,TreVeyon Henderson,Courtland Sutton,Michael Pittman Jr.,Alec Pierce,Hunter Henry,RJ Harvey,Miami Dolphins,148.35,120.72,120.72,116.85,114.19,21.23,93.28,134.49,144.27,41,"123617-62239,123617-138820,123617-152647,123617-57403,123617-110484,123617-69213,123617-86312,123617-40845,123617-12539",59800,qb_anchor,Josh Allen,9,0,0,3.87,6.53,True,False,False
Drake Maye,De'Von Achane,TreVeyon Henderson,Jaylen Waddle,Courtland Sutton,Alec Pierce,Harold Fannin Jr.,RJ Harvey,Los Angeles Chargers,148.13,126.48,126.48,118.67,116.21,20.15,94.51,135.74,144.09,5,"123617-138820,123617-152316,123617-152647,123617-90573,123617-57403,123617-110484,123617-86312,123617-172699,123617-12548",60000,qb_anchor,Drake Maye,9,0,0,7.81,10.27,True,False,False
Bo Nix,De'Von Achane,TreVeyon Henderson,Davante Adams,Courtland Sutton,Quentin Johnston,Kyle Pitts Sr.,Alec Pierce,Los Angeles Chargers,148.12,132.74,132.74,115.68,112.8,21.09,91.98,131.82,143.72,35,"123617-138820,123617-45889,123617-152647,123617-102965,123617-57403,123617-120639,123617-86312,123617-86080,123617-12548",60000,qb_anchor,Bo Nix,9,0,0,17.06,19.94,True,False,False
Drake Maye,De'Von Achane,Christian McCaffrey,Courtland Sutton,Quentin Johnston,Alec Pierce,Kyle Pitts Sr.,RJ Harvey,Los Angeles Chargers,147.98,137.98,137.98,117.52,114.26,20.37,94.1,134.18,144.15,8,"123617-138820,123617-55050,123617-152316,123617-57403,123617-110484,123617-120639,123617-86312,123617-86080,123617-12548",59900,qb_anchor,Drake Maye,9,0,0,20.46,23.72,True,False,False
Drake Maye,De'Von Achane,TreVeyon Henderson,Jaylen Waddle,Khalil Shakir,Alec Pierce,Harold Fannin Jr.,RJ Harvey,Los Angeles Chargers,147.73,112.78,112.78,117.69,117.05,20.47,94.55,131.9,144.11,9,"123617-138820,123617-152316,123617-152647,123617-90573,123617-86518,123617-110484,123617-86312,123617-172699,123617-12548",59700,qb_anchor,Drake Maye,9,0,0,-4.91,-4.27,True,False,False
Drake Maye,De'Von Achane,TreVeyon Henderson,Davante Adams,Alec Pierce,Cooper Kupp,Kyle Pitts Sr.,RJ Harvey,Los Angeles Chargers,147.56,131.88,131.88,117.71,115.76,20.15,93.48,132.34,145.64,7,"123617-138820,123617-152316,123617-45889,123617-152647,123617-110484,123617-86312,123617-79970,123617-86080,123617-12548",60000,qb_anchor,Drake Maye,9,0,0,14.17,16.12,True,False,False
Matthew Stafford,De'Von Achane,Christian McCaffrey,Courtland Sutton,Michael Pittman Jr.,Alec Pierce,Hunter Henry,TreVeyon Henderson,Tennessee Titans,147.31,104.32,104.32,118.96,117.02,19.38,93.39,134.87,144.1,15,"123617-138820,123617-55050,123617-6654,123617-152647,123617-57403,123617-69213,123617-86312,123617-40845,123617-12534",60000,qb_anchor,Matthew Stafford,9,0,0,-14.64,-12.7,True,False,False
Matthew Stafford,De'Von Achane,Christian McCaffrey,Stefon Diggs,Courtland Sutton,Alec Pierce,Hunter Henry,RJ Harvey,Miami Dolphins,146.72,126.02,126.02,118.03,115.18,19.55,95.3,134.71,146.68,18,"123617-138820,123617-55050,123617-6654,123617-25079,123617-57403,123617-110484,123617-86312,123617-40845,123617-12539",60000,qb_anchor,Matthew Stafford,9,0,0,7.99,10.84,True,False,False
Josh Allen,De'Von Achane,TreVeyon Henderson,Khalil Shakir,Troy Franklin,Alec Pierce,Kyle Pitts Sr.,RJ Harvey,Los Angeles Chargers,146.54,109.52,109.52,115.88,112.87,20.34,91.35,132.99,142.99,44,"123617-62239,123617-138820,123617-152647,123617-86518,123617-110484,123617-151903,123617-86312,123617-86080,123617-12548",60000,qb_anchor,Josh Allen,9,0,0,-6.36,-3.35,True,False,False
