Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,,,Roster Position
123865-129458,WR,Jaxon,Jaxon Smith-Njigba,Smith-Njigba,20.191666920979817,12,9800,SEA@ATL,SEA,ATL,,,,,,WR/FLEX
123865-89675,RB,Jonathan,Jonathan Taylor,Taylor,24.59166717529297,12,9700,IND@JAC,IND,JAC,,,,,,RB/FLEX
123865-91626,RB,James,James Cook III,Cook III,19.241666158040363,12,9300,CIN@BUF,BUF,CIN,,,,,,RB/FLEX
123865-103020,WR,Puka,Puka Nacua,Nacua,17.199999722567473,11,9300,LAR@ARI,LAR,ARI,,,,,,WR/FLEX
123865-138820,RB,De'Von,De'Von Achane,Achane,19.9499994913737,12,9200,MIA@NYJ,MIA,NYJ,,,,,,RB/FLEX
123865-62239,QB,Josh,Josh Allen,Allen,24.264999389648438,12,9200,CIN@BUF,BUF,CIN,,,,,,QB
123865-85701,WR,Ja'Marr,Ja'Marr Chase,Chase,16.699999722567473,11,9100,CIN@BUF,CIN,BUF,,,,,,WR/FLEX
123865-136855,RB,Bijan,Bijan Robinson,Robinson,20.491666158040363,12,9000,SEA@ATL,ATL,SEA,,,,,,RB/FLEX
123865-69531,QB,Jalen,Jalen Hurts,Hurts,21.038333892822266,12,9000,PHI@LAC,PHI,LAC,,,,,,QB
123865-111311,WR,Rashee,Rashee Rice,Rice,18.766666412353516,6,8900,HOU@KC,KC,HOU,,,,,,WR/FLEX
123865-39280,RB,Derrick,Derrick Henry,Henry,15.191666920979818,12,8700,PIT@BAL,BAL,PIT,,,,,,RB/FLEX
123865-64401,RB,Saquon,Saquon Barkley,Barkley,12.866666158040365,12,8700,PHI@LAC,PHI,LAC,,,,,,RB/FLEX
123865-72731,RB,Josh,Josh Jacobs,Jacobs,16.009091463955965,11,8600,CHI@GB,GB,CHI,,,,,,RB/FLEX
123865-91750,TE,Trey,Trey McBride,McBride,15.491666158040365,12,8600,LAR@ARI,ARI,LAR,,,,,,TE/FLEX
123865-45889,WR,Davante,Davante Adams,Adams,15.158332824707031,12,8600,LAR@ARI,LAR,ARI,,,,,,WR/FLEX
123865-102785,QB,Jayden,Jayden Daniels,Daniels,18.926666259765625,6,8500,WAS@MIN,WAS,MIN,,,,,,QB
123865-57439,QB,Patrick,Patrick Mahomes,Mahomes,23.27666727701823,12,8400,HOU@KC,KC,HOU,,,,,,QB
123865-72846,WR,A.J.,A.J. Brown,Brown,13.263635808771307,11,8400,PHI@LAC,PHI,LAC,,,,,,WR/FLEX
123865-63115,QB,Lamar,Lamar Jackson,Jackson,17.559999254014755,9,8400,PIT@BAL,BAL,PIT,,,,,,QB
123865-91419,WR,Nico,Nico Collins,Collins,13.227272727272727,11,8300,HOU@KC,HOU,KC,,,,,,WR/FLEX
123865-104433,RB,Kyren,Kyren Williams,Williams,14.683333079020182,12,8200,LAR@ARI,LAR,ARI,,,,,,RB/FLEX
123865-85671,WR,Justin,Justin Jefferson,Jefferson,10.77500025431315,12,8100,WAS@MIN,MIN,WAS,,,,,,WR/FLEX
123865-63336,QB,Joe,Joe Burrow,Burrow,11.699999491373697,3,8100,CIN@BUF,CIN,BUF,,,,,,QB
123865-152664,RB,Bucky,Bucky Irving,Irving,16.11999969482422,5,8000,NO@TB,TB,NO,,,,,,RB/FLEX
123865-6654,QB,Matthew,Matthew Stafford,Stafford,20.49333318074544,12,8000,LAR@ARI,LAR,ARI,,,,,,QB
123865-169410,RB,Quinshon,Quinshon Judkins,Judkins,12.736364191228693,11,7900,TEN@CLE,CLE,TEN,,,,,,RB/FLEX
123865-41535,QB,Baker,Baker Mayfield,Mayfield,17.191666920979817,12,7900,NO@TB,TB,NO,,,,,,QB
123865-69189,QB,Justin,Justin Herbert,Herbert,19.831666310628254,12,7900,PHI@LAC,LAC,PHI,Q,Hand,,,,QB
123865-102965,QB,Bo,Bo Nix,Nix,19.13166681925456,12,7700,DEN@LV,DEN,LV,,,,,,QB
123865-152113,QB,Caleb,Caleb Williams,Williams,18.97333272298177,12,7600,CHI@GB,CHI,GB,,,,,,QB
123865-87770,WR,Chris,Chris Olave,Olave,12.191666920979818,12,7600,NO@TB,NO,TB,Q,Back,,,,WR/FLEX
123865-63519,QB,Daniel,Daniel Jones,Jones,19.886666615804035,12,7500,IND@JAC,IND,JAC,,,,,,QB
123865-112745,WR,Drake,Drake London,London,18,9,7500,SEA@ATL,ATL,SEA,O,Knee - pcl,,,,WR/FLEX
123865-103064,RB,Breece,Breece Hall,Hall,13.538333892822266,12,7500,MIA@NYJ,NYJ,MIA,,,,,,RB/FLEX
123865-69017,QB,Jordan,Jordan Love,Love,17.263333638509113,12,7400,CHI@GB,GB,CHI,,,,,,QB
123865-56018,WR,Deebo,Deebo Samuel Sr.,Samuel Sr.,11.209091186523438,11,7400,WAS@MIN,WAS,MIN,,,,,,WR/FLEX
123865-152655,WR,Emeka,Emeka Egbuka,Egbuka,12.75,12,7300,NO@TB,TB,NO,,,,,,WR/FLEX
123865-63589,QB,Sam,Sam Darnold,Darnold,15.28499984741211,12,7300,SEA@ATL,SEA,ATL,,,,,,QB
123865-151794,TE,Brock,Brock Bowers,Bowers,13.333333333333334,9,7300,DEN@LV,LV,DEN,,,,,,TE/FLEX
123865-89493,RB,Chase,Chase Brown,Brown,12.425000508626303,12,7300,CIN@BUF,CIN,BUF,,,,,,RB/FLEX
123865-73048,WR,DK,DK Metcalf,Metcalf,10.266666412353516,12,7200,PIT@BAL,PIT,BAL,,,,,,WR/FLEX
123865-133472,WR,Ladd,Ladd McConkey,McConkey,11.108333587646484,12,7200,PHI@LAC,LAC,PHI,,,,,,WR/FLEX
123865-30231,QB,Jacoby,Jacoby Brissett,Brissett,17.9022216796875,9,7200,LAR@ARI,ARI,LAR,,,,,,QB
123865-89951,QB,Trevor,Trevor Lawrence,Lawrence,17.328333536783855,12,7100,IND@JAC,JAC,IND,,,,,,QB
123865-89981,WR,Tee,Tee Higgins,Higgins,11.318181818181818,11,7100,CIN@BUF,CIN,BUF,,,,,,WR/FLEX
123865-90572,QB,Tua,Tua Tagovailoa,Tagovailoa,12.699999491373697,12,7000,MIA@NYJ,MIA,NYJ,,,,,,QB
123865-90576,WR,DeVonta,DeVonta Smith,Smith,11.183333079020182,12,7000,PHI@LAC,PHI,LAC,,,,,,WR/FLEX
123865-32384,WR,Mike,Mike Evans,Evans,6.75,4,7000,NO@TB,TB,NO,IR,Collarbone,,,,WR/FLEX
123865-89956,RB,Travis,Travis Etienne Jr.,Etienne Jr.,13.508333841959635,12,7000,IND@JAC,JAC,IND,,,,,,RB/FLEX
123865-112295,WR,Zay,Zay Flowers,Flowers,9.658333460489908,12,6900,PIT@BAL,BAL,PIT,,,,,,WR/FLEX
123865-6894,QB,Aaron,Aaron Rodgers,Rodgers,14.094544844193893,11,6900,PIT@BAL,PIT,BAL,,,,,,QB
123865-152651,WR,Marvin,Marvin Harrison Jr.,Harrison Jr.,10.54000015258789,10,6800,LAR@ARI,ARI,LAR,O,Heel,,,,WR/FLEX
123865-167031,RB,Ashton,Ashton Jeanty,Jeanty,13.258333841959635,12,6800,DEN@LV,LV,DEN,,,,,,RB/FLEX
123865-129471,QB,C.J.,C.J. Stroud,Stroud,15.446667141384548,9,6800,HOU@KC,HOU,KC,,,,,,QB
123865-29358,QB,Marcus,Marcus Mariota,Mariota,16.451429094587052,7,6800,WAS@MIN,WAS,MIN,,,,,,QB
123865-14377,QB,Tyrod,Tyrod Taylor,Taylor,13.044000244140625,5,6700,MIA@NYJ,NYJ,MIA,,,,,,QB
123865-112057,RB,Jaylen,Jaylen Warren,Warren,12.10909063165838,11,6700,PIT@BAL,PIT,BAL,,,,,,RB/FLEX
123865-90573,WR,Jaylen,Jaylen Waddle,Waddle,11.293333689371744,12,6700,MIA@NYJ,MIA,NYJ,,,,,,WR/FLEX
123865-128633,RB,Kimani,Kimani Vidal,Vidal,11.122222052680122,9,6700,PHI@LAC,LAC,PHI,,,,,,RB/FLEX
123865-88431,QB,Tyler,Tyler Shough,Shough,10.303333282470703,6,6600,NO@TB,NO,TB,,,,,,QB
123865-29253,WR,Keenan,Keenan Allen,Allen,9.933333079020182,12,6600,PHI@LAC,LAC,PHI,,,,,,WR/FLEX
123865-103342,RB,Kenneth,Kenneth Walker III,Walker III,10.65000025431315,12,6600,SEA@ATL,SEA,ATL,,,,,,RB/FLEX
123865-56250,WR,Terry,Terry McLaurin,McLaurin,10.38000030517578,5,6600,WAS@MIN,WAS,MIN,,,,,,WR/FLEX
123865-174215,RB,Omarion,Omarion Hampton,Hampton,14,5,6500,PHI@LAC,LAC,PHI,IR,Ankle,,,,RB/FLEX
123865-120033,WR,Rome,Rome Odunze,Odunze,10.841667175292969,12,6500,CHI@GB,CHI,GB,O,Foot,,,,WR/FLEX
123865-53729,QB,Mason,Mason Rudolph,Rudolph,3.4,5,6500,PIT@BAL,PIT,BAL,,,,,,QB
123865-22038,QB,Kirk,Kirk Cousins,Cousins,7.844000244140625,5,6500,SEA@ATL,ATL,SEA,,,,,,QB
123865-26483,QB,Geno,Geno Smith,Smith,13.389999389648438,12,6500,DEN@LV,LV,DEN,,,,,,QB
123865-110484,RB,RJ,RJ Harvey,Harvey,9.466666539510092,12,6500,DEN@LV,DEN,LV,,,,,,RB/FLEX
123865-151903,WR,Troy,Troy Franklin,Franklin,9.325000127156576,12,6400,DEN@LV,DEN,LV,,,,,,WR/FLEX
123865-168356,QB,Cam,Cam Ward,Ward,10.194999694824219,12,6400,TEN@CLE,TEN,CLE,,,,,,QB
123865-91598,RB,D'Andre,D'Andre Swift,Swift,14.054546009410512,11,6400,CHI@GB,CHI,GB,,,,,,RB/FLEX
123865-184183,QB,Shedeur,Shedeur Sanders,Sanders,8.09999974568685,3,6400,TEN@CLE,CLE,TEN,,,,,,QB
123865-152575,QB,J.J.,J.J. McCarthy,McCarthy,12.526667277018229,6,6400,WAS@MIN,MIN,WAS,,,,,,QB
123865-57403,WR,Courtland,Courtland Sutton,Sutton,10.925000508626303,12,6300,DEN@LV,DEN,LV,,,,,,WR/FLEX
123865-45229,RB,Kareem,Kareem Hunt,Hunt,9.908333460489908,12,6300,HOU@KC,KC,HOU,,,,,,RB/FLEX
