team,team_abbr,opponent,opponent_abbr,spread,spread_odds,total,total_over_odds,total_under_odds,moneyline,projected_pts
saints,NO,buccaneers,TB,7.5,-102,41.5,-115,-105,330,17.0
buccaneers,TB,saints,NO,-7.5,-118,41.5,-115,-105,-425,24.5
seahawks,SEA,falcons,ATL,-7.0,100,44.5,-112,-108,-355,25.75
falcons,ATL,seahawks,SEA,7.0,-120,44.5,-112,-108,280,18.75
bengals,CIN,bills,BUF,6.0,-108,54.5,-115,-105,230,24.25
bills,BUF,bengals,CIN,-6.0,-112,54.5,-115,-105,-285,30.25
colts,IND,jaguars,JAX,-2.5,-112,44.5,-115,-105,-135,23.5
jaguars,JAX,colts,IND,2.5,-108,44.5,-115,-105,114,21.0
steelers,PIT,ravens,BAL,5.5,100,43.5,-112,-108,220,19.0
ravens,BAL,steelers,PIT,-5.5,-120,43.5,-112,-108,-270,24.5
dolphins,MIA,jets,NYJ,-2.5,-115,41.5,-108,-112,-148,22.0
jets,NYJ,dolphins,MIA,2.5,-105,41.5,-108,-112,124,19.5
titans,TEN,browns,CLE,4.5,-120,33.5,-115,-105,170,14.5
browns,CLE,titans,TEN,-4.5,100,33.5,-115,-105,-205,19.0
commanders,WAS,vikings,MIN,-1.5,-102,43.5,-118,-102,-115,22.5
vikings,MIN,commanders,WAS,1.5,-118,43.5,-118,-102,-105,21.0
broncos,DEN,raiders,LV,-8.5,-110,40.5,-105,-115,-520,24.5
raiders,LV,broncos,DEN,8.5,-110,40.5,-105,-115,390,16.0
rams,LAR,cardinals,ARI,-9.5,-108,48.5,-115,-105,-485,29.0
cardinals,ARI,rams,LAR,9.5,-112,48.5,-115,-105,370,19.5
bears,CHI,packers,GB,6.5,-105,44.5,-105,-115,245,19.0
packers,GB,bears,CHI,-6.5,-115,44.5,-105,-115,-305,25.5
texans,HOU,chiefs,KC,3.5,-110,41.5,-112,-108,164,19.0
chiefs,KC,texans,HOU,-3.5,-110,41.5,-112,-108,-198,22.5
eagles,PHI,chargers,LAC,-1.5,-115,41.5,-112,-108,-130,21.5
chargers,LAC,eagles,PHI,1.5,-105,41.5,-112,-108,110,20.0
