lineup_id,qb,rb1,rb2,wr1,wr2,te,flex,flex_pos,dst,sim_mean,sim_median,sim_p10,sim_p90,sim_std,sim_max
9,josh allen,ashton jeanty,james cook,khalil shakir,kayshon boutte,oronde gadsden,kyle monangai,RB,rams,99.75,99.18,87.79,112.44,9.63,144.89
1,josh allen,kyle monangai,ashton jeanty,khalil shakir,kayshon boutte,oronde gadsden,james cook,RB,rams,99.74,99.12,87.85,112.41,9.69,142.47
5,josh allen,kyle monangai,james cook,khalil shakir,kayshon boutte,oronde gadsden,ashton jeanty,RB,rams,99.76,99.23,87.92,112.35,9.71,147.22
7,josh allen,kyle monangai,james cook,khalil shakir,kayshon boutte,hunter henry,ashton jeanty,RB,rams,98.89,98.2,86.84,111.91,9.78,150.07
3,josh allen,kyle monangai,ashton jeanty,khalil shakir,kayshon boutte,hunter henry,james cook,RB,rams,98.9,98.4,86.92,111.59,9.75,150.1
11,josh allen,ashton jeanty,james cook,khalil shakir,kayshon boutte,hunter henry,kyle monangai,RB,rams,98.8,98.22,86.8,111.38,9.71,144.17
10,josh allen,ashton jeanty,james cook,khalil shakir,kayshon boutte,oronde gadsden,hunter henry,TE,rams,98.11,97.71,86.43,110.14,9.39,144.04
12,josh allen,ashton jeanty,james cook,khalil shakir,kayshon boutte,hunter henry,oronde gadsden,TE,rams,98.09,97.6,86.59,110.12,9.27,136.58
8,josh allen,kyle monangai,james cook,khalil shakir,kayshon boutte,hunter henry,oronde gadsden,TE,rams,95.0,94.33,83.38,107.23,9.35,141.1
6,josh allen,kyle monangai,james cook,khalil shakir,kayshon boutte,oronde gadsden,hunter henry,TE,rams,94.83,94.28,83.45,107.0,9.24,137.86
4,josh allen,kyle monangai,ashton jeanty,khalil shakir,kayshon boutte,hunter henry,oronde gadsden,TE,rams,93.37,92.75,81.87,105.82,9.38,135.5
2,josh allen,kyle monangai,ashton jeanty,khalil shakir,kayshon boutte,oronde gadsden,hunter henry,TE,rams,93.54,93.08,82.1,105.61,9.31,135.46
