fullName,id
Curtis Hodges,4242896
D.J. Davidson,4242899
DeMarquis Gates,3128747
Roquan Smith,3915189
Jaydon Blue,4685279
Luther Burden III,4685278
Tre Avery,4259300
Olakunle Fatukasi,4259299
Jihaad Campbell,4685287
Bo Melton,4259305
Raheem Blackshear,4259308
Tae Crowder,3915171
Isaiah McKenzie,3128724
DeAndre Hopkins,15795
Nick Chubb,3128720
Lorenzo Carter,3128715
Travis Vokolek,4259324
Cordarrelle Patterson,15807
Keenan Allen,15818
Tanner McKee,4685201
Zach Ertz,15835
Ethan Fernea,4062711
Marquise Goodwin,15839
Johnathan Hankins,15841
Duron Harmon,15842
John Jenkins,15846
Travis Kelce,15847
Tyrann Mathieu,15851
Swayze Bozeman,4570546
Jaden Hicks,4685232
Josh Hines-Allen,3915239
James Pierre,4259252
Logan Ryan,15861
Darius Slay,15863
Geno Smith,15864
Eric Gray,4570561
Braelon Allen,4685247
Jonah Laulu,4373956
Robert Woods,15880
Shemar James,4685400
Jordan James,4685397
Will Johnson,4685408
Travis Hunter,4685415
Ke'Shawn Williams,4570738
Latavius Murray,15920
Sam Martin,15928
Will Harris,3915297
Stantley Thomas-Oliver III,4046353
Viliami Fehoko Jr.,4374148
Zach Allen,3915282
Tommy Townsend,3915398
Matt Barkley,15948
Darrell Taylor,3915396
Jermar Jefferson,4374033
Kitan Oladapo,4374037
Micah Hyde,15960
Teagan Quitoriano,4374045
A.J. Klein,15964
John Kelly Jr.,3915381
Dustin Hopkins,15965
Darnay Holmes,4242973
Jaelan Phillips,4242975
Micah Abernathy,3915373
Trevor Etienne,4685350
Jalen Harris,4259370
Jordan Poyer,15979
Cam Smith,4570672
Kevin Harris,4570674
Dylan Horton,4374066
Arron Mosby,4242996
Ronnie Rivers,4243003
Caden Davis,4570688
Jordan Mims,4243004
Mykal Walker,4243009
Kyle Juszczyk,16002
Omarion Hampton,4685382
David Long Jr.,4046536
Joshua Metellus,4046537
William Gholston,16019
Joshua Uche,4046528
Malaki Starks,4685530
Chris Evans,4046530
Rashan Gary,4046523
Laviska Shenault Jr.,4243160
Ameer Speed,4259546
Khaleke Hudson,4046525
D'Andre Swift,4259545
Malik Herring,4259547
Stetson Bennett IV,4259553
Isaiah Oliver,3915437
Robert Beal Jr.,4259558
Brady Russell,4243176
Eric Stokes,4259561
Nate Landman,4243181
Matthew Golden,4701936
Shemar Stewart,4685562
Darnell Savage,3915419
Teair Tart,4374269
Ty Johnson,3915411
DJ Moore,3915416
Tariq Castro-Fields,4259590
Sean Clifford,4259592
Yetur Gross-Matos,4259594
Edefuan Ulofoshio,4374280
Dre'Mont Jones,3915525
AJ Parker,4046592
Stephen Carlson,3948283
DaVon Hamilton,3915520
Austin Ajiake,4374171
Tetairoa McMillan,4685472
