name,position,team,game,salary,value,ceilingValue,consensus,p90,p10,mu,sigma_lower,sigma_upper,floorVariance,ceilingVariance,varianceSource,fpProjPts,espnScoreProjection,espnLowScore,espnHighScore,espnOutsideProjection,espnSimulationProjection,projTeamPts,projOppPts,tdOdds,tdProbability,espnId,injury
ravens,D,BAL,BAL@CLE,4500,1.98,4.371,9.79,19.67,5.12,2.281361456542419,0.5061797241950585,0.5444044192079418,0.5,0.7,FALLBACK,8.9,,,,,,23.00,15.50,+2200,4.35,,: 
texans,D,HOU,HOU@TEN,4800,1.9,4.19,10.01,20.11,5.23,2.303584593327129,0.5061797241950587,0.5444044192079418,0.5,0.7,FALLBACK,9.1,,,,,,21.50,16.00,+1900,5.00,,: 
falcons,D,ATL,CAR@ATL,3300,2.3,3.915,7.6,12.92,3.8,2.028148247292285,0.5408656188293052,0.41405142432694714,0.5,0.7,FALLBACK,7.6,,,,,,22.50,19.00,+2200,4.35,,: 
packers,D,GB,GB@NYG,5000,1.54,3.404,8.47,17.02,4.43,2.136530508663963,0.5061797241950587,0.5444044192079418,0.5,0.7,FALLBACK,7.7,,,,,,24.25,17.25,+2200,4.35,,: 
titans,D,TEN,HOU@TEN,3100,1.94,3.29,6,10.2,3,1.791759469228055,0.5408656188293054,0.41405142432694675,0.5,0.7,FALLBACK,6,,,,,,16.00,21.50,+2000,4.76,,: 
vikings,D,MIN,CHI@MIN,3600,1.92,3.258,6.9,11.73,3.45,1.9315214116032138,0.5408656188293054,0.41405142432694675,0.5,0.7,FALLBACK,6.9,,,,,,25.25,22.25,+2500,3.85,,: 
cowboys,D,DAL,DAL@LV,3600,1.89,3.211,6.8,11.56,3.4,1.916922612182061,0.5408656188293054,0.41405142432694675,0.5,0.7,FALLBACK,6.8,,,,,,26.50,23.00,+2800,3.45,,: 
bears,D,CHI,CHI@MIN,3800,1.87,3.176,7.1,12.07,3.55,1.9600947840472698,0.5408656188293054,0.4140514243269466,0.5,0.7,FALLBACK,7.1,,,,,,22.25,25.25,+3000,3.23,,: 
panthers,D,CAR,CAR@ATL,3400,1.76,3,6,10.2,3,1.791759469228055,0.5408656188293054,0.41405142432694675,0.5,0.7,FALLBACK,6,,,,,,19.00,22.50,+3000,3.23,,: 
cardinals,D,ARI,SF@ARI,3200,1.72,2.922,5.5,9.35,2.75,1.7047480922384253,0.5408656188293054,0.41405142432694675,0.5,0.7,FALLBACK,5.5,,,,,,22.50,26.00,+2800,3.45,,: 
giants,D,NYG,GB@NYG,3000,1.7,2.89,5.1,8.67,2.55,1.62924053973028,0.5408656188293054,0.41405142432694697,0.5,0.7,FALLBACK,5.1,,,,,,17.25,24.25,+2000,4.76,,: 
chiefs,D,KC,KC@DEN,4300,1.7,2.886,7.3,12.41,3.65,1.9878743481543455,0.5408656188293054,0.41405142432694675,0.5,0.7,FALLBACK,7.3,,,,,,25.00,20.50,+2500,3.85,,: 
bills,D,BUF,TB@BUF,3900,1.64,2.79,6.4,10.88,3.2,1.8562979903656263,0.5408656188293054,0.41405142432694697,0.5,0.7,FALLBACK,6.4,,,,,,26.25,20.25,+2800,3.45,,: 
jaguars,D,JAC,LAC@JAC,3700,1.62,2.757,6,10.2,3,1.791759469228055,0.5408656188293054,0.41405142432694675,0.5,0.7,FALLBACK,6,,,,,,,,+2200,4.35,,: 
chargers,D,LAC,LAC@JAC,4600,1.59,2.698,7.3,12.41,3.65,1.9878743481543455,0.5408656188293054,0.41405142432694675,0.5,0.7,FALLBACK,7.3,,,,,,23.25,20.25,+2000,4.76,,: 
rams,D,LAR,SEA@LAR,4200,1.52,2.59,6.4,10.88,3.2,1.8562979903656263,0.5408656188293054,0.41405142432694697,0.5,0.7,FALLBACK,6.4,,,,,,25.75,22.75,+2800,3.45,,: 
lions,D,DET,DET@PHI,4000,1.48,2.507,5.9,10.03,2.95,1.7749523509116738,0.5408656188293054,0.41405142432694675,0.5,0.7,FALLBACK,5.9,,,,,,22.00,24.50,+3000,3.23,,: 
seahawks,D,SEA,SEA@LAR,4100,1.46,2.488,6,10.2,3,1.791759469228055,0.5408656188293054,0.41405142432694675,0.5,0.7,FALLBACK,6,,,,,,22.75,25.75,+2500,3.85,,: 
broncos,D,DEN,KC@DEN,4400,1.45,2.473,6.4,10.88,3.2,1.8562979903656263,0.5408656188293054,0.41405142432694697,0.5,0.7,FALLBACK,6.4,,,,,,20.50,25.00,+2500,3.85,,: 
steelers,D,PIT,CIN@PIT,4700,1.4,2.387,6.6,11.22,3.3,1.8870696490323797,0.5408656188293052,0.41405142432694675,0.5,0.7,FALLBACK,6.6,,,,,,27.00,21.50,+2500,3.85,,: 
