name,position,team,game,salary,value,ceilingValue,consensus,p90,p10,mu,sigma_lower,sigma_upper,floorVariance,ceilingVariance,varianceSource,fpProjPts,espnScoreProjection,espnLowScore,espnHighScore,espnOutsideProjection,espnSimulationProjection,projTeamPts,projOppPts,tdOdds,tdProbability,espnId,injury
rhamondre stevenson,RB,NE,NE@CIN,5700,0.89,3.96,9.46,22.57,5.69,2.247072383063787,0.3965088375815645,0.67858048203333,0.4186046511627908,0.7589852008456659,ESPN,5.1,10.65,5.5,16.64,12.16,11.6,29.00,21.50,+425,19.05,4569173,Q: Toe
christian mccaffrey,RB,SF,CAR@SF,9700,2.41,3.48,21.73,33.76,13.73,3.078693794268338,0.3584133087105221,0.3437483226926466,0.39162448228255864,0.3,ESPN,23.4,20.24,13.22,21.92,21.92,19.48,27.75,20.75,+295,25.32,3117251,: 
emanuel wilson,RB,GB,MIN@GB,6500,1.74,3.062,11.86,19.9,6.59,2.4731713935695794,0.45817938226080035,0.4037028113322155,0.4612141652613828,0.44772344013490745,ESPN,11.3,11.55,6.39,17.17,12.58,11.83,24.00,17.50,+475,17.39,4887558,: 
jahmyr gibbs,RB,DET,NYG@DET,9100,2.13,2.976,17.38,27.08,9.7,2.8553201198372458,0.4547524039959808,0.34591756339345137,0.4591484464902186,0.3,ESPN,19.4,15.3,9.4,18.3,17.83,14.54,30.50,20.00,+425,19.05,4429795,: 
tony pollard,RB,TEN,SEA@TEN,5500,1.38,2.916,8.36,16.04,3.34,2.1234584270966104,0.7149854570890979,0.5086212069815442,0.666267942583732,0.8421052631578949,ESPN,7.6,8.74,2.79,15.4,8.92,8.35,13.50,27.00,+1200,7.69,3916148,: 
david montgomery,RB,DET,NYG@DET,6700,1.57,2.837,11.04,19.01,5.71,2.401525040848949,0.5143893467271646,0.4242029822256115,0.49547101449275355,0.5190217391304348,ESPN,10.5,10.83,5.57,16.77,11.35,11.7,30.50,20.00,0,0,4035538,: 
chase brown,RB,CIN,NE@CIN,6900,1.9,2.801,13.32,19.33,7.97,2.589266665112243,0.40059425309344204,0.2906866392765551,0.35810810810810806,0.3048048048048047,ESPN,13.1,12.89,8.55,17.38,13.61,13.6,21.50,29.00,+650,13.33,4362238,: 
treveyon henderson,RB,NE,NE@CIN,7500,1.91,2.771,12.86,20.78,6.53,2.554121718809473,0.5293742594620572,0.3743590409744775,0.5069984447900466,0.33981337480559887,ESPN,14.3,11.76,6.34,17.23,12.49,11.81,29.00,21.50,+450,18.18,4432710,: 
rico dowdle,RB,CAR,CAR@SF,8000,1.91,2.665,15.17,21.32,8.43,2.719319793360441,0.4585749199760161,0.2655166527873949,0.39881344759393544,0.3,ESPN,15.3,14.56,9.12,17.43,15.96,13.93,20.75,27.75,+600,14.29,4038815,: 
derrick henry,RB,BAL,NYJ@BAL,8400,1.85,2.654,14.63,22.29,8.57,2.683074215032033,0.41715922686687434,0.32866332110662366,0.43403964456596045,0.3,ESPN,15.5,14.05,8.28,17.24,14.67,13.38,29.00,15.50,+320,23.81,3043078,: 
tyjae spears,RB,TEN,SEA@TEN,5100,1.55,2.631,8.11,13.42,3.24,2.0930978681273213,0.7149854570890978,0.39277778884426606,0.5598027127003699,0.6004932182490754,ESPN,7.9,8.21,3.57,12.98,8.58,7.48,13.50,27.00,+1400,6.67,4428557,: 
bijan robinson,RB,ATL,ATL@NO,9600,1.92,2.63,17.73,25.25,11.13,2.8752581200861167,0.36308161017154117,0.27577818852115976,0.3761985335589396,0.3,ESPN,18.4,16.78,11.06,19.42,18.4,16.01,19.00,20.50,+370,21.28,4430807,: 
ashton jeanty,RB,LV,CLE@LV,7400,1.7,2.62,12.91,19.39,8.55,2.558002204858551,0.3213309636720514,0.31747031796493297,0.36173508907823393,0.32378001549186675,ESPN,12.6,12.59,8.24,17.09,13.2,13.28,20.00,16.50,+450,18.18,4890973,: 
jonathan taylor,RB,IND,IND@KC,10000,1.97,2.601,17.11,26.01,8.25,2.839663087904102,0.569510549213491,0.3267681483417412,0.47106954997077727,0.3,ESPN,19.7,14.5,9.05,17.44,17.44,13.87,23.50,27.00,+340,22.73,4242335,: 
alvin kamara,RB,NO,ATL@NO,6100,1.66,2.595,11.13,15.83,7.24,2.4096441652874536,0.3359858180847562,0.2750958764153725,0.35220125786163525,0.3539982030548068,ESPN,10.1,11.06,7.21,15.07,11.93,11.67,20.50,19.00,+800,11.11,3054850,Q: Ankle
jaylen warren,RB,PIT,PIT@CHI,7100,1.18,2.551,11.24,18.11,8.11,2.419478844465545,0.2548094854490176,0.37232551471230774,0.2820284697508897,0.4991103202846976,ESPN,8.4,12.39,8.07,16.85,12.6,13.07,21.50,24.00,+650,13.33,4569987,Q: Ankle
dandre swift,RB,CHI,PIT@CHI,6800,1.81,2.443,11.94,16.61,9.66,2.479894107964456,0.16522147968400666,0.2575054851789243,0.195142378559464,0.3,ESPN,12.3,10.37,9.61,12.87,12.87,10.94,24.00,21.50,+650,13.33,4259545,Q: Hip
zach charbonnet,RB,SEA,SEA@TEN,6200,1.6,2.408,8.85,14.93,3.66,2.180417459019838,0.6881693982082062,0.4082006285350334,0.5954802259887005,0.4677966101694916,ESPN,9.9,8.24,3.58,12.99,8.77,7.49,27.00,13.50,+550,15.38,4426385,: 
kenneth gainwell,RB,PIT,PIT@CHI,6300,1.48,2.376,9.1,14.97,3.64,2.2082744135228043,0.7149854570890978,0.38841494817042477,0.6351648351648351,0.6450549450549452,ESPN,9.3,8.9,3.32,14.97,9.08,8.96,21.50,24.00,0,0,4371733,: 
kenneth walker,RB,SEA,SEA@TEN,7200,1.65,2.367,11.78,17.04,7.62,2.4664031782234406,0.33953195028633,0.2882242655450376,0.3752122241086587,0.3,ESPN,11.9,11.14,7.36,15.09,11.99,11.76,27.00,13.50,+600,14.29,4567048,: 
travis etienne,RB,JAC,JAC@ARI,7000,1.84,2.353,11.29,16.47,4.52,2.423917378161571,0.7149854570890981,0.29483457688662407,0.6953055801594331,0.32329495128432245,ESPN,12.9,9.28,3.44,14.94,11.82,9.04,,,+450,18.18,4239996,Q: Shoulder
quinshon judkins,RB,CLE,CLE@LV,7700,1.64,2.347,11.98,18.07,4.99,2.4832385926873033,0.6828890451705345,0.3205895645885921,0.5350584307178631,0.3998330550918196,ESPN,12.6,10.82,5.57,16.77,12.07,11.7,16.50,20.00,+500,16.67,4685702,: 
zonovan knight,RB,ARI,JAC@ARI,5900,1.37,2.32,8.1,13.69,3.35,2.0918640616783932,0.6889133319570135,0.4094514029703779,0.5873058167811608,0.588023480835913,FALLBACK,8.1,,,,,,22.25,25.25,+850,10.53,,Q: Ankle
kyren williams,RB,LAR,TB@LAR,8400,1.68,2.277,12.79,19.13,7.41,2.548663615590751,0.4262422068288135,0.31417589790332245,0.4394057857701329,0.3,ESPN,14.1,11.01,7.17,15.02,12.96,11.62,28.00,21.50,+475,17.39,4430737,: 
aaron jones sr,RB,MIN,MIN@GB,6600,1.8,2.262,10.94,14.93,4.38,2.392425796993835,0.7149854570890979,0.24263308860703217,0.6855575868372944,0.3647166361974406,ESPN,11.9,9.26,3.44,14.93,11.77,9.04,17.50,24.00,0,0,3042519,: 
tyrone tracy,RB,NYG,NYG@DET,6000,1.65,2.228,9.16,13.37,3.66,2.214846178686039,0.7149854570890979,0.2949481273307744,0.5971615720524018,0.40283842794759817,ESPN,9.9,7.94,3.69,12.85,9.83,7.55,20.00,30.50,0,0,4360516,: 
saquon barkley,RB,PHI,PHI@DAL,9000,1.74,2.224,14.19,20.02,7.84,2.6525374911719513,0.4626493341303035,0.26841809011683815,0.4496124031007752,0.3,ESPN,15.7,12.11,7.81,16.57,14.42,12.78,25.25,22.25,+550,15.38,3929630,: 
breece hall,RB,NYJ,NYJ@BAL,7300,1.7,2.155,11.51,15.73,4.6,2.443216222733791,0.7149854570890978,0.24361212432524448,0.5551694178974804,0.3,ESPN,12.4,10.02,5.12,14.44,12.31,9.6,15.50,29.00,+900,10.00,4427366,: 
javonte williams,RB,DAL,PHI@DAL,8200,1.6,2.155,12.58,17.67,7.73,2.5321082512722946,0.37986508168987254,0.2649357489589813,0.38791732909379967,0.30763116057233697,ESPN,13.1,12,7.7,16.45,12.31,12.66,22.25,25.25,+650,13.33,4361579,: 
tahj brooks,RB,CIN,NE@CIN,4400,0.59,2.145,4.26,9.44,2.09,1.449269160281279,0.5558595308498072,0.6210659467323176,0.46009389671361506,0.9882629107981223,ESPN,2.6,5.51,2.3,8.47,4.94,4.96,21.50,29.00,+5000,1.96,4429299,: 
blake corum,RB,LAR,TB@LAR,5400,1.19,2.107,6.57,11.38,2.97,1.8825138324965192,0.6202818037887083,0.4285423334602958,0.558599695585997,0.552511415525114,ESPN,6.4,6.78,2.9,10.2,7.18,5.49,28.00,21.50,+2000,4.76,4429096,: 
michael carter,RB,ARI,JAC@ARI,4900,1.12,1.859,5.5,9.11,2.27,1.7047480922384253,0.6894581744245338,0.39414290044581113,0.5873058167811608,0.588023480835913,FALLBACK,5.5,,,,,,22.25,25.25,+1300,7.14,4240456,: 
isaiah davis,RB,NYJ,NYJ@BAL,5000,1.1,1.806,5.77,9.03,2.31,1.752672080520008,0.7149854570890978,0.34927531408189166,0.5892547660311958,0.5459272097053727,ESPN,5.5,6.08,2.37,8.92,6.16,5.2,15.50,29.00,+4500,2.17,4695404,: 
kareem hunt,RB,KC,IND@KC,6400,1.61,1.78,7.54,11.39,3.02,2.020222182019865,0.7149854570890981,0.3216922003670294,0.6312997347480106,0.3,ESPN,10.3,6.28,2.78,8.9,6.56,5.27,27.00,23.50,+650,13.33,3059915,: 
kyle monangai,RB,CHI,PIT@CHI,5900,1.25,1.729,6.92,10.2,2.9,1.9344157696295783,0.6786344428267818,0.3027361216602913,0.5809248554913294,0.4739884393063583,ESPN,7.4,6.78,2.9,10.2,7.22,5.49,24.00,21.50,0,0,4608686,: 
tyler allgeier,RB,ATL,ATL@NO,5700,1.19,1.686,6.28,9.61,2.51,1.8373699804801074,0.7149854570890978,0.33191858215610665,0.6146496815286624,0.4538216560509555,ESPN,6.8,6.11,2.42,9.13,6.32,5.32,19.00,20.50,+800,11.11,4373626,: 
bhayshul tuten,RB,JAC,JAC@ARI,5600,1.13,1.686,6.22,9.44,2.49,1.827769906751088,0.7149854570890978,0.32546780024655037,0.6189710610932475,0.40836012861736337,ESPN,6.3,5.98,2.37,8.76,6.81,5.13,,,+650,13.33,4882093,Q: Ankle
devin singletary,RB,NYG,NYG@DET,5800,1.19,1.553,6.56,9.01,2.62,1.8809906029559977,0.7149854570890979,0.24737591360510341,0.6402439024390243,0.329268292682927,ESPN,6.9,5.84,2.36,8.72,7.31,5.11,20.00,30.50,0,0,4040761,: 
chuba hubbard,RB,CAR,CAR@SF,5100,1.08,1.422,4.94,7.25,1.98,1.5973653311998313,0.7149854570890979,0.2989965407797404,0.5688259109311742,0.43927125506072867,ESPN,5.5,4.74,2.13,7.11,4.74,4.45,20.75,27.75,+3000,3.23,4241416,: 
jordan mason,RB,MIN,MIN@GB,5600,1.04,1.35,5.14,7.56,2.15,1.6370530794670737,0.6813702382426192,0.30137467124034295,0.5330739299610895,0.43774319066147865,ESPN,5.8,4.93,2.4,7.39,4.77,4.74,17.50,24.00,+2000,4.76,4360569,: 
keaton mitchell,RB,BAL,NYJ@BAL,4700,1.21,1.317,4.44,6.19,1.78,1.4906543764441336,0.7149854570890979,0.258756817006518,0.6216216216216217,0.3,ESPN,5.7,4.3,1.68,5.4,3.66,3.62,29.00,15.50,+1900,5.00,4596334,: 
brian robinson,RB,SF,CAR@SF,5200,1.15,1.252,4.68,6.51,1.87,1.5432981099295553,0.7149854570890979,0.25808278083682806,0.7414529914529915,0.3,ESPN,6,3.19,1.21,5.36,4.77,3.35,27.75,20.75,+2200,4.35,4241474,: 
chris brooks,RB,GB,MIN@GB,4800,0.83,1.229,2.61,5.9,1.59,0.959350221334602,0.38744196154145677,0.6369195686617397,0.40996168582375475,0.9157088122605365,ESPN,4,2,1.54,5,1.54,2.6,24.00,17.50,+1400,6.67,3149687,: 
brashard smith,RB,KC,IND@KC,5100,0.94,1.19,4.08,6.07,1.63,1.4060969884160703,0.7149854570890978,0.30982827993569434,0.6200980392156863,0.338235294117647,ESPN,4.8,3.97,1.55,5.46,3.67,3.59,27.00,23.50,+2500,3.85,4596602,: 
