name,position,team,game,salary,value,ceilingValue,consensus,p90,p10,mu,sigma_lower,sigma_upper,floorVariance,ceilingVariance,varianceSource,fpProjPts,espnScoreProjection,espnLowScore,espnHighScore,espnOutsideProjection,espnSimulationProjection,projTeamPts,projOppPts,tdOdds,tdProbability,espnId,injury
brock bowers,TE,LV,DAL@LV,7200,1.9,2.797,13.81,20.14,6.64,2.6253929674212007,0.5709826143191772,0.29457109176500457,0.5372918175235337,0.3,ESPN,13.7,14.62,6.39,15.55,14.65,11.54,23.00,26.50,+800,11.11,4432665,: 
tyler higbee,TE,LAR,SEA@LAR,4900,1,2.788,4.71,13.66,1.88,1.5496879080283263,0.7149854570890978,0.8306924077914181,0.6008492569002123,1.7791932059447981,ESPN,4.9,4.6,1.88,13.09,4.96,3.97,25.75,22.75,+1900,5.00,2573401,: 
trey mcbride,TE,ARI,SF@ARI,7700,1.96,2.731,14.33,21.03,5.73,2.6623552418400807,0.7149854570890979,0.299194192569061,0.6978367062107467,0.3,ESPN,15.1,13.14,4.33,16.12,16.12,10.38,22.50,26.00,+700,12.50,4361307,: 
colston loveland,TE,CHI,CHI@MIN,5200,1.27,2.623,5.55,13.64,2.22,1.713797927758343,0.7149854570890978,0.7019213590424767,0.6612612612612613,1.3585585585585587,ESPN,6.6,4.66,1.88,13.09,5.75,3.97,22.25,25.25,+1700,5.56,4723086,: 
michael mayer,TE,LV,DAL@LV,4600,1.15,2.4,6.08,11.04,2.43,1.8050046959780757,0.7149854570890978,0.4653843723337723,0.631578947368421,0.5921052631578947,ESPN,5.3,5.74,2.24,9.68,6.93,6.27,23.00,26.50,+2000,4.76,4429086,: 
noah fant,TE,CIN,CIN@PIT,5100,1.1,2.335,4.96,11.91,1.99,1.601405740736836,0.7119381302940987,0.6832672706838834,0.6108870967741936,0.9798387096774194,ESPN,5.6,4.47,1.93,9.82,4.92,4.26,21.50,27.00,+2200,4.35,4036131,: 
jonnu smith,TE,PIT,CIN@PIT,5100,1.14,2.308,6.8,11.77,3.89,1.916922612182061,0.4363354312532473,0.42822636864692587,0.4294117647058823,0.6602941176470587,ESPN,5.8,7.54,3.88,11.29,7.18,7.28,27.00,21.50,+1400,6.67,3054212,: 
evan engram,TE,DEN,KC@DEN,4900,1.14,2.241,6.2,10.98,2.48,1.8245492920510458,0.7149854570890977,0.4458154058428988,0.6370967741935484,0.5645161290322579,ESPN,5.6,5.78,2.25,9.7,6.98,6.28,20.50,25.00,+2000,4.76,3051876,: 
george kittle,TE,SF,SF@ARI,6600,1.71,2.232,10.72,14.73,4.66,2.372111155642656,0.6500537814498673,0.2477583559405275,0.566231343283582,0.3,ESPN,11.3,9.76,4.65,11.84,11.84,8.31,26.00,22.50,+900,10.00,3040151,: 
pat freiermuth,TE,PIT,CIN@PIT,5000,1.24,2.232,6.49,11.16,3.35,1.8702625307159986,0.5168070595075577,0.42299407970086705,0.4853620955315871,0.6394453004622497,ESPN,6.2,6.99,3.34,10.64,6.1,7.36,27.00,21.50,+1200,7.69,4361411,: 
darnell washington,TE,PIT,CIN@PIT,4800,0.88,2.133,4.22,10.24,1.93,1.4398351280479205,0.6094522701242465,0.6919517724598062,0.542654028436019,1.3270142180094788,ESPN,4.2,4.47,1.93,9.82,4.09,4.26,27.00,21.50,+1700,5.56,4430802,: 
chig okonkwo,TE,TEN,HOU@TEN,4600,0.96,2.124,5.35,9.77,2.35,1.6770965609079151,0.6429208218118153,0.4701762895070968,0.5757009345794393,0.8149532710280377,ESPN,4.4,5.83,2.27,9.71,5.6,6.3,16.00,21.50,0,0,4360635,: 
cade otton,TE,TB,TB@BUF,5500,1.56,2.113,7.98,11.62,3.38,2.0769384114617173,0.669978981225041,0.293367453610238,0.5902255639097745,0.3295739348370926,ESPN,8.6,6.72,3.27,10.61,8.33,7.31,20.25,26.25,+1500,6.25,4243331,: 
dallas goedert,TE,PHI,DET@PHI,5800,1.52,2.1,8.93,12.18,4.41,2.189416394888408,0.5505630510698266,0.24204794492492696,0.5072788353863381,0.3,ESPN,8.8,8.91,4.4,10.57,9.53,8.03,24.50,22.00,+1000,9.09,3121023,: 
travis kelce,TE,KC,KC@DEN,5600,1.55,2.087,8.58,11.69,4.38,2.149433913499871,0.5246442827961921,0.2411007356505547,0.49067599067599066,0.3,ESPN,8.7,8.87,4.37,10.52,8.63,7.98,25.00,20.50,+1000,9.09,15847,: 
dawson knox,TE,BUF,TB@BUF,4700,1.19,2.085,6,9.8,2.55,1.791759469228055,0.6668909345961056,0.38280991361780803,0.5750000000000001,0.5883333333333333,ESPN,5.6,6.16,2.55,9.53,6.16,6.35,26.25,20.25,+2000,4.76,3930086,: 
kyle pitts sr,TE,ATL,CAR@ATL,5000,1.72,2.074,8.35,10.37,3.34,2.122261538862764,0.7149854570890979,0.16879564723106386,0.6023952095808383,0.3,ESPN,8.6,8.06,3.32,10.16,8.88,7.1,22.50,19.00,0,0,4360248,: 
harold fannin,TE,CLE,BAL@CLE,5100,1.49,2.02,7.33,10.3,2.93,1.9919755158985601,0.7149854570890978,0.26507830287661965,0.6562073669849933,0.3669849931787175,ESPN,7.6,6.35,2.52,10.02,7.9,6.6,15.50,23.00,+2200,4.35,5083076,: 
david njoku,TE,CLE,BAL@CLE,5000,1.14,1.988,6.33,9.94,2.53,1.8453002361560848,0.7149854570890979,0.3523307106611932,0.6477093206951027,0.5292259083728278,ESPN,5.7,5.71,2.23,9.68,7.29,6.26,15.50,23.00,+2500,3.85,3123076,: 
elijah higgins,TE,ARI,SF@ARI,4500,0.8,1.976,3.6,8.89,1.85,1.2809338454620645,0.5185946316489974,0.7054458605517643,0.5056766934100616,1.0185391151935956,FALLBACK,3.6,,,,,,22.50,26.00,+2000,4.76,4426844,: 
