name,position,team,game,salary,value,ceilingValue,consensus,p90,p10,mu,sigma_lower,sigma_upper,floorVariance,ceilingVariance,varianceSource,fpProjPts,espnScoreProjection,espnLowScore,espnHighScore,espnOutsideProjection,espnSimulationProjection,projTeamPts,projOppPts,tdOdds,tdProbability,espnId,injury
marvin mims,WR,DEN,KC@DEN,5000,0.94,3.97,6.57,19.85,4.84,1.8825138324965192,0.2381525126954191,0.8626574588353474,0.30289193302891937,1.3607305936073057,ESPN,4.7,8.59,4.58,15.51,6.01,9.43,20.50,25.00,+2500,3.85,4686472,: 
andrei iosivas,WR,CIN,CIN@PIT,5100,0.96,3.902,6.51,19.9,4.87,1.873339456220478,0.22718881390777504,0.8717520912053142,0.29339477726574503,1.3855606758832566,ESPN,4.9,8.66,4.6,15.53,5.57,9.46,21.50,27.00,+3000,3.23,4368003,: 
tyler lockett,WR,LV,DAL@LV,5000,1.38,3.888,7.67,19.44,4.76,2.0373166153791646,0.37198307684748555,0.7258286136836725,0.40808344198174706,1.057366362451108,ESPN,6.9,9.05,4.54,15.78,6.75,9.66,23.00,26.50,+2000,4.76,2577327,: 
greg dortch,WR,ARI,SF@ARI,5200,1.15,3.715,8.66,19.32,6.52,2.1587147225743437,0.22115677385921584,0.6260365126894752,0.28868360277136257,0.8637413394919169,ESPN,6,10.95,6.16,16.14,9.01,11,22.50,26.00,+1800,5.26,4037235,: 
pat bryant,WR,DEN,KC@DEN,4800,0.9,3.662,4.21,17.58,1.85,1.43746264769429,0.6407917306806048,1.1152749577681584,0.5748218527315915,2,ESPN,4.3,4.58,1.79,15.62,3.85,4.36,20.50,25.00,+3500,2.78,4600981,: 
joshua palmer,WR,BUF,TB@BUF,4500,0.96,3.613,6.68,16.26,5.66,1.8991179875485544,0.12910244605375015,0.6943652858901131,0.15419161676646698,1.351796407185629,ESPN,4.3,9.26,5.65,15.71,6.07,10.08,26.25,20.25,+2000,4.76,4242433,: 
sterling shepard,WR,TB,TB@BUF,5500,0.89,3.564,6.8,19.6,4.82,1.916922612182061,0.2682274778570432,0.8261826965009273,0.3279411764705882,1.2794117647058822,ESPN,4.9,8.57,4.57,15.5,6.53,9.4,20.25,26.25,+2500,3.85,2976592,: 
tre tucker,WR,LV,DAL@LV,5800,1.67,3.536,10.31,20.51,6.59,2.3331142980288684,0.34952472029180387,0.5368248743296038,0.39185257032007764,0.6973811833171677,ESPN,9.7,11.73,6.27,17.5,9.44,11.82,23.00,26.50,+1500,6.25,4428718,: 
michael wilson,WR,ARI,SF@ARI,5500,1.55,3.522,9.59,19.37,6.53,2.2607208888953467,0.299422884611396,0.5485304969126942,0.35349322210636075,0.718456725755996,ESPN,8.5,11.09,6.2,16.48,9.12,11.22,22.50,26.00,+1500,6.25,4360761,: 
troy franklin,WR,DEN,KC@DEN,6100,1.44,3.393,10.61,20.7,6.89,2.361796952625892,0.3371449561253165,0.5216856425871852,0.3826578699340245,0.6738925541941567,ESPN,8.8,12.44,6.55,17.76,10.75,12.12,20.50,25.00,+1400,6.67,4431280,: 
cedric tillman,WR,CLE,BAL@CLE,4700,1.17,3.345,6.8,15.72,4.86,1.916922612182061,0.2613528829111175,0.6536763177474353,0.3220588235294117,1.286764705882353,ESPN,5.5,8.71,4.61,15.55,5.82,9.48,15.50,23.00,+3500,2.78,4369863,: 
tez johnson,WR,TB,TB@BUF,5900,1.47,3.322,9.11,19.6,6.4,2.209372711271867,0.27492558977822956,0.598033020859443,0.33369923161361137,0.8155872667398464,ESPN,8.7,10.39,6.07,16.54,7.94,11,20.25,26.25,+1800,5.26,4608810,: 
jalen coker,WR,CAR,CAR@ATL,4800,1.23,3.083,6.31,14.8,3.95,1.8421356765531218,0.364574648549376,0.6654525094651198,0.4025356576862123,1.3058637083993665,ESPN,5.9,7.9,3.77,14.55,4.97,8.21,19.00,22.50,+2500,3.85,4695883,: 
cooper kupp,WR,SEA,SEA@LAR,5300,1.32,3.074,7.9,16.29,5.73,2.066862759472976,0.2507276268132739,0.5645594834424468,0.2759493670886077,1,ESPN,7,9.36,5.72,15.8,6.94,10.17,22.75,25.75,+2200,4.35,2977187,: 
olamide zaccheaus,WR,CHI,CHI@MIN,5300,1.23,3.055,7.47,16.19,5.26,2.010894999144726,0.2739955883678933,0.6033624312393485,0.2971887550200803,1.101740294511379,ESPN,6.5,9.14,5.25,15.7,6.41,9.88,22.25,25.25,+2200,4.35,3917914,: 
calvin austin,WR,PIT,CIN@PIT,5700,1.23,3.049,9.52,17.38,5.99,2.253394848803274,0.3614599332020213,0.4694719400534467,0.3718487394957982,0.7605042016806726,ESPN,7,11.36,5.98,16.76,9.88,12.02,27.00,21.50,+1700,5.56,4243389,: 
roman wilson,WR,PIT,CIN@PIT,4900,0.9,3.049,6.15,14.94,3.78,1.8164520818184267,0.379021760368783,0.6925234215043715,0.38536585365853665,1.3691056910569104,ESPN,4.4,7.85,3.78,14.57,5.99,8.24,27.00,21.50,+3000,3.23,4431492,: 
khalil shakir,WR,BUF,TB@BUF,6100,1.64,3.041,11.12,18.55,6.58,2.4087452888224363,0.4089764611682919,0.3992145724679997,0.40917266187050355,0.5998201438848921,ESPN,10,12.54,6.57,17.79,11.01,12.17,26.25,20.25,+1300,7.14,4373678,: 
courtland sutton,WR,DEN,KC@DEN,6800,1.37,3.031,10.88,20.61,6.88,2.3869262414277967,0.357594935698137,0.49853645542829045,0.3979779411764707,0.6323529411764706,ESPN,9.3,12.43,6.55,17.76,11.06,12.12,20.50,25.00,+1300,7.14,3128429,: 
elic ayomanor,WR,TEN,HOU@TEN,5400,1.17,3.015,7.54,16.28,4.78,2.020222182019865,0.3562189820270393,0.6005822426537814,0.39655172413793105,1.1007957559681698,ESPN,6.3,9.08,4.55,15.84,6.92,9.7,16.00,21.50,+2000,4.76,4883647,: 
jerry jeudy,WR,CLE,BAL@CLE,5700,1.42,3.009,9.68,17.15,6.34,2.2700619012884857,0.3304461085862809,0.4462959575978139,0.3770661157024793,0.7241735537190085,ESPN,8.1,11.27,6.03,16.69,9.29,12.01,15.50,23.00,+2500,3.85,4241463,: 
tetairoa mcmillan,WR,CAR,CAR@ATL,6200,1.61,3,11.36,18.6,6.44,2.4300984132930052,0.44280163470731615,0.3849035450118752,0.4577464788732394,0.5625000000000001,ESPN,10,13.17,6.16,17.75,11.52,11.93,19.00,22.50,+1200,7.69,4685472,: 
wandale robinson,WR,NYG,GB@NYG,5800,1.84,2.972,12.72,17.24,12.31,2.543175557911976,0.02526619110179958,0.2374806673086827,0.1,0.3,ESPN,10.7,14.04,12.97,14.99,12.97,14.94,17.25,24.25,+1200,7.69,4569587,: 
devonta smith,WR,PHI,DET@PHI,6900,1.71,2.962,12.99,20.44,6.64,2.5641798306825083,0.5241856212168254,0.3536367539603709,0.49037721324095457,0.49499615088529647,ESPN,11.8,14.53,6.62,19.42,13.03,13.78,24.50,22.00,+1000,9.09,4241478,: 
rashid shaheed,WR,SEA,SEA@LAR,5600,1.29,2.932,8.46,16.42,5.81,2.135349173618132,0.2930722180367391,0.5174713653874617,0.314420803782506,0.8699763593380613,ESPN,7.2,9.58,5.8,15.82,8.26,10.25,22.75,25.75,+1700,5.56,4032473,: 
jalen nailor,WR,MIN,CHI@MIN,5600,1.11,2.914,7.61,16.32,5.72,2.0294631718735947,0.22274558950820025,0.5953478040052921,0.2496714848883049,1.0749014454664914,ESPN,6.2,9.34,5.71,15.79,6.87,10.16,25.25,22.25,+2000,4.76,4382466,: 
ricky pearsall,WR,SF,SF@ARI,5700,1.4,2.909,8.68,16.58,5.86,2.1610215286722587,0.30634770137765693,0.5051753568448278,0.326036866359447,0.8375576036866359,ESPN,8,9.7,5.85,15.95,8.01,10.37,26.00,22.50,+1600,5.88,4428209,: 
xavier worthy,WR,KC,KC@DEN,6400,1.36,2.884,10.14,18.46,6.32,2.316487998163037,0.3693600772578616,0.4673732675123967,0.37869822485207105,0.7327416173570019,ESPN,8.7,11.93,6.3,17.57,9.82,11.89,25.00,20.50,+1100,8.33,4683062,: 
jamarr chase,WR,CIN,CIN@PIT,9400,1.83,2.881,18.53,27.08,17.97,2.9193910402972687,0.023843290630441934,0.29613087437018504,0.1,0.3,ESPN,17.2,18.83,18.05,19.79,18.95,20.05,21.50,27.00,+750,11.76,4362628,: 
jauan jennings,WR,SF,SF@ARI,6200,1.63,2.824,11.65,17.51,6.1,2.4553061800117097,0.5046957522972788,0.3181538902736248,0.4772532188841202,0.44206008583690987,ESPN,10.1,13.63,6.09,16.8,12.15,11.74,26.00,22.50,+1300,7.14,3886598,: 
tee higgins,WR,CIN,CIN@PIT,7300,1.6,2.804,11.77,20.47,6.68,2.4655539212721855,0.441436032570159,0.4317213415030056,0.4570943075615973,0.506372132540357,ESPN,11.7,12.13,6.39,17.73,11.6,11.91,21.50,27.00,+950,9.52,4239993,: 
parker washington,WR,JAC,LAC@JAC,5900,1.61,2.802,10.03,16.53,5.8,2.305580601973844,0.4271303615721346,0.38964110920698003,0.4227318045862412,0.5782652043868396,ESPN,9.5,11,5.79,15.83,9.36,11.43,,,+1300,7.14,4432620,: 
emeka egbuka,WR,TB,TB@BUF,7900,1.65,2.794,14.13,22.07,10.44,2.648300196696436,0.2359058818592098,0.34785739727261555,0.3021939136588819,0.3892427459306439,ESPN,13,14.94,9.86,19.63,14.11,15.61,20.25,26.25,+1000,9.09,4567750,: 
jakobi meyers,WR,JAC,LAC@JAC,5900,1.29,2.769,8.93,16.34,5.45,2.189416394888408,0.3850527181794751,0.4716856992728504,0.39081746920492716,0.7491601343784994,ESPN,7.6,10.52,5.44,15.62,8.35,11.13,,,+1300,7.14,3916433,: 
dj moore,WR,CHI,CHI@MIN,6000,1.38,2.757,9.41,16.54,5.8,2.2417729535972883,0.3772352614081124,0.4401155254742561,0.3846971307120085,0.6822529224229543,ESPN,8.3,10.99,5.79,15.83,8.73,11.42,22.25,25.25,+1300,7.14,3915416,: 
romeo doubs,WR,GB,GB@NYG,6300,1.67,2.694,11.07,16.97,6.59,2.4042387467205457,0.404902830641015,0.3334096476490413,0.4065040650406504,0.6070460704607045,ESPN,10.5,12.53,6.57,17.79,10.37,12.16,24.25,17.25,+950,9.52,4361432,: 
jordan addison,WR,MIN,CHI@MIN,6900,1.43,2.674,10.9,18.45,6.31,2.388762789235098,0.42713937112107886,0.4105894986222989,0.42293577981651376,0.6100917431192661,ESPN,9.9,11.86,6.29,17.55,10.93,11.87,25.25,22.25,+1100,8.33,4429205,: 
jayden higgins,WR,HOU,HOU@TEN,5400,1.07,2.593,7.75,14,6,2.0476928433652555,0.1995734063792694,0.4616214810634493,0.22709677419354837,1.1096774193548389,ESPN,5.8,10.01,5.99,16.35,7.05,10.82,21.50,16.00,+2000,4.76,4877706,: 
darnell mooney,WR,ATL,CAR@ATL,5600,1.29,2.543,8.68,14.24,5.49,2.1610215286722587,0.3571179695037942,0.3864590741122881,0.368663594470046,0.7914746543778803,ESPN,7.2,10.62,5.48,15.55,7.98,11.12,22.50,19.00,+1300,7.14,4040655,: 
dk metcalf,WR,PIT,CIN@PIT,7400,1.51,2.538,11.29,18.78,6.32,2.423917378161571,0.45278924095480155,0.3969979422536879,0.44198405668733387,0.5562444641275467,ESPN,11.2,11.92,6.3,17.57,10.75,11.89,27.00,21.50,+800,11.11,4047650,: 
jaxon smithnjigba,WR,SEA,SEA@LAR,9700,1.72,2.529,17.86,24.53,7.24,2.882563575448353,0.7040703886375471,0.24775835594052717,0.5951847704367301,0.3,ESPN,16.7,18.9,7.23,20.35,19.51,15.83,22.75,25.75,+900,10.00,4430878,: 
xavier legette,WR,CAR,CAR@ATL,4700,1.06,2.528,5.5,11.88,2.88,1.7047480922384253,0.5035346103129522,0.6006846521270931,0.49636363636363634,1.1036363636363637,ESPN,5,7.21,2.77,11.57,4.11,7.56,19.00,22.50,+2200,4.35,4430034,: 
christian watson,WR,GB,GB@NYG,5800,1.41,2.493,8.96,14.46,5.45,2.192770226986839,0.38754540653278285,0.3733704109779432,0.39285714285714285,0.7433035714285712,ESPN,8.2,10.51,5.44,15.62,7.86,11.13,24.25,17.25,+1200,7.69,4248528,: 
justin jefferson,WR,MIN,CHI@MIN,8600,1.58,2.484,15.43,21.36,6.96,2.7363136663750693,0.6214113719719504,0.2538874517611983,0.5502268308489954,0.3,ESPN,13.6,16.91,6.94,18.43,16.63,15.22,25.25,22.25,+750,11.76,4262921,: 
rome odunze,WR,CHI,CHI@MIN,7200,1.57,2.465,12.19,17.75,6.18,2.5006159434931803,0.5295294409849587,0.29339912809603275,0.4938474159146842,0.3847415914684167,ESPN,11.3,13.74,6.17,16.88,12.46,11.89,22.25,25.25,+1000,9.09,4431299,: 
jameson williams,WR,DET,DET@PHI,6700,1.58,2.437,10.81,16.33,5.64,2.380471631651117,0.5076867749926837,0.32174993441420285,0.47918593894542094,0.4551341350601295,ESPN,10.6,10.8,5.63,15.73,10.78,11.29,22.00,24.50,+1400,6.67,4426388,: 
ceedee lamb,WR,DAL,DAL@LV,9200,1.65,2.404,15.93,22.12,6.96,2.768204123921957,0.646360232295584,0.256296224269906,0.564344005021971,0.3,ESPN,15.2,16.94,6.94,18.44,16.49,15.24,26.50,23.00,+750,11.76,4241389,: 
amonra st brown,WR,DET,DET@PHI,9100,1.65,2.387,15.89,21.72,7.15,2.7656899805486246,0.6236543158184826,0.24377008447736212,0.551290119572058,0.3,ESPN,15,16.21,7.13,18.14,17.17,14.8,22.00,24.50,+950,9.52,4374302,: 
george pickens,WR,DAL,DAL@LV,7500,1.68,2.375,12.56,17.81,5.98,2.5305171610400525,0.5786035406479869,0.2723690926539628,0.5246815286624205,0.3423566878980891,ESPN,12.6,13.5,5.97,16.86,12.56,11.57,26.50,23.00,+950,9.52,4426354,: 
luther burden,WR,CHI,CHI@MIN,4800,1.13,2.373,5.42,11.39,2.17,1.6900958154515549,0.7149854570890978,0.5796672807997285,0.6734317343173432,1.0553505535055352,ESPN,5.4,6.92,1.77,11.14,4,6.8,22.25,25.25,+3000,3.23,4685278,: 
zay flowers,WR,BAL,BAL@CLE,7100,1.61,2.362,11.86,16.77,6.12,2.4731713935695794,0.5167114372143495,0.2704571734852535,0.4561551433389544,0.5379426644182124,ESPN,11.4,13.01,6.45,18.24,11.47,12.39,23.00,15.50,+750,11.76,4429615,: 
rashee rice,WR,KC,KC@DEN,8200,1.83,2.341,13.8,19.2,6.59,2.624668592163159,0.5766343576716234,0.2575054851789243,0.5239130434782608,0.3,ESPN,15,12.55,6.57,17.79,14.03,12.17,25.00,20.50,+650,13.33,4428331,: 
puka nacua,WR,LAR,SEA@LAR,9500,1.66,2.335,15.59,22.18,6.71,2.7466296830696852,0.6573636889730007,0.27519701894186593,0.5708787684413085,0.3,ESPN,15.8,14.43,6.69,17.62,17.44,12.63,25.75,22.75,+500,16.67,4426515,: 
ladd mcconkey,WR,LAC,LAC@JAC,7500,1.67,2.321,12.92,17.41,6.06,2.558776498354456,0.5901095663912059,0.23287871567910842,0.531733746130031,0.35061919504643957,ESPN,12.5,14.24,6.05,17.45,13.02,12.22,23.25,20.25,+850,10.53,4612826,: 
quentin johnston,WR,LAC,LAC@JAC,6600,1.48,2.285,9.96,15.08,4.54,2.298577071596507,0.6131552824215626,0.3234942708076002,0.5451807228915663,0.5793172690763051,ESPN,9.8,9.06,4.53,15.73,10.74,9.59,23.25,20.25,+1000,9.09,4429025,Q: Shin
davante adams,WR,LAR,SEA@LAR,8000,1.63,2.269,12.68,18.15,6.05,2.5400259490090797,0.577135273707775,0.28001907689333116,0.5244479495268138,0.31624605678233453,ESPN,13,11.26,6.03,16.69,13.4,12.01,25.75,22.75,+550,15.38,16800,Q: Oblique
drake london,WR,ATL,CAR@ATL,8400,1.67,2.244,14.16,18.85,6.18,2.6504210882655737,0.646875669359845,0.22314334404897426,0.5649717514124294,0.3,ESPN,14,13.12,6.16,17.74,15.97,11.91,22.50,19.00,+550,15.38,4426502,Q: Illness
calvin ridley,WR,TEN,HOU@TEN,5200,1.02,2.213,6.57,11.51,2.63,1.8825138324965192,0.7149854570890979,0.43755184581288387,0.7305936073059361,0.6971080669710806,ESPN,5.3,6.93,1.77,11.15,7.53,6.8,16.00,21.50,+2000,4.76,3925357,Q: Hamstring
dontayvion wicks,WR,GB,GB@NYG,5500,0.84,2.16,5.88,11.88,3.78,1.7715567619105355,0.34504694104739114,0.5487584360898203,0.358843537414966,1.4778911564625852,ESPN,4.6,7.84,3.77,14.57,5,8.24,24.25,17.25,+1300,7.14,4428850,: 
keenan allen,WR,LAC,LAC@JAC,7000,1.23,2.141,9.65,14.99,5.81,2.2669579153508947,0.39530193199633656,0.3435599533589235,0.3989637305699482,0.6424870466321243,ESPN,8.6,9.62,5.8,15.85,10.39,10.28,23.25,20.25,+1100,8.33,15818,: 
nico collins,WR,HOU,HOU@TEN,8300,1.61,2.129,13.48,17.67,6.36,2.601207105484161,0.5863151582637421,0.21131300412018364,0.5296735905044511,0.3,ESPN,13.4,14.07,6.34,17.28,13.95,12.09,21.50,16.00,+700,12.50,4258173,: 
aj brown,WR,PHI,DET@PHI,8300,1.41,2.127,12.29,17.65,6,2.5087859235779435,0.5589010654195341,0.28249635723796385,0.5126118795768917,0.36126932465419054,ESPN,11.7,11.53,5.99,16.73,13.4,12.01,24.50,22.00,+900,10.00,4047646,: 
kavontae turpin,WR,DAL,DAL@LV,5300,0.75,2.015,4.65,10.68,1.86,1.536867219599265,0.7149854570890978,0.6486950655221787,0.6279569892473119,1.2365591397849462,ESPN,4,6.64,1.73,10.4,3.45,6.38,26.50,23.00,+2800,3.45,3676833,: 
