team,team_abbr,opponent,opponent_abbr,spread,total,projected_pts
patriots,NE,buccaneers,TB,-1.5,48.5,25.00
buccaneers,TB,patriots,NE,1.5,48.5,23.50
browns,CLE,jets,NYJ,4.5,50.5,23.00
jets,NYJ,browns,CLE,-4.5,50.5,27.50
ravens,BAL,vikings,MIN,2.5,48.5,23.00
vikings,MIN,ravens,BAL,-2.5,48.5,25.50
saints,NO,panthers,CAR,6.5,37.5,15.50
panthers,CAR,saints,NO,-6.5,37.5,22.00
bills,BUF,dolphins,MIA,1.5,52.5,25.50
dolphins,MIA,bills,BUF,-1.5,52.5,27.00
jaguars,JAX,texans,HOU,-9.5,37.5,23.50
texans,HOU,jaguars,JAX,9.5,37.5,14.00
giants,NYG,bears,CHI,3.5,45.5,21.00
bears,CHI,giants,NYG,-3.5,45.5,24.50
cardinals,ARI,seahawks,SEA,7,44.5,18.75
seahawks,SEA,cardinals,ARI,-7,44.5,25.75
lions,DET,commanders,WAS,-8.5,49.5,29.00
commanders,WAS,lions,DET,8.5,49.5,20.50
rams,LAR,49ers,SF,-5.5,49.5,27.50
49ers,SF,rams,LAR,5.5,49.5,22.00
steelers,PIT,chargers,LAC,3,45.5,21.25
chargers,LAC,steelers,PIT,-3,45.5,24.25
eagles,PHI,packers,GB,1.5,45.5,22.00
packers,GB,eagles,PHI,-1.5,45.5,23.50
