name,position,team,game,salary,value,ceilingValue,consensus,p90,p10,mu,sigma_lower,sigma_upper,floorVariance,ceilingVariance,varianceSource,fpProjPts,espnScoreProjection,espnLowScore,espnHighScore,espnOutsideProjection,espnSimulationProjection,projTeamPts,projOppPts,tdOdds,tdProbability,espnId,injury
drake maye,QB,NE,NE@CIN,8400,2.96,3.857,22.25,32.4,15.62,3.1023420086122493,0.27606369787419766,0.29315476635919985,0.2979775280898877,0.3,ESPN,24.9,20.16,15.62,24.78,21.14,21.26,29.00,21.50,+1000,9.09,4431452,: 
lamar jackson,QB,BAL,NYJ@BAL,8500,2.71,3.019,19.74,25.66,12.36,2.9826470340053355,0.36532402953043486,0.20472392334521364,0.37386018237082064,0.3,ESPN,23,17.76,12.36,22.9,17.98,18.71,29.00,15.50,+900,10.00,3916387,Q: Ankle
matthew stafford,QB,LAR,TB@LAR,7800,2.55,2.8,16.8,21.84,8.8,2.8213788864092133,0.5045658577540464,0.20472392334521364,0.47619047619047616,0.3,ESPN,19.9,13.46,8.8,18.25,16.68,14.2,28.00,21.50,+7000,1.41,12483,: 
patrick mahomes,QB,KC,IND@KC,8100,2.54,3.437,19.12,27.84,12.93,2.9507349076232554,0.3052430548693949,0.29315476635919985,0.32374476987447703,0.3,ESPN,20.6,18.35,12.93,23.02,18.12,18.91,27.00,23.50,+1800,5.26,3139477,: 
brock purdy,QB,SF,CAR@SF,7400,2.54,3.181,18.11,23.54,12.36,2.896464271895322,0.29807526293602193,0.20472392334521328,0.3175041413583656,0.3,ESPN,18.8,17.81,12.36,22.9,17.27,18.73,27.75,20.75,+2500,3.85,4361741,: 
jacoby brissett,QB,ARI,JAC@ARI,7300,2.48,3.082,16.08,22.5,8.9,2.77757626375082,0.46156939987144024,0.2621346299996875,0.4465174129353233,0.39925373134328374,ESPN,18.1,14.96,8.9,22.5,14.42,16.5,22.25,25.25,+2500,3.85,2578570,: 
jared goff,QB,DET,NYG@DET,8000,2.41,2.849,15.65,22.79,7.29,2.750470916986162,0.5961269070284693,0.2931547663592002,0.534185303514377,0.3,ESPN,19.3,12.1,7.29,17.05,15.23,12.76,30.50,20.00,0,0,3046779,: 
jalen hurts,QB,PHI,PHI@DAL,9000,2.37,2.857,19.78,25.71,13.34,2.984671326194566,0.30736514729291997,0.20472392334521364,0.32558139534883723,0.3,ESPN,21.3,18.69,13.34,23.37,18.95,19.47,25.25,22.25,+600,14.29,4040715,: 
trevor lawrence,QB,JAC,JAC@ARI,7000,2.34,3.214,15.13,22.5,8.9,2.7166795278002644,0.41405142432694675,0.309652605544181,0.4117647058823529,0.487111698612029,ESPN,16.4,14.93,8.9,22.5,13.28,16.5,,,+1300,7.14,4360310,: 
dak prescott,QB,DAL,PHI@DAL,7900,2.33,2.78,16.5,21.96,6.6,2.803360380906535,0.7149854570890978,0.22305948774938042,0.6527272727272727,0.330909090909091,ESPN,18.4,15.81,5.73,21.96,15.15,16.08,22.25,25.25,+4000,2.44,2577417,Q: Hip
