name,position,team,salary,consensus,p90,ceiling_value_p90
jj mccarthy,QB,MIN,6800,15.63,20.32,2.988
josh allen,QB,BUF,9000,19.62,25.51,2.834
geno smith,QB,LV,6500,14.13,18.37,2.826
brock purdy,QB,SF,7100,17.09,23.83,3.356
dak prescott,QB,DAL,7800,16.71,22.17,2.842
lamar jackson,QB,BAL,8600,20.6,27.43,3.189
patrick mahomes,QB,KC,8300,17.45,22.88,2.757
aaron rodgers,QB,PIT,7300,15.53,20.19,2.766
jacoby brissett,QB,ARI,7000,15.92,22.71,3.244
jalen hurts,QB,PHI,9000,19.46,25.3,2.811
caleb williams,QB,CHI,7700,17.43,22.82,2.964
justin herbert,QB,LAC,8200,16.36,21.27,2.594
matthew stafford,QB,LAR,7900,16.89,23.15,2.93
jordan love,QB,GB,7400,15.73,19.84,2.682
michael penix,QB,ATL,6500,13.2,15.84,2.437
joe flacco,QB,CIN,7800,15.79,21.52,2.759
sam darnold,QB,SEA,7200,14.11,18.34,2.548
trevor lawrence,QB,JAC,6900,14.53,21.38,3.099
jameis winston,QB,NYG,6300,12.67,15.72,2.496
davis mills,QB,HOU,6700,14.44,17.33,2.586
baker mayfield,QB,TB,8000,15.37,19.98,2.498
bo nix,QB,DEN,7500,15.69,23.12,3.083
jared goff,QB,DET,8000,13.83,18.01,2.251
bryce young,QB,CAR,6500,11.83,16.29,2.507
dillon gabriel,QB,CLE,6400,10.9,13.08,2.044
cam ward,QB,TEN,6400,10.19,15.73,2.458
mac jones,QB,SF,7100,1.0,1.45,0.204
russell wilson,QB,NYG,6600,0.7,0.93,0.141
jalen milroe,QB,SEA,6000,0.6,0.87,0.145
malik willis,QB,GB,6300,0.5,0.67,0.106
tyler huntley,QB,BAL,6000,0.5,0.67,0.111
mitchell trubisky,QB,BUF,6000,0.5,0.72,0.121
joe milton,QB,DAL,6000,0.5,0.72,0.121
jimmy garoppolo,QB,LAR,6000,0.4,0.58,0.096
tyson bagent,QB,CHI,6000,0.4,0.58,0.096
max brosmer,QB,MIN,6000,0.4,0.58,0.096
kirk cousins,QB,ATL,6000,0.4,0.53,0.089
shedeur sanders,QB,CLE,6000,0.4,0.53,0.089
andy dalton,QB,CAR,6000,0.4,0.53,0.089
jake browning,QB,CIN,6000,0.4,0.58,0.096
mason rudolph,QB,PIT,6300,0.4,0.58,0.092
trey lance,QB,LAC,6300,0.4,0.58,0.092
tanner mckee,QB,PHI,6300,0.4,0.58,0.092
jarrett stidham,QB,DEN,6000,0.3,0.43,0.072
nick mullens,QB,JAC,6000,0.3,0.43,0.072
brandon allen,QB,TEN,6000,0.3,0.4,0.067
christian mccaffrey,RB,SF,10000,21.3,32.67,3.267
ashton jeanty,RB,LV,7300,15.03,21.51,2.947
jaylen warren,RB,PIT,7000,14.6,22.08,3.155
bijan robinson,RB,ATL,9300,17.43,25.79,2.774
rico dowdle,RB,CAR,8100,15.39,21.45,2.648
josh jacobs,RB,GB,9100,17.91,27.22,2.991
aaron jones sr,RB,MIN,6400,11.22,16.49,2.577
rj harvey,RB,DEN,5800,10.51,15.62,2.693
javonte williams,RB,DAL,8600,14.38,21.7,2.523
chase brown,RB,CIN,7200,11.71,16.13,2.241
woody marks,RB,HOU,6300,11.42,16.75,2.659
travis etienne,RB,JAC,6800,11.2,16.35,2.405
dandre swift,RB,CHI,6900,11.61,16.02,2.322
james cook,RB,BUF,8900,15.1,22.62,2.542
jahmyr gibbs,RB,DET,9200,14.59,20.54,2.233
kimani vidal,RB,LAC,7400,10.34,16.31,2.204
saquon barkley,RB,PHI,8500,12.98,18.27,2.15
tyjae spears,RB,TEN,5300,7.66,12.86,2.426
tyrone tracy,RB,NYG,6200,9.79,15.56,2.51
david montgomery,RB,DET,6300,8.86,16.27,2.582
derrick henry,RB,BAL,8500,12.77,19.66,2.313
quinshon judkins,RB,CLE,7700,11.82,16.45,2.137
kyren williams,RB,LAR,8400,11.0,15.46,1.84
tony pollard,RB,TEN,5600,7.89,13.34,2.383
kareem hunt,RB,KC,6000,8.47,14.98,2.496
rachaad white,RB,TB,7300,10.73,15.51,2.125
sean tucker,RB,TB,5200,8.33,15.58,2.997
emari demercado,RB,ARI,5300,7.82,13.24,2.497
kyle monangai,RB,CHI,6100,7.61,12.93,2.12
nick chubb,RB,HOU,5400,7.06,12.72,2.355
kenneth walker,RB,SEA,6600,8.79,15.64,2.37
zach charbonnet,RB,SEA,6500,7.59,13.09,2.015
tyler allgeier,RB,ATL,5700,6.19,9.92,1.741
jordan mason,RB,MIN,5800,7.04,12.75,2.199
zonovan knight,RB,ARI,5500,6.4,11.14,2.026
devin singletary,RB,NYG,5400,6.79,9.94,1.841
kenneth gainwell,RB,PIT,5700,7.37,14.63,2.567
blake corum,RB,LAR,5400,5.15,8.15,1.51
keaton mitchell,RB,BAL,4300,4.64,9.44,2.195
brian robinson,RB,SF,5100,3.98,5.54,1.086
chuba hubbard,RB,CAR,5200,4.85,8.3,1.596
bhayshul tuten,RB,JAC,4900,4.1,5.54,1.131
brashard smith,RB,KC,5000,4.26,7.49,1.497
emanuel wilson,RB,GB,5600,4.88,7.87,1.406
tyler badie,RB,DEN,4200,3.88,6.81,1.622
ty johnson,RB,BUF,4500,3.37,6.29,1.398
dylan sampson,RB,CLE,5000,3.54,4.91,0.982
ray davis,RB,BUF,4400,2.88,5.54,1.259
jerome ford,RB,CLE,4700,3.08,4.32,0.92
tank bigsby,RB,PHI,5200,2.48,4.91,0.945
tahj brooks,RB,CIN,4100,3.63,6.84,1.668
michael carter,RB,ARI,4800,2.61,4.41,0.918
jaleel mclaughlin,RB,DEN,4000,2.4,4.07,1.018
raheem mostert,RB,LV,4600,3.04,5.18,1.127
kaleb johnson,RB,PIT,4700,2.3,4.28,0.91
will shipley,RB,PHI,5300,2.4,4.03,0.759
jaydon blue,RB,DAL,4700,2.0,3.71,0.79
jaret patterson,RB,LAC,5500,2.1,3.5,0.636
kyle juszczyk,RB,SF,4200,1.6,2.96,0.705
lequint allen,RB,JAC,4300,1.6,2.69,0.626
dare ogunbowale,RB,HOU,4100,1.3,2.4,0.586
chris brooks,RB,GB,4900,1.5,2.77,0.565
george holani,RB,SEA,4200,1.2,2.01,0.479
clyde edwardshelaire,RB,KC,4000,1.1,2.01,0.503
dylan laube,RB,LV,4100,1.0,1.67,0.408
patrick ricard,RB,BAL,4000,0.9,1.66,0.416
hunter luepke,RB,DAL,4100,0.8,1.48,0.36
zavier scott,RB,MIN,4600,0.9,1.51,0.328
adam prentice,RB,DEN,4000,0.8,1.34,0.335
cj ham,RB,MIN,4000,0.8,1.34,0.335
trevor etienne,RB,CAR,4200,0.8,1.34,0.319
roschon johnson,RB,CHI,4100,0.7,1.18,0.287
julius chestnut,RB,TEN,4100,0.6,1.0,0.245
aj dillon,RB,PHI,4800,0.6,1.0,0.208
british brooks,RB,HOU,4000,0.5,0.92,0.23
owen wright,RB,TB,4000,0.5,0.84,0.21
isaac guerendo,RB,SF,4000,0.5,0.92,0.23
nathan carter,RB,ATL,4300,0.5,0.92,0.214
brittain brown,RB,CHI,4300,0.5,0.83,0.194
trayveon williams,RB,LAC,4400,0.5,0.84,0.191
elijah mitchell,RB,KC,4000,0.4,0.74,0.184
amar johnson,RB,LAC,4000,0.4,0.67,0.168
reggie gilliam,RB,BUF,4000,0.4,0.74,0.184
travis homer,RB,CHI,4100,0.4,0.67,0.164
sione vaki,RB,DET,4100,0.3,0.5,0.123
rasheen ali,RB,BAL,4000,0.3,0.55,0.138
kendall milton,RB,CIN,4000,0.2,0.34,0.084
cam akers,RB,MIN,4000,0.1,0.17,0.042
wandale robinson,WR,NYG,5800,12.72,17.24,2.973
jamarr chase,WR,CIN,9400,18.53,27.08,2.881
rashee rice,WR,KC,8200,13.8,19.2,2.341
jaxon smithnjigba,WR,SEA,9700,17.86,24.53,2.529
